,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,105366000.0,111187000.0,67552000.0,68431000.0,84430000.0,34195000.0,62424000.0,65897000.0,154949000.0,70519000.0
BAL,Short Term Investments,11716000.0,30266000.0,96733000.0,117158000.0,118834000.0,270993000.0,367305000.0,100138000.0,50130000.0,119966000.0
BAL,Cash and Short Term Investments,117082000.0,141453000.0,164285000.0,185589000.0,203264000.0,305188000.0,429729000.0,166035000.0,205079000.0,190485000.0
BAL,Prepaid Expenses,7514000.0,5690000.0,4588000.0,5006000.0,9979000.0,6248000.0,4709000.0,9835000.0,3675000.0,3256000.0
BAL,Total Current Assets,124596000.0,147143000.0,168873000.0,190595000.0,213243000.0,317145000.0,434438000.0,175870000.0,208754000.0,193741000.0
BAL,"Property/Plant/Equipment, Total - Gross",81756000.0,110448000.0,121436000.0,130855000.0,133855000.0,132234000.0,57173000.0,53839000.0,10008000.0,7697000.0
BAL,"Accumulated Depreciation, Total",-13502000.0,-20120000.0,-18586000.0,-16994000.0,-17394000.0,-13174000.0,-10072000.0,-7992000.0,-6422000.0,-4673000.0
BAL,"Property/Plant/Equipment, Total - Net",68254000.0,90328000.0,102850000.0,113861000.0,116461000.0,119060000.0,47101000.0,45847000.0,3586000.0,3024000.0
BAL,"Other Long Term Assets, Total",3920000.0,3958000.0,3854000.0,3916000.0,2658000.0,2753000.0,1028000.0,1010000.0,1155000.0,140000.0
BAL,Total Assets,196770000.0,241429000.0,275577000.0,308372000.0,332362000.0,439727000.0,482567000.0,222727000.0,213495000.0,201905000.0
BAL,Accounts Payable,2170000.0,1418000.0,2863000.0,2238000.0,846000.0,1387000.0,2810000.0,4103000.0,1707000.0,1731000.0
BAL,Accrued Expenses,26584000.0,43029000.0,43345000.0,29754000.0,27474000.0,18615000.0,18061000.0,15305000.0,8784000.0,6964000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",102000.0,71000.0,264000.0,254000.0,301000.0,1318000.0,,,228000.0,1979000.0
BAL,Total Current Liabilities,28856000.0,44518000.0,46472000.0,32246000.0,28621000.0,21320000.0,20871000.0,19408000.0,10719000.0,10674000.0
BAL,Total Long Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Total Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",65200000.0,65756000.0,71348000.0,94608000.0,95404000.0,102222000.0,27349000.0,28362000.0,1609000.0,5953000.0
BAL,Total Liabilities,94056000.0,110274000.0,117820000.0,126854000.0,124025000.0,123542000.0,48220000.0,47770000.0,12328000.0,17877000.0
BAL,"Preferred Stock - Non Redeemable, Net",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BAL,"Common Stock, Total",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,6000.0,5000.0
BAL,Additional Paid-In Capital,999319000.0,994929000.0,990214000.0,985651000.0,980156000.0,964965000.0,937134000.0,560704000.0,522503000.0,439048000.0
BAL,Retained Earnings (Accumulated Deficit),-896063000.0,-863178000.0,-831668000.0,-802612000.0,-769876000.0,-648076000.0,-502536000.0,-385029000.0,-320543000.0,-254062000.0
BAL,"Other Equity, Total",-552000.0,-606000.0,-799000.0,-1531000.0,-1953000.0,-714000.0,-261000.0,-725000.0,-799000.0,-963000.0
BAL,Total Equity,102714000.0,131155000.0,157757000.0,181518000.0,208337000.0,316185000.0,434347000.0,174957000.0,201167000.0,184028000.0
BAL,Total Liabilities & Shareholders' Equity,196770000.0,241429000.0,275577000.0,308372000.0,332362000.0,439727000.0,482567000.0,222727000.0,213495000.0,201905000.0
BAL,Total Common Shares Outstanding,101027000.0,100993000.0,100573000.0,100117000.0,99728000.0,98381000.0,97549000.0,67329000.0,62965470.0,49015340.0
BAL,"Tangible Book Value per Share, Common Eq",1016700.0,1298650.0,1568580.0,1813060.0,2089050.0,3213880.0,4452600.0,2598540.0,3194880.0,3652490.0
BAL,"Total Receivables, Net",,,,0.0,0.0,5709000.0,,,,0.0
BAL,Note Receivable - Long Term,,,,0.0,0.0,769000.0,,,,
INC,Revenue,0.0,0.0,3600000.0,0.0,0.0,7500000.0,0.0,250000.0,1612000.0,1849000.0
INC,Total Revenue,0.0,0.0,3600000.0,0.0,0.0,7500000.0,0.0,250000.0,1612000.0,1849000.0
INC,"Selling/General/Admin. Expenses, Total",13789000.0,12466000.0,12780000.0,55758000.0,17188000.0,63341000.0,44641000.0,28376000.0,24560000.0,20857000.0
INC,Research & Development,20740000.0,20599000.0,21059000.0,99277000.0,23849000.0,89181000.0,73309000.0,40419000.0,50133000.0,39839000.0
INC,Total Operating Expense,34529000.0,33065000.0,33839000.0,157135000.0,41037000.0,153622000.0,117950000.0,68795000.0,79693000.0,60696000.0
INC,Operating Income,-34529000.0,-33065000.0,-30239000.0,-157135000.0,-41037000.0,-146122000.0,-117950000.0,-68545000.0,-78081000.0,-58847000.0
INC,"Other, Net",1661000.0,1576000.0,1200000.0,2673000.0,923000.0,582000.0,1557000.0,4059000.0,4204000.0,2700000.0
