,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,12196000.0,24106000.0,17790000.0,7130940.0,4477100.0,8040240.0,3567690.0,
BAL,Cash and Short Term Investments,12196000.0,24106000.0,17790000.0,7130940.0,4477100.0,8040240.0,3567690.0,
BAL,"Accounts Receivable - Trade, Net",14607000.0,13293000.0,11121000.0,1161300.0,1495460.0,1701990.0,0.0,
BAL,"Total Receivables, Net",63005000.0,60413000.0,61630000.0,24706220.0,20053510.0,21720780.0,17370340.0,
BAL,Prepaid Expenses,9618000.0,11277000.0,10473000.0,,,,,
BAL,"Property/Plant/Equipment, Total - Gross",7852000.0,7922000.0,11415000.0,5466430.0,5365420.0,5185410.0,5183360.0,
BAL,"Accumulated Depreciation, Total",-3941000.0,-3482000.0,-7515000.0,-4491470.0,-4386450.0,-3967750.0,-3272480.0,
BAL,"Property/Plant/Equipment, Total - Net",32095000.0,32228000.0,31501000.0,11070000.0,9090790.0,1217660.0,1910880.0,
BAL,"Goodwill, Net",409432000.0,561188000.0,530760000.0,25464390.0,25167530.0,22184800.0,22184800.0,
BAL,"Intangibles, Net",501190000.0,499479000.0,541166000.0,20578200.0,20542060.0,15483150.0,16148300.0,
BAL,Long Term Investments,192587000.0,203522000.0,215472000.0,196510.0,249950.0,2609190.0,5284760.0,
BAL,"Other Long Term Assets, Total",10901000.0,11050000.0,,,,,,
BAL,"Other Assets, Total",2756000.0,2482000.0,7360000.0,2842410.0,7438780.0,3801040.0,2287400.0,
BAL,Total Assets,1233780000.0,1405745000.0,1416152000.0,91988670.0,87019720.0,75056850.0,68754150.0,
BAL,Payable/Accrued,36914000.0,38724000.0,36433000.0,8073240.0,7287360.0,4439170.0,1972830.0,
BAL,Accrued Expenses,57665000.0,55472000.0,57841000.0,37794190.0,25314550.0,17214490.0,10041240.0,
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Other Current liabilities, Total",1708000.0,1675000.0,1593000.0,1519400.0,,1042610.0,2576530.0,
BAL,Long Term Debt,172804000.0,169094000.0,133251000.0,21187120.0,21827120.0,8448560.0,9697120.0,
BAL,Total Long Term Debt,172804000.0,169094000.0,133251000.0,21187120.0,21827120.0,8448560.0,9697120.0,
BAL,Total Debt,172804000.0,169094000.0,133251000.0,21187120.0,21827120.0,11697120.0,15043410.0,
BAL,Deferred Income Tax,25812000.0,29895000.0,40545000.0,82270.0,33960.0,106990.0,30080.0,
BAL,Minority Interest,463735000.0,550850000.0,590169000.0,319850.0,346210.0,432960.0,0.0,
BAL,"Other Liabilities, Total",93117000.0,87829000.0,185784000.0,5480020.0,2909610.0,535410.0,580050.0,
BAL,Total Liabilities,851755000.0,933539000.0,1045616000.0,74456080.0,57718820.0,35468750.0,30244140.0,
BAL,"Common Stock, Total",6000.0,6000.0,6000.0,18609870.0,30823920.0,39588100.0,38510020.0,
BAL,Additional Paid-In Capital,519996000.0,516262000.0,462275000.0,,,,,
BAL,Retained Earnings (Accumulated Deficit),-141965000.0,-53244000.0,-96686000.0,,,,,
BAL,"Other Equity, Total",3988000.0,9182000.0,4941000.0,-1077290.0,-1523020.0,,,
BAL,Total Equity,382025000.0,472206000.0,370536000.0,17532580.0,29300900.0,39588100.0,38510020.0,
BAL,Total Liabilities & Shareholders' Equity,1233780000.0,1405745000.0,1416152000.0,91988670.0,87019720.0,75056850.0,68754150.0,
BAL,Total Common Shares Outstanding,64770910.0,62957670.0,57916650.0,57488070.0,57488070.0,54892850.0,54892850.0,
BAL,"Tangible Book Value per Share, Common Eq",-8161020.0,-9346930.0,-12110330.0,-495930.0,-285430.0,34980.0,3220.0,
BAL,Current Port. of  LT Debt/Capital Leases,,0.0,,,,3248560.0,5346290.0,
INC,Revenue,49244000.0,51881000.0,58047000.0,76871730.0,18583020.0,75703250.0,64389300.0,59817830.0
INC,Total Revenue,49244000.0,51881000.0,58047000.0,76871730.0,18583020.0,75703250.0,64389300.0,59817830.0
INC,"Selling/General/Admin. Expenses, Total",58346000.0,44737000.0,76015000.0,71007960.0,15591710.0,57464370.0,49902950.0,47235780.0
INC,Depreciation/Amortization,3676000.0,3655000.0,4517000.0,2338930.0,583260.0,2051540.0,1914370.0,1345010.0
INC,Unusual Expense (Income),161233000.0,41273000.0,17773000.0,,1410000.0,6997000.0,,
