,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,134512000.0,130203000.0,173897000.0,231362000.0,,372088000.0,44753000.0,59826000.0
BAL,Cash and Short Term Investments,134512000.0,130203000.0,173897000.0,231362000.0,,372088000.0,44753000.0,59826000.0
BAL,"Accounts Receivable - Trade, Net",13712000.0,15440000.0,15250000.0,18304000.0,,8238000.0,419000.0,146000.0
BAL,"Total Receivables, Net",13713000.0,15748000.0,15561000.0,19458000.0,,10498000.0,613467000.0,211176000.0
BAL,Prepaid Expenses,90860000.0,129711000.0,126902000.0,9664000.0,,14450000.0,5840000.0,1217000.0
BAL,"Property/Plant/Equipment, Total - Net",318842000.0,280772000.0,269123000.0,261963000.0,,208027000.0,135126000.0,116406000.0
BAL,"Intangibles, Net",4920000.0,5064000.0,286000.0,322000.0,,115000.0,76000.0,187000.0
BAL,Long Term Investments,36486000.0,33486000.0,30848000.0,60959000.0,,,,
BAL,"Other Long Term Assets, Total",13148000.0,13693000.0,15617000.0,16351000.0,,14932000.0,37441000.0,24521000.0
BAL,"Other Assets, Total",9126000.0,10336000.0,4537000.0,51330000.0,,26864000.0,16599000.0,7933000.0
BAL,Total Assets,621607000.0,619013000.0,636771000.0,651409000.0,,646974000.0,853302000.0,421266000.0
BAL,Accounts Payable,24962000.0,16483000.0,16084000.0,32405000.0,,32890000.0,8954000.0,6419000.0
BAL,Payable/Accrued,30642000.0,29913000.0,22300000.0,,,,,
BAL,Notes Payable/Short Term Debt,22562000.0,29988000.0,29895000.0,29805000.0,,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",1074000.0,689000.0,663000.0,973000.0,,10473000.0,663004000.0,438192000.0
BAL,Capital Lease Obligations,71066000.0,70665000.0,69597000.0,65452000.0,,59681000.0,16845000.0,20929000.0
BAL,Total Long Term Debt,71066000.0,70665000.0,69597000.0,65452000.0,,89141000.0,17722000.0,20929000.0
