,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,40574000.0,66138000.0,71972000.0,,279232571,374280814.0,54560792.0,72031093.0,36104294.0,24609593.0
BAL,Cash and Short Term Investments,40574000.0,66138000.0,71972000.0,,279232571,374280814.0,63259342.0,74381762.0,36104294.0,37158394.0
BAL,"Accounts Receivable - Trade, Net",9778000.0,10098000.0,,,0,51171.0,993865.0,400446.0,3302705.0,182236.0
BAL,"Total Receivables, Net",9778000.0,10098000.0,,,49897936,40557724.0,16221695.0,22467373.0,22020218.0,4541132.0
BAL,Total Inventory,217128000.0,272139000.0,310456000.0,,185286531,113268684.0,31444785.0,27337842.0,81660904.0,36230759.0
BAL,Prepaid Expenses,81743000.0,83448000.0,138329000.0,,182968070,199082543.0,28313302.0,5066090.0,10429727.0,86221835.0
BAL,Total Current Assets,349223000.0,431823000.0,520757000.0,,700600390,735284579.0,140435862.0,131178193.0,190801450.0,164467791.0
BAL,"Property/Plant/Equipment, Total - Net",36302000.0,53381000.0,72397000.0,,49550474,30184886.0,3710959.0,6325432.0,3893753.0,2566090.0
BAL,"Intangibles, Net",30453000.0,28765000.0,13394000.0,,10330731,2831846.0,,,,
BAL,Long Term Investments,2786000.0,2768000.0,2910000.0,,2788622,2788622.0,3486.0,,,
BAL,"Other Long Term Assets, Total",45355000.0,21712000.0,24242000.0,,14957055,14221974.0,352761.0,732013.0,883993.0,733129.0
BAL,Total Assets,464119000.0,538449000.0,633700000.0,,778227273,785311907.0,144503067.0,138235639.0,195579197.0,167767011.0
BAL,Accounts Payable,19223000.0,27335000.0,26947000.0,,4554378,20000139.0,5215700.0,13810653.0,6586726.0,7032627.0
BAL,Accrued Expenses,62511000.0,70909000.0,40466000.0,,24504183,58541411.0,9303820.0,5898215.0,6596207.0,7022448.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,,0,0.0,6792666.0,17758645.0,146264780.0,0.0
BAL,"Other Current liabilities, Total",9158000.0,11851000.0,15574000.0,,67330033,212186838.0,61297407.0,2302705.0,2531651.0,34185862.0
BAL,Total Current Liabilities,90892000.0,110095000.0,82987000.0,,96388595,290728388.0,82609593.0,39770218.0,161979364.0,48240937.0
BAL,Total Long Term Debt,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0
BAL,Total Debt,0.0,0.0,0.0,,0,0.0,6792666.0,17758645.0,146264780.0,0.0
BAL,"Other Liabilities, Total",9790000.0,2215000.0,2590000.0,,2612521,12334495.0,1581428.0,1868238.0,,
BAL,Total Liabilities,100682000.0,112310000.0,85577000.0,,99001115,303062883.0,84191021.0,41638455.0,161979364.0,48240937.0
BAL,"Common Stock, Total",140.0,140.0,140.0,,139,139.0,139.0,139.0,139.0,139.0
BAL,Additional Paid-In Capital,529827000.0,520088000.0,507884000.0,,446456079,403114055.0,227916760.0,227497072.0,21607641.0,59068879.0
BAL,Retained Earnings (Accumulated Deficit),-65724000.0,14379000.0,125050000.0,,269492052,125594255.0,-153146403.0,-123155605.0,21087284.0,60457195.0
BAL,Treasury Stock - Common,-57055000.0,-57055000.0,-57055000.0,,-42631344,-32247769.0,-3334495.0,0.0,0.0,0.0
BAL,"Other Equity, Total",-43611140.0,-51273140.0,-27756140.0,,5909230,-14211656.0,-11123954.0,-7744423.0,-9095231.0,-139.0
BAL,Total Equity,363437000.0,426139000.0,548123000.0,,679226157,482249024.0,60312047.0,96597183.0,33599833.0,119526074.0
BAL,Total Liabilities & Shareholders' Equity,464119000.0,538449000.0,633700000.0,,778227273,785311907.0,144503067.0,138235639.0,195579197.0,167767011.0
BAL,Total Common Shares Outstanding,2565694110.0,2550564200.0,2526208470.0,,2545521050,2577386550.0,2328326130.0,2372222220.0,2372222220.0,2372222220.0
BAL,"Tangible Book Value per Share, Common Eq",129780.0,155800.0,211670.0,,262773,186009.0,25904.0,40719.0,14163.0,50386.0
BAL,"Other Current Assets, Total",,,,,3215282,8094813.0,1196737.0,1925125.0,40586308.0,315672.0
BAL,"Property/Plant/Equipment, Total - Gross",,,,,72162856,33598996.0,7112939.0,10421361.0,6078918.0,3716397.0
BAL,"Accumulated Depreciation, Total",,,,,-22612381,-3414110.0,-3401980.0,-4095929.0,-2185165.0,-1150307.0
INC,Revenue,33319000.0,73853000.0,55232000.0,610555912.0,136392499,695302008.0,62421361.0,198357920.0,377201757.0,182387479.0
INC,Total Revenue,33319000.0,73853000.0,55232000.0,610555912.0,136392499,695302008.0,62421361.0,198357920.0,377201757.0,182387479.0
INC,"Cost of Revenue, Total",102409000.0,143928000.0,102778000.0,394744423.0,103740658,297819437.0,57155884.0,270304796.0,306354155.0,98117540.0
INC,Gross Profit,-69090000.0,-70075000.0,-47546000.0,215811489.0,32651840,397482571.0,5265477.0,-71946877.0,70847602.0,84269939.0
INC,"Selling/General/Admin. Expenses, Total",24405000.0,28806000.0,19062000.0,88047825.0,21882181,95246235.0,20056191.0,50391383.0,24920106.0,19623815.0
INC,Research & Development,17152000.0,17857000.0,19058000.0,75375767.0,16464584,46015059.0,18985917.0,23050753.0,25722672.0,13384690.0
INC,Unusual Expense (Income),2199000.0,2363000.0,0.0,7384133.0,1574177,,,,0.0,80731.0
INC,Total Operating Expense,146165000.0,192954000.0,140898000.0,568069855.0,143661601,440376603.0,97820273.0,345392917.0,358654071.0,132464306.0
INC,Operating Income,-112846000.0,-119101000.0,-85666000.0,42486057.0,-7269102,254925404.0,-35398912.0,-147034997.0,18547685.0,49923173.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",10951000.0,2800000.0,-2119000.0,36098020.0,14521054,3552287.0,1091606.0,-881344.0,-6532487.0,648912.0
INC,"Other, Net",1349000.0,176000.0,1078000.0,6518963.0,839515,27410485.0,4316509.0,3673452.0,16188232.0,5561350.0
INC,Net Income Before Taxes,-100546000.0,-116125000.0,-86707000.0,85103040.0,8091467,285888176.0,-29990798.0,-144242889.0,27919967.0,55907557.0
INC,Provision for Income Taxes,-20443000.0,-5456000.0,-2341000.0,17289738.0,-424707,6986615.0,0.0,0.0,10849136.0,3507111.0
INC,Net Income After Taxes,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Net Income Before Extra. Items,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Net Income,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Income Available to Com Excl ExtraOrd,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Income Available to Com Incl ExtraOrd,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Diluted Net Income,-80103000.0,-110669000.0,-84366000.0,67813302.0,8516174,278901562.0,-29990798.0,-144242889.0,17070831.0,52400446.0
INC,Diluted Weighted Average Shares,2562542850.0,2547999850.0,2502558390.0,2577892070.0,2580542500,2576157250.0,2345703780.0,2372222220.0,2372222220.0,2372222220.0
INC,Diluted EPS Excluding ExtraOrd Items,-31260.0,-43430.0,-33710.0,26305.0,3300,108263.0,-12786.0,-60805.0,7196.0,22089.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,,0,,,,,
INC,Diluted Normalized EPS,-30700.0,-42830.0,-33710.0,28588.0,3696,108263.0,-12786.0,-60805.0,7269.0,22210.0
CAS,Cash Taxes Paid,,,,44107362.0,44107362,60374.0,0.0,489403.0,17729364.0,201060.0
CAS,Cash Interest Paid,,,,0.0,0,34300.0,520915.0,1615031.0,4987869.0,0.0
CAS,Changes in Working Capital,,,,-452532487.0,-81170664,-114067903.0,31068461.0,62753067.0,-23272588.0,-53899749.0
CAS,Cash from Operating Activities,,,,-236572504.0,-81170664,200620468.0,5897518.0,-39048801.0,-1776771.0,12715979.0
CAS,Capital Expenditures,,,,-13263943.0,-9193112,-5257669.0,-303402.0,-1168433.0,-3473229.0,-1764640.0
CAS,"Other Investing Cash Flow Items, Total",,,,9035973.0,3579336,5970859.0,-6609035.0,-1108477.0,15182376.0,-10334495.0
CAS,Cash from Investing Activities,,,,-4227970.0,-5613776,713190.0,-6912437.0,-2276910.0,11709147.0,-12099136.0
CAS,Financing Cash Flow Items,,,,-28106107.0,-28794757,-4292526.0,-3210402.0,0.0,-96493447.0,20914668.0
CAS,"Issuance (Retirement) of Stock, Net",,,,-22856804.0,-15207892,135476854.0,-3334495.0,169224902.0,,
