,,2023-06-30,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,2004310.0,3825480.0,7023050.0,11206220.0,14603600.0,1425930.0,3642520.0,93630.0,237560.0
BAL,Short Term Investments,266510.0,,,,,,,,
BAL,Cash and Short Term Investments,2270820.0,3825480.0,7023050.0,11206220.0,14603600.0,1425930.0,3642520.0,93630.0,237560.0
BAL,"Total Receivables, Net",3041590.0,5019710.0,2566810.0,2325400.0,264520.0,167400.0,123800.0,,50.0
BAL,Prepaid Expenses,1774170.0,8930.0,1350400.0,111200.0,171740.0,25190.0,329690.0,185730.0,112110.0
BAL,"Other Current Assets, Total",120730.0,181100.0,6950.0,205600.0,0.0,634620.0,251700.0,51110.0,1550.0
BAL,Total Current Assets,7207320.0,9035210.0,10947210.0,13848420.0,15039860.0,2253140.0,4347710.0,330460.0,351280.0
BAL,"Property/Plant/Equipment, Total - Net",1050520.0,1239550.0,1322680.0,709620.0,598600.0,765490.0,1111900.0,32430.0,37550.0
BAL,"Goodwill, Net",106935130.0,,,,,,,,
BAL,"Intangibles, Net",5224440.0,,,,,,,,
BAL,"Other Long Term Assets, Total",899370.0,1140750.0,163570.0,29460.0,114020.0,112890.0,605590.0,0.0,37880.0
BAL,Total Assets,121316770.0,11415510.0,12433470.0,14587500.0,15752480.0,3710270.0,6208550.0,362890.0,426710.0
BAL,Payable/Accrued,3133480.0,125550.0,699560.0,,98320.0,94800.0,222150.0,283500.0,330.0
BAL,Accrued Expenses,2102810.0,925560.0,538990.0,926030.0,542560.0,561800.0,514070.0,185430.0,101940.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,720.0,1430.0,6030.0,239640.0,0.0
BAL,"Other Current liabilities, Total",288700.0,122820.0,,202200.0,,0.0,63250.0,98610.0,
BAL,Total Current Liabilities,5524990.0,1173920.0,1238540.0,1128230.0,641600.0,658030.0,805500.0,807170.0,102270.0
BAL,Long Term Debt,58311870.0,,,0.0,0.0,41250.0,,,
BAL,Total Long Term Debt,58311870.0,0.0,0.0,0.0,0.0,41250.0,0.0,0.0,0.0
BAL,Total Debt,58311870.0,0.0,0.0,0.0,720.0,42680.0,6030.0,239640.0,0.0
BAL,Minority Interest,15215180.0,,,,,,,,
BAL,"Other Liabilities, Total",552940.0,857230.0,786180.0,107550.0,121780.0,315190.0,648330.0,,
BAL,Total Liabilities,79604980.0,2031160.0,2024720.0,1235780.0,763370.0,1014470.0,1453830.0,807170.0,102270.0
BAL,"Common Stock, Total",991450.0,51450.0,31370.0,31370.0,25120.0,20820.0,56070.0,54000.0,54000.0
BAL,Additional Paid-In Capital,77557410.0,31727410.0,29884600.0,29884600.0,26866490.0,12233590.0,11229340.0,3759010.0,2092140.0
BAL,Retained Earnings (Accumulated Deficit),-36630400.0,-22253030.0,-19494860.0,-16607650.0,-11924510.0,-9556900.0,-6375300.0,-4132070.0,-1783070.0
BAL,"Other Equity, Total",-206670.0,-141480.0,-12370.0,43410.0,22010.0,-1710.0,-119390.0,-89220.0,-38640.0
BAL,Total Equity,41711790.0,9384350.0,10408740.0,13351720.0,14989110.0,2695800.0,4754710.0,-444290.0,324440.0
BAL,Total Liabilities & Shareholders' Equity,121316770.0,11415510.0,12433470.0,14587500.0,15752480.0,3710270.0,6208550.0,362890.0,426710.0
BAL,Total Common Shares Outstanding,99145040.0,5145040.0,3137000.0,3137000.0,2512000.0,2082000.0,2007000.0,1800000.0,1980000.0
BAL,"Tangible Book Value per Share, Common Eq",-710550.0,1823960.0,3318060.0,4256210.0,5967000.0,1294810.0,2369060.0,-246830.0,163860.0
BAL,Long Term Investments,,,,0.0,0.0,578750.0,143350.0,,
INC,Revenue,2856450.0,1099130.0,733400.0,653040.0,507050.0,742130.0,200800.0,26880.0,0.0
INC,Total Revenue,2856450.0,1099130.0,733400.0,653040.0,507050.0,742130.0,200800.0,26880.0,0.0
INC,"Cost of Revenue, Total",2729620.0,231080.0,110490.0,141300.0,66910.0,7410.0,90890.0,16310.0,
INC,Gross Profit,126830.0,868050.0,622910.0,511740.0,440140.0,734720.0,109910.0,10570.0,
INC,"Selling/General/Admin. Expenses, Total",3216630.0,6760660.0,3550530.0,6994920.0,2275400.0,3918870.0,3050680.0,2338110.0,918600.0
INC,Total Operating Expense,5946250.0,6991750.0,3661020.0,7721550.0,2925810.0,3926280.0,3141570.0,2354420.0,918600.0
INC,Operating Income,-3089800.0,-5892620.0,-2927620.0,-7068510.0,-2418760.0,-3184150.0,-2940770.0,-2327540.0,-918600.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",-11365620.0,240870.0,37840.0,-37010.0,-15790.0,-51090.0,-12260.0,-20440.0,960.0
INC,"Other, Net",12090.0,6370.0,2580.0,54770.0,66940.0,53650.0,709800.0,-1020.0,-1560.0
INC,Net Income Before Taxes,-14443330.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Provision for Income Taxes,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INC,Net Income After Taxes,-14445070.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Minority Interest,67690.0,,,,,,,,
INC,Net Income Before Extra. Items,-14377370.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Net Income,-14377370.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Income Available to Com Excl ExtraOrd,-14377370.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Income Available to Com Incl ExtraOrd,-14377370.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Diluted Net Income,-14377370.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
INC,Diluted Weighted Average Shares,31154120.0,3497110.0,3137000.0,2450450.0,2386090.0,2038560.0,2001330.0,1980000.0,1980000.0
INC,Diluted EPS Excluding ExtraOrd Items,-461490.0,-1614300.0,-920370.0,-2877340.0,-992260.0,-1560710.0,-1120870.0,-1186360.0,-464240.0
INC,DPS - Common Stock Primary Issue,0.0,,0.0,,0.0,,,,0.0
INC,Diluted Normalized EPS,-461490.0,-1614300.0,-920370.0,-2638470.0,-747720.0,-1560710.0,-1120870.0,-1186360.0,-464240.0
INC,Unusual Expense (Income),,0.0,0.0,585330.0,583500.0,,,,
CAS,Net Income/Starting Line,-14445070.0,-5645380.0,-2887200.0,-7050760.0,-2367610.0,-3181600.0,-2243230.0,-2349000.0,-919200.0
CAS,Depreciation/Depletion,21970.0,66430.0,39020.0,40130.0,14320.0,54580.0,25840.0,27310.0,20970.0
CAS,Deferred Taxes,110.0,,,,,,,,
CAS,Non-Cash Items,11625920.0,232220.0,145040.0,2506700.0,746150.0,1424510.0,477570.0,61880.0,4130.0
CAS,Cash Taxes Paid,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS,Cash Interest Paid,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAS,Changes in Working Capital,-220490.0,-243840.0,-1450110.0,407420.0,175670.0,-280340.0,-399330.0,389460.0,-67130.0
CAS,Cash from Operating Activities,-3017570.0,-5590570.0,-4153240.0,-4096510.0,-1431470.0,-1982850.0,-2139160.0,-1870350.0,-961230.0
CAS,Capital Expenditures,0.0,-3790.0,-6040.0,-37070.0,-8810.0,-18380.0,-129800.0,-23860.0,-6360.0
CAS,"Other Investing Cash Flow Items, Total",-86781310.0,-3540310.0,,-2556110.0,0.0,-313570.0,-595680.0,-42450.0,391750.0
CAS,Cash from Investing Activities,-86781310.0,-3544110.0,-6040.0,-2593180.0,-8810.0,-331940.0,-725480.0,-66310.0,385390.0
CAS,"Issuance (Retirement) of Debt, Net",88000000.0,0.0,,-165640.0,0.0,37250.0,-413190.0,182030.0,
CAS,Cash from Financing Activities,88000000.0,1750140.0,,16471560.0,14637200.0,37250.0,6438220.0,1848890.0,66650.0
CAS,Foreign Exchange Effects,-22290.0,3790.0,-23890.0,-1580.0,-19250.0,60950.0,-24690.0,-56160.0,27390.0
CAS,Net Change in Cash,-1821170.0,-7380740.0,-4183170.0,9780290.0,13177680.0,-2216600.0,3548900.0,-143940.0,-481810.0
CAS,"Issuance (Retirement) of Stock, Net",,1750140.0,,16637200.0,14637200.0,0.0,6851400.0,1666870.0,66650.0
