,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,80142000.0,82316000.0,144315000.0,117128000.0,81852000,139519000.0,51850000.0,8424000.0
BAL,Short Term Investments,327682000.0,363295000.0,311884000.0,355815000.0,405599000,264931000.0,,
BAL,Cash and Short Term Investments,407824000.0,445611000.0,456199000.0,472943000.0,487451000,404450000.0,51850000.0,8424000.0
BAL,"Accounts Receivable - Trade, Net",17205000.0,18649000.0,21817000.0,20844000.0,19515000,10879000.0,3924000.0,1507000.0
BAL,"Total Receivables, Net",17205000.0,18649000.0,21817000.0,20844000.0,19515000,10879000.0,3924000.0,1507000.0
BAL,Total Inventory,12342000.0,12198000.0,11002000.0,11061000.0,11677000,5593000.0,3646000.0,1901000.0
BAL,Prepaid Expenses,8929000.0,7236000.0,10724000.0,13084000.0,17136000,16313000.0,2453000.0,1784000.0
BAL,Total Current Assets,446300000.0,483694000.0,499742000.0,517932000.0,535779000,437703000.0,62273000.0,15344000.0
BAL,"Property/Plant/Equipment, Total - Gross",77310000.0,72974000.0,68014000.0,63214000.0,57879000,32371000.0,20653000.0,15642000.0
BAL,"Accumulated Depreciation, Total",-42942000.0,-38357000.0,-34088000.0,-30140000.0,-26522000,-18253000.0,-12443000.0,-7672000.0
BAL,"Property/Plant/Equipment, Total - Net",34368000.0,34617000.0,33926000.0,33074000.0,31357000,14118000.0,8210000.0,7970000.0
BAL,"Goodwill, Net",69593000.0,69593000.0,69593000.0,69593000.0,69593000,,,
BAL,"Intangibles, Net",9562000.0,10005000.0,10447000.0,10890000.0,11332000,,,
BAL,Long Term Investments,21881000.0,0.0,0.0,3959000.0,7737000,263659000.0,,
BAL,"Other Long Term Assets, Total",7502000.0,6819000.0,5825000.0,4947000.0,4615000,3696000.0,1369000.0,919000.0
BAL,Total Assets,589206000.0,604728000.0,619533000.0,640395000.0,660413000,719176000.0,71852000.0,24233000.0
BAL,Accounts Payable,8594000.0,8162000.0,6044000.0,8331000.0,9456000,12227000.0,3434000.0,2893000.0
BAL,Accrued Expenses,8400000.0,10320000.0,11538000.0,12877000.0,10656000,4510000.0,4372000.0,2034000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",29107000.0,31353000.0,28646000.0,27770000.0,26397000,16590000.0,7229000.0,3250000.0
BAL,Total Current Liabilities,46101000.0,49835000.0,46228000.0,48978000.0,46509000,33327000.0,23250000.0,14925000.0
BAL,Total Long Term Debt,0.0,0.0,0.0,0.0,0,0.0,4502000.0,7630000.0
BAL,Total Debt,0.0,0.0,0.0,0.0,0,0.0,12717000.0,14378000.0
BAL,"Other Liabilities, Total",3049000.0,3391000.0,3225000.0,7506000.0,8077000,417686000.0,632000.0,329000.0
BAL,Total Liabilities,49150000.0,53226000.0,49453000.0,56484000.0,54586000,451013000.0,28384000.0,22884000.0
BAL,"Redeemable Preferred Stock, Total",0.0,0.0,0.0,0.0,0,0.0,166131000.0,112778000.0
BAL,"Common Stock, Total",31000.0,30000.0,30000.0,29000.0,29000,25000.0,10000.0,8000.0
BAL,Additional Paid-In Capital,1275153000.0,1242360000.0,1206100000.0,1168313000.0,1132423000,737735000.0,9153000.0,5866000.0
BAL,Retained Earnings (Accumulated Deficit),-734529000.0,-689775000.0,-633239000.0,-579397000.0,-519047000,-468058000.0,-129998000.0,-115539000.0
BAL,Unrealized Gain (Loss),-547000.0,-1061000.0,,-4982000.0,-7526000,-1487000.0,,
BAL,"Other Equity, Total",-52000.0,-52000.0,-2811000.0,-52000.0,-52000,-52000.0,135000.0,36000.0
BAL,Total Equity,540056000.0,551502000.0,570080000.0,583911000.0,605827000,268163000.0,43468000.0,1349000.0
BAL,Total Liabilities & Shareholders' Equity,589206000.0,604728000.0,619533000.0,640395000.0,660413000,719176000.0,71852000.0,24233000.0
BAL,Total Common Shares Outstanding,305562000.0,300571000.0,295700000.0,290541000.0,287408000,250173000.0,34500000.0,34500000.0
BAL,"Tangible Book Value per Share, Common Eq",1508370.0,1570030.0,1657220.0,1732730.0,1826330,1071910.0,-3498550.0,-3177650.0
BAL,"Other Current Assets, Total",,,,0.0,0,468000.0,400000.0,1728000.0
INC,Revenue,40642000.0,39567000.0,37994000.0,136125000.0,37993000,111174000.0,85884000.0,46009000.0
INC,Total Revenue,40642000.0,39567000.0,37994000.0,136125000.0,37993000,111174000.0,85884000.0,46009000.0
INC,"Cost of Revenue, Total",20745000.0,23604000.0,21582000.0,84279000.0,21602000,51203000.0,37945000.0,23862000.0
INC,Gross Profit,19897000.0,15963000.0,16412000.0,51846000.0,16391000,59971000.0,47939000.0,22147000.0
INC,"Selling/General/Admin. Expenses, Total",53719000.0,56008000.0,54933000.0,242306000.0,56293000,152360000.0,41791000.0,35350000.0
INC,Research & Development,15577000.0,18861000.0,18273000.0,85025000.0,19084000,55379000.0,17710000.0,17195000.0
INC,Total Operating Expense,90041000.0,98473000.0,94788000.0,411610000.0,96979000,258942000.0,97446000.0,76407000.0
INC,Operating Income,-49399000.0,-58906000.0,-56794000.0,-275485000.0,-58986000,-147768000.0,-11562000.0,-30398000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",2086000.0,1310000.0,1693000.0,33315000.0,1691000,-47235000.0,-1482000.0,-1253000.0
INC,"Other, Net",2669000.0,1223000.0,1183000.0,132074000.0,-981000,-143274000.0,-900000.0,-244000.0
INC,Net Income Before Taxes,-44644000.0,-56373000.0,-53918000.0,-110096000.0,-58276000,-338277000.0,-13944000.0,-31895000.0
INC,Provision for Income Taxes,110000.0,163000.0,-76000.0,1243000.0,-17000,-217000.0,77000.0,65000.0
INC,Net Income After Taxes,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Net Income Before Extra. Items,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Net Income,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Income Available to Com Excl ExtraOrd,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Income Available to Com Incl ExtraOrd,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Diluted Net Income,-44754000.0,-56536000.0,-53842000.0,-111339000.0,-58259000,-338060000.0,-14021000.0,-31960000.0
INC,Diluted Weighted Average Shares,303432000.0,298096000.0,293074000.0,283585000.0,286458000,131278000.0,43125000.0,43125000.0
INC,Diluted EPS Excluding ExtraOrd Items,-147490.0,-189660.0,-183710.0,-392610.0,-203380,-2575150.0,-325120.0,-741100.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,,0,,0.0,0.0
INC,Diluted Normalized EPS,-147490.0,-189660.0,-183710.0,-392610.0,-203380,-2575150.0,-325120.0,-741100.0
CAS,Net Income/Starting Line,-155132000.0,-110378000.0,-53842000.0,-111339000.0,-50989000,-338060000.0,-14021000.0,-31960000.0
CAS,Depreciation/Depletion,14130000.0,9102000.0,4391000.0,13297000.0,9237000,5824000.0,4778000.0,4224000.0
CAS,Deferred Taxes,-185000.0,-185000.0,-184000.0,51000.0,-27000,-385000.0,,
CAS,Non-Cash Items,86404000.0,62299000.0,30701000.0,-4514000.0,-41911000,291829000.0,4525000.0,2601000.0
CAS,Changes in Working Capital,6466000.0,6323000.0,-1464000.0,-16057000.0,-15668000,1984000.0,1121000.0,-1691000.0
CAS,Cash from Operating Activities,-48317000.0,-32839000.0,-20398000.0,-118562000.0,-99358000,-38808000.0,-3597000.0,-26826000.0
CAS,Capital Expenditures,-7640000.0,-5349000.0,-2654000.0,-14320000.0,-11307000,-8010000.0,-4884000.0,-4870000.0
CAS,"Other Investing Cash Flow Items, Total",15966000.0,1322000.0,49553000.0,109497000.0,54370000,-533811000.0,,
CAS,Cash from Investing Activities,8326000.0,-4027000.0,46899000.0,95177000.0,43063000,-541821000.0,-4884000.0,-4870000.0
CAS,Financing Cash Flow Items,-329000.0,-329000.0,-329000.0,-34348000.0,-34348000,-10013000.0,-1037000.0,-26000.0
CAS,"Issuance (Retirement) of Stock, Net",3309000.0,2195000.0,686000.0,34625000.0,33136000,691529000.0,44789000.0,32328000.0
CAS,Cash from Financing Activities,2980000.0,1866000.0,357000.0,277000.0,-1212000,668449000.0,50462000.0,34170000.0
CAS,Foreign Exchange Effects,25000.0,188000.0,329000.0,249000.0,-628000,-83000.0,117000.0,107000.0
CAS,Net Change in Cash,-36986000.0,-34812000.0,27187000.0,-22859000.0,-58135000,87737000.0,42098000.0,2581000.0
CAS,Cash Interest Paid,,,,0.0,0,753000.0,1071000.0,1274000.0
CAS,"Issuance (Retirement) of Debt, Net",,,,0.0,0,-13067000.0,6710000.0,1868000.0
