,,2023-06-30,2022-12-31,2022-06-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,21629000.0,2812000.0,63021000.0,,0.0,10000000.0
BAL,Cash and Short Term Investments,21629000.0,41388000.0,63021000.0,83921000.0,119151000.0,35094000.0
BAL,"Accounts Receivable - Trade, Net",1090000.0,101000.0,238000.0,0.0,62000.0,11000.0
BAL,"Total Receivables, Net",1090000.0,7988000.0,6511000.0,6926000.0,3880000.0,8363000.0
BAL,"Other Current Assets, Total",10909000.0,1000.0,2902000.0,,,-1000.0
BAL,Total Current Assets,33628000.0,52358000.0,72859000.0,93060000.0,125248000.0,46127000.0
BAL,"Property/Plant/Equipment, Total - Net",6483000.0,7120000.0,7412000.0,8186000.0,8256000.0,9386000.0
BAL,"Intangibles, Net",1000.0,1000.0,1000.0,4000.0,21000.0,163000.0
BAL,Long Term Investments,294000.0,291000.0,352000.0,519000.0,505000.0,529000.0
BAL,"Other Long Term Assets, Total",1000.0,-1000.0,,,,
BAL,Total Assets,40407000.0,59769000.0,80624000.0,101769000.0,134030000.0,56205000.0
BAL,Accounts Payable,16712000.0,,,,,
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,9572000.0,4060000.0,8504000.0,7404000.0,4372000.0,591000.0
BAL,"Other Current liabilities, Total",23570000.0,27281000.0,27953000.0,24363000.0,8138000.0,8628000.0
BAL,Total Current Liabilities,49854000.0,37936000.0,42580000.0,36845000.0,19041000.0,14347000.0
BAL,Long Term Debt,37770000.0,41782000.0,28900000.0,30164000.0,36141000.0,34746000.0
BAL,Capital Lease Obligations,4107000.0,4568000.0,4855000.0,5393000.0,4991000.0,5814000.0
BAL,Total Long Term Debt,41877000.0,46350000.0,33755000.0,35557000.0,41132000.0,40560000.0
BAL,Total Debt,51449000.0,50410000.0,42259000.0,42961000.0,45504000.0,41151000.0
BAL,"Other Liabilities, Total",2459000.0,2528000.0,2497000.0,2577000.0,3389000.0,3206000.0
BAL,Total Liabilities,94190000.0,86814000.0,78832000.0,74979000.0,63562000.0,58113000.0
BAL,"Common Stock, Total",1057000.0,1046000.0,1046000.0,1045000.0,1033000.0,672000.0
BAL,Additional Paid-In Capital,255734000.0,255760000.0,255760000.0,255767000.0,255735000.0,153139000.0
BAL,Retained Earnings (Accumulated Deficit),-311057000.0,-284323000.0,-255453000.0,-230462000.0,-186659000.0,-155984000.0
BAL,Treasury Stock - Common,-228000.0,-228000.0,-239000.0,-202000.0,-196000.0,-169000.0
BAL,"Other Equity, Total",711000.0,700000.0,678000.0,642000.0,555000.0,434000.0
BAL,Total Equity,-53783000.0,-27045000.0,1792000.0,26790000.0,70468000.0,-1908000.0
BAL,Total Liabilities & Shareholders' Equity,40407000.0,59769000.0,80624000.0,101769000.0,134030000.0,56205000.0
BAL,"Tangible Book Value per Share, Common Eq",-53784000.0,-775990.0,51390.0,769480.0,2046740.0,-92460.0
BAL,Prepaid Expenses,,2981000.0,425000.0,2213000.0,2217000.0,2671000.0
BAL,"Property/Plant/Equipment, Total - Gross",,15300000.0,14947000.0,15017000.0,13630000.0,13197000.0
BAL,"Accumulated Depreciation, Total",,-8180000.0,-7535000.0,-6831000.0,-5374000.0,-3811000.0
BAL,Accrued Expenses,,6595000.0,6123000.0,5078000.0,6531000.0,5128000.0
BAL,Total Common Shares Outstanding,,34853750.0,34850170.0,34810420.0,34419150.0,22399320.0
BAL,Cash,,38576000.0,,83921000.0,119151000.0,25094000.0
INC,Revenue,0.0,0.0,0.0,10000.0,50000.0,68000.0
INC,Total Revenue,0.0,0.0,0.0,10000.0,50000.0,68000.0
INC,"Selling/General/Admin. Expenses, Total",10692000.0,17479000.0,9495000.0,19017000.0,14271000.0,18639000.0
INC,Research & Development,17221000.0,31283000.0,15938000.0,29167000.0,23040000.0,28784000.0
INC,Depreciation/Amortization,755000.0,1731000.0,810000.0,1628000.0,1630000.0,1897000.0
INC,Unusual Expense (Income),-809000.0,6855000.0,,,,
INC,"Other Operating Expenses, Total",-3298000.0,-3791000.0,-366000.0,2777000.0,-2463000.0,-2473000.0
INC,Total Operating Expense,24561000.0,53557000.0,25877000.0,52589000.0,36478000.0,46847000.0
INC,Operating Income,-24561000.0,-53557000.0,-25877000.0,-52579000.0,-36428000.0,-46779000.0
