,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31
BAL,Cash & Equivalents,168448000,173787000,160456000,176765000.0,163343000,253029000.0,124806000.0,80030000.0,30630000.0
BAL,Short Term Investments,100122000,152128000,188850000,247198000.0,322407000,297967000.0,253458000.0,58952000.0,0.0
BAL,Cash and Short Term Investments,268570000,325915000,349306000,423963000.0,485750000,550996000.0,378264000.0,138982000.0,30630000.0
BAL,Prepaid Expenses,7120000,6606000,14502000,14374000.0,8400000,7105000.0,6203000.0,5281000.0,1966000.0
BAL,"Other Current Assets, Total",3832000,6100000,6100000,6100000.0,6100000,,,,
BAL,Total Current Assets,279522000,338621000,369908000,444437000.0,500250000,558101000.0,384467000.0,144263000.0,32596000.0
BAL,"Property/Plant/Equipment, Total - Gross",192870000,200139000,200699000,193380000.0,193278000,180558000.0,117680000.0,70624000.0,586000.0
BAL,"Accumulated Depreciation, Total",-47266000,-42770000,-38323000,-33977000.0,-30196000,-18774000.0,-7737000.0,-1816000.0,-1000.0
BAL,"Property/Plant/Equipment, Total - Net",145604000,157369000,162376000,159403000.0,163082000,161784000.0,109943000.0,68808000.0,585000.0
BAL,"Goodwill, Net",140627000,140627000,140627000,140627000.0,140627000,140627000.0,140627000.0,140627000.0,0.0
BAL,"Intangibles, Net",59195000,59195000,59195000,59195000.0,59195000,59195000.0,59195000.0,59195000.0,0.0
BAL,Long Term Investments,0,0,5825000,10051000.0,25823000,195881000.0,33731000.0,0.0,
BAL,"Other Long Term Assets, Total",6492000,11335000,8997000,9007000.0,9125000,13819000.0,2333000.0,2299000.0,1152000.0
BAL,Total Assets,631440000,707147000,746928000,822720000.0,898102000,1129407000.0,730296000.0,415192000.0,34333000.0
BAL,Accounts Payable,9928000,3089000,2334000,2857000.0,3993000,2219000.0,2253000.0,0.0,289000.0
BAL,Accrued Expenses,54645000,47175000,40981000,50436000.0,49143000,38246000.0,25538000.0,17690000.0,1132000.0
BAL,Notes Payable/Short Term Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",2071000,61841000,59462000,58211000.0,61677000,58770000.0,3660000.0,1633000.0,364000.0
BAL,Total Current Liabilities,66644000,112105000,102777000,111504000.0,114813000,99235000.0,31451000.0,19323000.0,1785000.0
BAL,Total Long Term Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0
BAL,Total Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",198944000,240013000,215889000,211901000.0,217270000,301670000.0,267132000.0,121052000.0,15000.0
BAL,Total Liabilities,265588000,352118000,318666000,323405000.0,332083000,400905000.0,298583000.0,140375000.0,1800000.0
BAL,"Redeemable Preferred Stock, Total",0,0,0,0.0,0,0.0,926666000.0,450837000.0,46536000.0
BAL,"Common Stock, Total",20000,20000,19000,19000.0,19000,18000.0,2000.0,1000.0,1000.0
BAL,Additional Paid-In Capital,1616008000,1606832000,1567341000,1558459000.0,1546807000,1515210000.0,8216000.0,1558000.0,58000.0
BAL,Retained Earnings (Accumulated Deficit),-1249974000,-1250958000,-1136959000,-1054836000.0,-974393000,-785360000.0,-429432000.0,-144127000.0,-13247000.0
BAL,"Other Equity, Total",-202000,-865000,-2139000,-4327000.0,-6414000,-1366000.0,30000.0,26000.0,0.0
BAL,Total Equity,365852000,355029000,428262000,499315000.0,566019000,728502000.0,431713000.0,274817000.0,32533000.0
BAL,Total Liabilities & Shareholders' Equity,631440000,707147000,746928000,822720000.0,898102000,1129407000.0,730296000.0,415192000.0,34333000.0
BAL,Total Common Shares Outstanding,197064000,196880000,191409000,191022000.0,189885000,184929000.0,183814780.0,183814780.0,183814780.0
BAL,"Tangible Book Value per Share, Common Eq",842520,788330,1193470,1567850.0,1928520,2858830.0,-3378430.0,-1862550.0,-71750.0
INC,Total Revenue,0,0,0,0.0,0,0.0,0.0,0.0,0.0
INC,"Selling/General/Admin. Expenses, Total",19183000,16566000,16766000,71561000.0,15514000,50410000.0,27770000.0,21177000.0,4206000.0
INC,Research & Development,65613000,73044000,67166000,285885000.0,76735000,248626000.0,257879000.0,119375000.0,9040000.0
INC,"Other Operating Expenses, Total",-82615000,26679000,120000,-84882000.0,-6062000,57873000.0,,,
INC,Total Operating Expense,2181000,116289000,84052000,272564000.0,86187000,356909000.0,286149000.0,141152000.0,13246000.0
INC,Operating Income,-2181000,-116289000,-84052000,-272564000.0,-86187000,-356909000.0,-286149000.0,-141152000.0,-13246000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",2862000,2374000,1976000,3762000.0,1173000,676000.0,747000.0,2856000.0,0.0
INC,"Other, Net",303000,-84000,-47000,-674000.0,-106000,305000.0,97000.0,-29000.0,-1000.0
INC,Net Income Before Taxes,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-138325000.0,-13247000.0
INC,Net Income After Taxes,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Net Income Before Extra. Items,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Net Income,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Income Available to Com Excl ExtraOrd,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Income Available to Com Incl ExtraOrd,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Diluted Net Income,984000,-113999000,-82123000,-269476000.0,-85120000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
INC,Diluted Weighted Average Shares,200473000,192540000,191228000,188344000.0,189303000,166433000.0,183814780.0,183814780.0,183814780.0
INC,Diluted EPS Excluding ExtraOrd Items,4910,-592080,-429450,-1430760.0,-449650,-2138570.0,-1552130.0,-711470.0,-72070.0
INC,DPS - Common Stock Primary Issue,0,0,0,,0,,,0.0,0.0
INC,Diluted Normalized EPS,4910,-592080,-429450,-1430760.0,-449650,-2138570.0,-1549410.0,-709340.0,-72070.0
CAS,Net Income/Starting Line,-195138000,-196122000,-82123000,-269476000.0,-189033000,-355928000.0,-285305000.0,-130778000.0,-13247000.0
