Date,Open,High,Low,Close,Volume
20230215,9.94,10.23,9.02,10.03,3205829
20230216,9.91,10.38,9.63,9.63,818865
20230217,9.66,9.66,9.13,9.5,646031
20230221,9.31,9.31,8.63,8.8,970833
20230222,8.86,9.1,8.59,8.83,489934
20230223,8.92,8.98,8.44,8.64,503955
20230224,8.37,8.49,8.18,8.32,468948
20230227,8.51,8.57,8.17,8.43,326467
20230228,8.41,8.66,8.37,8.55,357112
20230301,8.57,8.57,8.11,8.13,438927
20230302,8.0,8.62,7.86,8.53,505800
20230303,8.64,9.17,8.55,9.08,323926
20230306,8.59,8.84,8.18,8.46,856759
20230307,8.45,8.91,8.24,8.6,651060
20230308,8.63,9.07,8.41,8.89,574103
20230309,8.82,8.82,8.21,8.22,485067
20230310,8.16,8.17,7.61,8.0,1088713
20230313,7.87,8.57,7.79,8.3,576438
20230314,8.63,8.72,8.05,8.14,623202
20230315,7.87,8.24,7.83,8.22,404041
20230316,8.18,8.5,7.98,8.4,361989
20230317,8.31,8.47,7.87,8.01,712457
20230320,8.04,8.21,7.9,8.03,322254
20230321,8.14,8.48,7.92,8.35,509687
20230322,8.33,8.33,7.91,7.93,552721
20230323,8.03,8.24,7.79,7.84,419131
20230324,7.75,8.44,7.66,8.43,997581
20230327,8.55,8.88,8.4,8.72,417310
20230328,8.63,8.69,8.11,8.24,377604
20230329,8.43,8.55,8.21,8.44,411137
20230330,8.53,8.67,8.21,8.42,340232
20230331,8.54,8.95,8.45,8.83,465043
20230403,8.78,8.93,8.55,8.71,421196
20230404,8.76,8.85,8.54,8.73,316736
20230405,8.64,8.74,8.38,8.43,362087
20230406,8.42,8.73,8.31,8.61,388223
20230410,8.49,8.61,8.33,8.59,265151
20230411,8.62,8.85,7.27,8.17,2853117
20230412,8.33,8.48,8.01,8.15,592957
20230413,8.18,8.65,8.12,8.48,550109
20230414,8.46,8.65,7.87,7.91,335935
20230417,7.97,8.41,7.87,8.22,320796
20230418,8.31,8.39,7.84,8.3,983130
20230419,8.14,8.55,8.07,8.49,572606
20230420,8.32,8.56,8.24,8.33,331686
20230421,8.34,8.67,8.24,8.59,438412
20230424,8.61,8.61,8.2,8.25,295983
20230425,8.17,8.21,7.42,7.44,430905
20230426,7.5,7.52,7.09,7.33,393579
20230427,7.37,7.37,7.01,7.08,402308
20230428,7.1,7.36,6.91,7.14,325059
20230501,7.2,7.42,7.05,7.35,423902
20230502,7.31,7.31,7.01,7.01,636843
20230503,7.12,7.75,7.08,7.5,833366
20230504,6.85,7.2,6.33,6.43,933834
20230505,6.52,6.63,6.14,6.35,887533
20230508,6.49,6.73,6.29,6.6,816873
20230509,6.65,7.26,6.32,7.01,938857
20230510,7.21,7.33,7.02,7.12,607078
20230511,7.0,7.04,6.72,6.79,620913
20230512,6.79,6.86,6.39,6.46,562267
20230515,6.49,6.59,6.37,6.49,464245
20230516,6.45,6.45,6.06,6.2,541194
20230517,6.23,6.28,5.96,6.25,524006
20230518,6.25,6.47,6.02,6.19,668097
20230519,6.27,6.48,6.2,6.28,534336
20230522,6.29,6.59,6.14,6.37,838067
20230523,6.34,6.68,6.34,6.54,898843
20230524,6.63,7.02,6.32,6.96,1285213
20230525,7.16,7.16,6.63,6.8,1205196
20230526,6.85,7.01,6.7,6.91,541225
20230530,7.02,7.12,6.9,6.99,865085
20230531,6.95,7.12,6.83,6.96,815413
20230601,6.96,7.14,6.76,7.05,611809
20230602,7.16,7.47,7.12,7.46,777899
20230605,7.47,7.63,7.38,7.5,629082
20230606,7.5,7.91,7.47,7.7,500685
20230607,7.92,8.09,7.57,7.64,645486
20230608,7.62,7.68,7.32,7.37,475496
20230609,7.39,7.51,7.19,7.31,459271
20230612,7.36,7.98,7.29,7.94,654193
20230613,8.2,8.89,8.05,8.78,1254806
20230614,8.82,9.08,8.47,8.51,799585
20230615,8.42,8.74,8.28,8.67,577620
20230616,8.79,8.81,8.34,8.39,704251
20230620,8.32,8.34,7.96,8.25,691767
20230621,8.02,8.12,7.63,7.83,1172110
20230622,7.8,7.8,7.13,7.22,819021
20230623,7.11,7.16,6.85,6.94,740813
20230626,6.94,7.0,6.72,6.73,424222
20230627,6.78,6.82,6.54,6.8,435924
20230628,6.79,6.9,6.61,6.86,386487
20230629,6.86,6.95,6.75,6.82,467420
20230630,6.91,7.01,6.7,6.71,402555
20230703,6.74,6.77,6.57,6.68,274684
20230705,6.7,6.73,6.34,6.37,595537
20230706,6.25,6.28,6.0,6.05,619560
20230707,6.06,6.13,6.01,6.04,712477
20230710,6.07,6.65,6.01,6.54,1266483
20230711,6.63,7.03,6.63,6.94,1132525
20230712,7.15,7.81,7.15,7.57,1145361
20230713,7.62,7.72,7.24,7.36,877982
20230714,7.38,7.45,7.08,7.17,528277
20230717,7.14,7.52,7.03,7.37,736291
20230718,7.39,7.62,7.31,7.59,530116
20230719,7.6,7.95,7.59,7.75,620438
20230720,7.69,7.79,7.6,7.7,584634
20230721,7.78,8.12,7.48,8.08,688074
20230724,8.08,8.17,7.76,7.8,555601
20230725,7.78,7.98,7.66,7.85,320068
20230726,7.78,8.1,7.67,8.06,448794
20230727,8.19,8.2,7.75,7.82,467556
20230728,7.96,8.09,7.76,8.07,397090
20230731,8.16,8.51,8.12,8.44,687773
20230801,8.33,8.39,8.15,8.25,455509
20230802,8.06,8.1,7.87,7.96,600661
20230803,7.64,7.73,6.71,6.97,2163281
20230804,7.19,7.19,6.64,6.83,1619687
20230807,6.78,6.8,6.48,6.7,962133
20230808,6.6,6.67,6.45,6.65,649748
20230809,6.63,6.66,6.4,6.49,714390
20230810,6.5,6.65,6.25,6.42,821009
20230811,6.36,6.45,6.19,6.3,754273
20230814,6.24,6.28,6.0,6.26,1224385
20230815,6.18,6.56,6.17,6.29,1034962
20230816,6.2,6.38,6.13,6.22,965173
20230817,6.21,6.25,6.04,6.12,886344
20230818,6.0,6.28,5.99,6.22,1771248
20230821,6.23,6.49,6.08,6.44,757584
20230822,6.48,6.54,6.23,6.33,966906
20230823,6.36,6.6,6.27,6.5,1217653
20230824,6.5,6.51,6.04,6.07,967127
20230825,6.09,6.26,6.04,6.16,891676
20230828,6.21,6.3,6.12,6.17,609732
20230829,6.17,6.73,6.12,6.68,1455859
20230830,6.64,6.86,6.56,6.83,604867
20230831,6.86,6.93,6.7,6.77,523209
20230901,6.84,6.96,6.72,6.81,313212
20230905,6.73,6.81,6.56,6.64,427363
20230906,6.63,6.64,6.41,6.57,432092
20230907,6.44,6.45,6.18,6.3,840290
20230908,6.29,6.29,6.0,6.0,847655
20230911,6.09,6.24,6.0,6.23,784805
20230912,6.2,6.85,6.14,6.67,1056223
20230913,6.69,6.86,6.54,6.56,574637
20230914,6.61,6.67,6.18,6.21,892739
20230915,6.21,6.28,6.05,6.06,777849
20230918,6.06,6.06,5.51,5.52,1287230
20230919,5.52,5.57,5.09,5.43,1545438
20230920,5.46,5.49,5.16,5.18,718354
20230921,5.03,5.25,4.95,5.18,1260821
20230922,5.21,5.29,5.04,5.07,946744
20230925,4.99,5.19,4.98,5.08,740545
20230926,5.9,6.34,5.49,5.56,4820536
20230927,5.66,5.77,5.35,5.64,1580995
20230928,5.64,5.73,5.44,5.55,1103741
20230929,5.63,5.69,5.39,5.45,750258
20231002,5.44,5.44,5.13,5.19,1023285
20231003,5.14,5.3,5.12,5.22,1001626
20231004,5.26,5.26,4.8,4.81,1099043
20231005,4.8,4.8,4.5,4.74,1419670
20231006,4.68,4.78,4.55,4.7,1073494
20231009,4.65,4.7,4.49,4.63,794232
20231010,4.63,5.03,4.62,4.95,997917
20231011,4.96,5.04,4.73,4.76,562869
20231012,4.79,4.79,4.28,4.32,1002164
20231013,4.3,4.42,4.28,4.29,620716
20231016,4.24,4.38,4.1,4.36,1188137
20231017,4.29,4.6,4.29,4.44,918041
20231018,4.39,4.39,4.15,4.15,596562
20231019,4.13,4.2,3.96,4.08,813955
20231020,4.05,4.17,3.94,4.12,715154
20231023,4.09,4.3,4.0,4.18,851411
20231024,4.19,4.75,4.19,4.69,1479070
20231025,4.65,4.71,4.21,4.28,1378499
20231026,4.3,4.54,4.26,4.45,1013604
20231027,4.46,4.46,4.02,4.25,1486459
20231030,4.34,4.35,4.07,4.33,581224
20231031,4.31,4.59,4.27,4.44,1300144
20231101,4.47,4.52,4.24,4.44,702966
20231102,4.58,4.88,4.57,4.86,1003547
20231103,4.96,5.28,4.8,4.97,1541887
20231106,5.08,5.09,4.74,4.8,1008387
20231107,4.75,4.92,4.63,4.82,1222837
20231108,4.84,4.84,4.46,4.51,1507171
20231109,4.59,4.61,4.26,4.29,1363005
20231110,3.82,3.84,2.6,3.51,5774329
20231113,3.42,3.49,3.15,3.46,2641522
20231114,3.64,4.1,3.58,4.09,2912703
20231115,4.11,4.51,4.09,4.28,965466
20231116,4.13,4.24,3.98,4.03,824987
20231117,4.06,4.36,4.06,4.31,1099746
20231120,4.34,4.65,4.22,4.44,1030924
20231121,4.4,4.42,4.06,4.22,1395780
20231122,4.31,4.48,4.21,4.25,678440
20231124,4.23,4.46,4.2,4.37,417891
20231127,4.34,4.38,4.14,4.33,640070
20231128,4.32,4.49,4.21,4.37,503955
20231129,4.43,4.72,4.43,4.62,742432
20231130,4.68,4.7,4.31,4.38,797405
20231201,4.36,4.77,4.21,4.7,628822
20231204,4.69,4.89,4.63,4.76,536515
