Date,Open,High,Low,Close,Volume
20230215,3.07,3.2,2.98,3.19,79783
20230216,3.12,3.19,3.06,3.07,76232
20230217,3.11,3.1617,3.04,3.13,98607
20230221,3.06,3.155,2.9,3.04,196110
20230222,3.06,3.14,2.96,3.09,59541
20230223,3.13,3.23,2.99,3.04,242709
20230224,2.98,3.11,2.87,2.91,376496
20230227,2.94,3.205,2.88,3.0,175679
20230228,2.98,3.16,2.93,3.06,174169
20230301,3.05,3.1,2.98,3.05,90922
20230302,3.13,3.13,2.94,3.03,156807
20230303,3.1,3.152,2.985,3.14,108934
20230306,3.14,3.27,3.04,3.25,119880
20230307,3.28,3.29,3.16,3.21,75038
20230308,3.22,3.22,2.985,3.0,161399
20230309,3.03,3.07,2.74,2.85,586932
20230310,2.86,2.9309,2.675,2.72,245424
20230313,2.68,2.73,2.53,2.66,181011
20230314,2.76,3.0,2.7001,2.98,327595
20230315,2.9,3.035,2.81,2.85,132370
20230316,2.81,2.89,2.65,2.84,106335
20230317,2.79,2.96,2.73,2.94,323773
20230320,2.92,2.92,2.65,2.68,143262
20230321,2.72,2.96,2.72,2.9,112175
20230322,2.91,3.27,2.87,3.02,161657
20230323,3.05,3.34,3.05,3.09,120473
20230324,3.17,3.17,2.75,2.91,123521
20230327,2.95,3.33,2.94,3.24,159196
20230328,3.17,3.3089,3.1286,3.18,53652
20230329,3.18,3.2488,3.02,3.05,73001
20230330,3.08,3.08,2.88,2.91,74989
20230331,2.96,3.11,2.86,3.09,116959
20230403,3.09,3.2,3.02,3.1,80140
20230404,3.09,3.095,3.0,3.07,40369
20230405,3.05,3.1,2.9013,2.96,35534
20230406,2.98,3.23,2.98,3.22,73149
20230410,3.24,3.39,3.205,3.33,82363
20230411,3.33,3.79,3.2046,3.75,228839
20230412,3.78,3.78,3.47,3.48,149432
20230413,3.48,3.6,3.275,3.31,129877
20230414,3.36,3.427,3.215,3.25,104662
20230417,3.28,3.5499,3.2025,3.41,81876
20230418,3.42,3.4699,3.23,3.34,97277
20230419,3.33,3.57,3.29,3.35,174423
20230420,3.355,3.42,3.26,3.33,61117
20230421,3.3,3.395,3.25,3.31,86416
20230424,3.29,3.44,3.23,3.4,59824
20230425,3.36,3.43,3.32,3.39,51330
20230426,3.38,3.4,3.21,3.32,52956
20230427,3.33,3.39,3.17,3.23,61112
20230428,3.23,3.36,3.1,3.24,43335
20230501,3.25,3.42,3.25,3.35,55187
20230502,3.35,4.0076,3.26,3.84,760082
20230503,3.97,4.19,3.8,4.11,371121
20230504,4.12,4.47,4.1,4.4,287943
20230505,4.3,4.7,4.3,4.61,175880
20230508,4.8,5.6,4.67,4.97,615770
20230509,5.06,5.12,4.44,4.44,332227
20230510,4.55,4.67,4.34,4.39,396019
20230511,4.5,4.5,4.16,4.245,448978
20230512,4.41,4.41,3.82,3.97,236481
20230515,4.02,4.09,3.905,3.985,187033
20230516,4.0,4.015,3.79,3.89,102671
20230517,3.9,4.17,3.8,4.14,137181
20230518,4.15,4.274,4.05,4.21,124826
20230519,4.27,4.33,4.05,4.14,124120
20230522,4.18,4.63,4.07,4.28,532254
20230523,4.26,4.405,3.98,4.02,295730
20230524,4.0,4.27,3.91,3.92,243767
20230525,3.98,3.99,3.52,3.61,657976
20230526,3.61,3.899,3.57,3.7,313605
20230530,3.85,3.96,3.5,3.53,509278
20230531,3.59,3.64,3.36,3.43,307952
20230601,3.45,3.6455,3.37,3.38,168638
20230602,3.41,3.63,3.4,3.55,285052
20230605,3.55,3.87,3.53,3.73,158389
20230606,3.82,4.155,3.69,4.09,246411
20230607,4.09,4.41,4.051,4.18,393727
20230608,4.26,4.36,4.1,4.25,184711
20230609,4.25,4.5653,4.2,4.29,293270
20230612,4.4,4.4,3.91,3.92,410405
20230613,3.96,4.39,3.65,3.65,978180
20230614,3.81,3.905,3.44,3.445,938886
20230615,3.46,3.57,3.06,3.35,1319535
20230616,3.51,3.51,3.16,3.22,739247
20230620,3.35,3.35,2.85,2.89,886838
20230621,2.95,3.02,2.8209,2.89,635974
20230622,3.01,3.05,2.825,2.93,527898
20230623,2.88,3.09,2.83,2.98,963640
20230626,3.0,3.0,2.775,2.9,486851
20230627,2.9,3.02,2.81,2.96,254153
20230628,2.96,3.04,2.86,3.03,350716
20230629,3.07,3.08,2.95,3.02,291167
20230630,3.04,3.04,2.84,2.86,346090
20230703,2.86,2.89,2.8,2.84,296510
20230705,2.86,2.86,2.72,2.79,494678
20230706,2.74,2.8,2.69,2.75,272788
20230707,2.75,2.84,2.725,2.84,213301
20230710,2.84,2.96,2.75,2.88,883287
20230711,2.9,2.93,2.83,2.89,239840
20230712,2.93,3.115,2.9,3.08,435156
20230713,3.11,3.2737,3.05,3.19,379748
20230714,3.19,3.28,3.02,3.03,201351
20230717,3.02,3.12,2.99,3.08,157060
20230718,3.08,3.21,3.04,3.16,249294
20230719,3.17,3.22,3.12,3.13,187227
20230720,3.12,3.16,3.0025,3.02,273965
20230721,3.05,3.13,2.98,2.99,335925
20230724,3.01,3.01,2.8,2.93,451060
20230725,2.95,2.975,2.84,2.87,169166
20230726,2.87,2.98,2.85,2.91,394226
20230727,2.91,2.94,2.76,2.77,385842
20230728,2.78,3.055,2.78,2.99,266269
20230731,3.12,3.29,3.04,3.28,303730
20230801,3.24,3.275,3.16,3.21,246783
20230802,3.18,3.22,3.1,3.12,703281
20230803,3.11,3.19,3.07,3.12,262512
20230804,3.12,3.2,3.07,3.1,109220
20230807,3.11,3.11,2.95,3.01,289647
20230808,2.95,3.11,2.93,3.1,115094
20230809,3.1,3.1,2.965,3.08,367770
20230810,3.1,3.5,3.08,3.41,475644
20230811,3.46,3.46,3.1903,3.27,221401
20230814,3.51,4.1,3.215,4.04,1740955
20230815,3.9,4.6289,3.88,4.48,1489511
20230816,4.48,4.74,4.18,4.19,966676
20230817,4.25,4.28,3.5,3.54,1391708
20230818,3.65,3.75,3.5,3.56,1326998
20230821,3.8,3.81,3.22,3.37,1449934
20230822,3.4,3.84,3.4,3.65,1029007
20230823,3.66,4.03,3.59,3.98,578580
20230824,4.02,4.02,3.55,3.63,782233
20230825,3.64,3.7,3.48,3.57,533493
20230828,3.7,3.8698,3.6195,3.775,679266
20230829,3.77,4.02,3.75,3.94,668353
20230830,3.93,4.04,3.84,3.97,337440
20230831,3.98,3.99,3.8,3.83,417909
20230901,3.87,4.12,3.85,4.04,412763
20230905,4.02,4.275,3.96,4.01,565381
20230906,4.03,4.075,3.65,3.85,750186
20230907,3.82,3.927,3.725,3.8,501591
20230908,3.8,3.8596,3.65,3.79,583612
20230911,3.83,4.09,3.65,3.7,745823
20230912,3.9,4.1498,3.68,3.88,1598711
20230913,3.85,4.1,3.81,3.89,494028
20230914,3.91,3.965,3.5,3.54,1314922
20230915,3.55,3.615,3.23,3.235,1198357
20230918,3.39,3.39,2.9714,3.05,1169976
20230919,3.05,3.07,2.93,3.03,709267
20230920,3.02,3.16,2.94,2.94,443634
20230921,2.92,3.085,2.86,2.93,606410
20230922,2.94,2.975,2.875,2.88,264797
20230925,2.87,2.925,2.82,2.86,224735
20230926,2.8,2.925,2.8,2.84,171171
20230927,2.85,2.98,2.84,2.96,328162
20230928,2.95,3.02,2.87,2.92,194795
20230929,2.92,2.9501,2.855,2.93,164988
20231002,3.04,3.04,2.78,2.82,283634
20231003,2.8,2.8119,2.7,2.75,243960
20231004,2.72,2.79,2.6821,2.76,184093
20231005,2.76,2.84,2.73,2.83,174022
20231006,2.81,2.92,2.74,2.89,216827
20231009,2.86,2.88,2.78,2.87,158088
20231010,2.85,2.95,2.81,2.82,168962
20231011,2.89,2.89,2.7,2.72,285016
20231012,2.7,2.72,2.4301,2.45,532567
20231013,2.43,2.59,2.36,2.58,275521
20231016,2.59,2.65,2.465,2.6,208861
20231017,2.63,2.695,2.56,2.64,234779
20231018,2.61,2.62,2.4,2.42,198920
20231019,2.42,2.43,2.32,2.34,233411
20231020,2.35,2.43,2.26,2.28,310939
20231023,2.28,2.285,2.09,2.14,803898
20231024,2.15,2.2785,2.15,2.21,368820
20231025,2.23,2.25,2.08,2.09,310348
20231026,2.1,2.2,2.065,2.09,424761
20231027,2.1,2.15,1.99,2.01,523751
20231030,2.02,2.1,2.0,2.04,445032
20231031,2.03,2.19,2.02,2.12,465180
20231101,2.15,2.17,1.96,1.99,487966
20231102,2.05,2.16,2.02,2.11,660097
20231103,2.15,2.4,2.15,2.22,826871
20231106,2.28,2.46,2.26,2.26,619755
20231107,2.25,2.43,2.21,2.41,559600
20231108,2.41,2.4199,2.155,2.19,524003
20231109,2.19,2.33,2.14,2.21,575213
20231110,2.26,2.37,2.0838,2.35,650933
20231113,2.32,2.43,2.215,2.25,859375
20231114,2.42,2.51,2.25,2.39,786915
20231115,2.37,2.6481,2.37,2.5,337477
20231116,2.53,2.55,2.35,2.44,316811
20231117,2.48,2.58,2.45,2.52,251678
20231120,2.53,2.615,2.49,2.57,213257
20231121,2.53,2.5587,2.43,2.44,165415
20231122,2.48,2.58,2.4601,2.55,203379
20231124,2.56,2.705,2.56,2.59,85162
20231127,2.56,2.605,2.43,2.56,238513
20231128,2.54,2.62,2.475,2.6,176263
20231129,2.61,2.725,2.601,2.68,203554
20231130,2.69,2.77,2.64,2.65,291036
20231201,2.63,2.84,2.59,2.66,734405
20231204,2.67,2.81,2.51,2.61,332165
20231205,2.6,2.62,2.4512,2.53,233720
20231206,2.62,2.7,2.5,2.64,246145
20231207,2.64,2.825,2.61,2.82,164945
20231208,2.81,2.85,2.72,2.8,259032
20231211,2.87,2.87,2.73,2.74,211090
20231212,2.75,2.81,2.67,2.74,356949
20231213,2.74,2.93,2.71,2.91,373753
20231214,2.99,3.1492,2.94,3.12,584444
20231215,3.15,3.22,3.0,3.09,453600
20231218,3.11,3.17,2.965,2.97,207347
20231219,3.02,3.12,2.95,2.99,397208
20231220,2.97,2.985,2.72,2.74,378101
20231221,2.83,2.91,2.73,2.81,153985
20231222,2.85,2.995,2.85,2.88,398679
20231226,2.88,2.95,2.83,2.91,190372
20231227,2.92,3.07,2.92,2.98,303936
20231228,3.0,3.04,2.915,2.97,240040
