Date,Open,High,Low,Close,Volume
2024-02-08 09:30:00,3.58,3.58,3.58,3.58,6997
2024-02-08 09:31:00,3.6,3.6,3.52,3.52,3628
2024-02-08 09:32:00,3.53,3.53,3.52,3.53,1859
2024-02-08 09:33:00,3.53,3.53,3.53,3.53,400
2024-02-08 09:34:00,3.53,3.54,3.52,3.54,1475
2024-02-08 09:35:00,3.54,3.55,3.53,3.54,990
2024-02-08 09:36:00,3.53,3.53,3.52,3.52,2333
2024-02-08 09:37:00,3.53,3.53,3.53,3.53,100
2024-02-08 09:38:00,3.53,3.53,3.52,3.52,238
2024-02-08 09:39:00,3.53,3.53,3.53,3.53,600
2024-02-08 09:40:00,3.54,3.54,3.52,3.53,452
2024-02-08 09:41:00,3.52,3.53,3.52,3.53,1400
2024-02-08 09:42:00,3.53,3.53,3.53,3.53,0
2024-02-08 09:43:00,3.52,3.52,3.49,3.5,1958
2024-02-08 09:44:00,3.51,3.51,3.5,3.51,100
2024-02-08 09:45:00,3.5,3.5,3.5,3.5,400
2024-02-08 09:46:00,3.52,3.52,3.51,3.52,400
2024-02-08 09:47:00,3.51,3.52,3.5,3.52,3513
2024-02-08 09:48:00,3.53,3.54,3.53,3.54,900
2024-02-08 09:49:00,3.54,3.56,3.53,3.55,2686
2024-02-08 09:50:00,3.55,3.56,3.55,3.56,800
2024-02-08 09:51:00,3.56,3.56,3.55,3.56,305
2024-02-08 09:52:00,3.56,3.56,3.56,3.56,0
2024-02-08 09:53:00,3.55,3.55,3.54,3.55,800
2024-02-08 09:54:00,3.56,3.56,3.55,3.56,2171
2024-02-08 09:55:00,3.57,3.58,3.56,3.58,400
2024-02-08 09:56:00,3.57,3.58,3.57,3.58,390
2024-02-08 09:57:00,3.58,3.59,3.58,3.58,2227
2024-02-08 09:58:00,3.57,3.57,3.57,3.57,100
2024-02-08 09:59:00,3.58,3.6,3.58,3.6,10170
2024-02-08 10:00:00,3.59,3.6,3.59,3.59,4770
2024-02-08 10:01:00,3.6,3.6,3.59,3.6,1573
2024-02-08 10:02:00,3.6,3.6,3.59,3.6,601
2024-02-08 10:03:00,3.6,3.62,3.6,3.6,1800
2024-02-08 10:04:00,3.6,3.6,3.6,3.6,0
2024-02-08 10:05:00,3.6,3.6,3.6,3.6,200
2024-02-08 10:06:00,3.6,3.61,3.6,3.61,300
2024-02-08 10:07:00,3.61,3.62,3.61,3.62,800
2024-02-08 10:08:00,3.61,3.62,3.61,3.62,200
2024-02-08 10:09:00,3.61,3.61,3.6,3.6,2666
2024-02-08 10:10:00,3.61,3.61,3.59,3.6,3236
2024-02-08 10:11:00,3.6,3.6,3.6,3.6,300
2024-02-08 10:12:00,3.59,3.6,3.59,3.59,200
2024-02-08 10:13:00,3.6,3.61,3.6,3.6,1342
2024-02-08 10:14:00,3.6,3.61,3.59,3.6,2656
2024-02-08 10:15:00,3.6,3.6,3.59,3.6,8400
2024-02-08 10:16:00,3.6,3.6,3.59,3.6,500
2024-02-08 10:17:00,3.59,3.6,3.59,3.59,350
2024-02-08 10:18:00,3.59,3.59,3.59,3.59,0
2024-02-08 10:19:00,3.59,3.59,3.59,3.59,100
2024-02-08 10:20:00,3.6,3.6,3.59,3.6,10700
2024-02-08 10:21:00,3.6,3.6,3.59,3.6,300
2024-02-08 10:22:00,3.6,3.6,3.59,3.59,18342
2024-02-08 10:23:00,3.58,3.58,3.56,3.56,550
2024-02-08 10:24:00,3.56,3.56,3.56,3.56,100
2024-02-08 10:25:00,3.56,3.56,3.56,3.56,100
2024-02-08 10:26:00,3.56,3.56,3.55,3.56,600
2024-02-08 10:27:00,3.56,3.57,3.55,3.57,5034
2024-02-08 10:28:00,3.58,3.59,3.57,3.58,900
2024-02-08 10:29:00,3.58,3.59,3.58,3.59,2150
2024-02-08 10:30:00,3.58,3.58,3.58,3.58,200
2024-02-08 10:31:00,3.58,3.59,3.58,3.58,200
2024-02-08 10:32:00,3.58,3.59,3.58,3.58,100
2024-02-08 10:33:00,3.59,3.59,3.59,3.59,1477
2024-02-08 10:34:00,3.6,3.6,3.59,3.6,346
2024-02-08 10:35:00,3.6,3.6,3.59,3.6,300
2024-02-08 10:36:00,3.6,3.6,3.59,3.6,100
2024-02-08 10:37:00,3.6,3.6,3.59,3.6,2271
2024-02-08 10:38:00,3.6,3.6,3.6,3.6,0
2024-02-08 10:39:00,3.6,3.6,3.58,3.59,5908
2024-02-08 10:40:00,3.6,3.6,3.58,3.58,1200
2024-02-08 10:41:00,3.58,3.58,3.57,3.57,1272
2024-02-08 10:42:00,3.58,3.58,3.57,3.58,1101
2024-02-08 10:43:00,3.57,3.59,3.57,3.58,700
2024-02-08 10:44:00,3.58,3.59,3.58,3.59,300
2024-02-08 10:45:00,3.59,3.59,3.59,3.59,2502
2024-02-08 10:46:00,3.6,3.6,3.59,3.6,558
2024-02-08 10:47:00,3.6,3.6,3.6,3.6,0
2024-02-08 10:48:00,3.6,3.6,3.59,3.6,500
2024-02-08 10:49:00,3.6,3.6,3.59,3.6,600
2024-02-08 10:50:00,3.6,3.6,3.58,3.58,2159
2024-02-08 10:51:00,3.58,3.58,3.57,3.58,2200
2024-02-08 10:52:00,3.59,3.59,3.59,3.59,200
2024-02-08 10:53:00,3.59,3.59,3.58,3.59,769
2024-02-08 10:54:00,3.58,3.58,3.58,3.58,100
2024-02-08 10:55:00,3.58,3.59,3.58,3.58,100
2024-02-08 10:56:00,3.58,3.58,3.58,3.58,1101
2024-02-08 10:57:00,3.58,3.58,3.57,3.58,200
2024-02-08 10:58:00,3.58,3.59,3.58,3.59,2952
2024-02-08 10:59:00,3.59,3.6,3.59,3.6,1104
2024-02-08 11:00:00,3.6,3.6,3.59,3.6,8030
2024-02-08 11:01:00,3.6,3.6,3.6,3.6,0
2024-02-08 11:02:00,3.59,3.6,3.59,3.6,1315
2024-02-08 11:03:00,3.6,3.6,3.59,3.6,800
2024-02-08 11:04:00,3.59,3.59,3.59,3.59,100
2024-02-08 11:05:00,3.6,3.6,3.59,3.6,200
2024-02-08 11:06:00,3.6,3.6,3.59,3.6,400
2024-02-08 11:07:00,3.6,3.6,3.59,3.6,674
2024-02-08 11:08:00,3.59,3.59,3.59,3.59,100
2024-02-08 11:09:00,3.6,3.6,3.59,3.6,200
2024-02-08 11:10:00,3.59,3.59,3.59,3.59,213
2024-02-08 11:11:00,3.59,3.6,3.59,3.6,1099
2024-02-08 11:12:00,3.6,3.61,3.59,3.6,9338
2024-02-08 11:13:00,3.59,3.59,3.59,3.59,100
2024-02-08 11:14:00,3.59,3.59,3.59,3.59,0
2024-02-08 11:15:00,3.6,3.6,3.59,3.6,200
2024-02-08 11:16:00,3.6,3.6,3.6,3.6,0
2024-02-08 11:17:00,3.59,3.6,3.58,3.58,2878
2024-02-08 11:18:00,3.58,3.6,3.58,3.6,1816
2024-02-08 11:19:00,3.59,3.6,3.59,3.59,1450
2024-02-08 11:20:00,3.6,3.6,3.59,3.6,300
2024-02-08 11:21:00,3.6,3.6,3.59,3.6,675
2024-02-08 11:22:00,3.59,3.6,3.59,3.6,1420
2024-02-08 11:23:00,3.59,3.59,3.58,3.58,2200
2024-02-08 11:24:00,3.58,3.59,3.58,3.58,128
2024-02-08 11:25:00,3.58,3.58,3.57,3.57,1595
2024-02-08 11:26:00,3.57,3.57,3.56,3.56,1347
2024-02-08 11:27:00,3.56,3.56,3.56,3.56,300
2024-02-08 11:28:00,3.56,3.57,3.56,3.56,600
2024-02-08 11:29:00,3.56,3.57,3.56,3.56,264
2024-02-08 11:30:00,3.56,3.56,3.55,3.56,10304
2024-02-08 11:31:00,3.55,3.56,3.55,3.55,4931
2024-02-08 11:32:00,3.55,3.56,3.54,3.55,13647
2024-02-08 11:33:00,3.55,3.55,3.54,3.54,18666
2024-02-08 11:34:00,3.55,3.55,3.54,3.55,914
2024-02-08 11:35:00,3.54,3.55,3.54,3.54,7973
2024-02-08 11:36:00,3.55,3.55,3.54,3.55,3726
2024-02-08 11:37:00,3.54,3.55,3.54,3.55,11080
2024-02-08 11:38:00,3.55,3.55,3.54,3.55,7800
2024-02-08 11:39:00,3.54,3.54,3.54,3.54,133
2024-02-08 11:40:00,3.55,3.55,3.54,3.55,300
2024-02-08 11:41:00,3.55,3.56,3.54,3.55,3385
2024-02-08 11:42:00,3.55,3.56,3.55,3.56,300
2024-02-08 11:43:00,3.56,3.56,3.56,3.56,0
2024-02-08 11:44:00,3.55,3.55,3.55,3.55,1792
2024-02-08 11:45:00,3.54,3.55,3.54,3.55,200
2024-02-08 11:46:00,3.55,3.55,3.54,3.55,400
2024-02-08 11:47:00,3.54,3.54,3.54,3.54,100
2024-02-08 11:48:00,3.54,3.55,3.53,3.54,5786
2024-02-08 11:49:00,3.55,3.55,3.54,3.55,400
2024-02-08 11:50:00,3.54,3.54,3.53,3.54,1512
2024-02-08 11:51:00,3.53,3.53,3.52,3.53,2711
2024-02-08 11:52:00,3.53,3.53,3.52,3.52,1488
2024-02-08 11:53:00,3.52,3.53,3.52,3.53,441
2024-02-08 11:54:00,3.53,3.53,3.52,3.53,2444
2024-02-08 11:55:00,3.53,3.53,3.53,3.53,0
2024-02-08 11:56:00,3.53,3.53,3.53,3.53,0
2024-02-08 11:57:00,3.53,3.53,3.52,3.52,3645
2024-02-08 11:58:00,3.53,3.54,3.52,3.53,33485
2024-02-08 11:59:00,3.53,3.53,3.52,3.53,600
2024-02-08 12:00:00,3.53,3.53,3.51,3.52,4086
2024-02-08 12:01:00,3.52,3.53,3.51,3.53,4895
2024-02-08 12:02:00,3.53,3.53,3.53,3.53,0
2024-02-08 12:03:00,3.52,3.52,3.51,3.51,1125
2024-02-08 12:04:00,3.52,3.52,3.51,3.51,3177
2024-02-08 12:05:00,3.51,3.52,3.5,3.51,1000
2024-02-08 12:06:00,3.51,3.51,3.5,3.51,2305
2024-02-08 12:07:00,3.51,3.51,3.51,3.51,0
2024-02-08 12:08:00,3.51,3.52,3.51,3.52,700
2024-02-08 12:09:00,3.52,3.52,3.51,3.52,100
2024-02-08 12:10:00,3.52,3.52,3.52,3.52,0
2024-02-08 12:11:00,3.52,3.52,3.51,3.51,500
2024-02-08 12:12:00,3.51,3.51,3.51,3.51,0
2024-02-08 12:13:00,3.52,3.52,3.51,3.52,865
2024-02-08 12:14:00,3.52,3.52,3.51,3.52,200
2024-02-08 12:15:00,3.51,3.51,3.51,3.51,200
2024-02-08 12:16:00,3.51,3.52,3.51,3.51,200
2024-02-08 12:17:00,3.51,3.51,3.51,3.51,130
2024-02-08 12:18:00,3.51,3.51,3.51,3.51,100
2024-02-08 12:19:00,3.52,3.52,3.51,3.52,700
2024-02-08 12:20:00,3.52,3.52,3.52,3.52,0
2024-02-08 12:21:00,3.51,3.52,3.51,3.52,206
2024-02-08 12:22:00,3.52,3.52,3.51,3.52,100
2024-02-08 12:23:00,3.52,3.52,3.51,3.52,700
2024-02-08 12:24:00,3.52,3.52,3.51,3.52,601
2024-02-08 12:25:00,3.51,3.52,3.5,3.52,8004
2024-02-08 12:26:00,3.52,3.52,3.51,3.52,2502
2024-02-08 12:27:00,3.52,3.52,3.52,3.52,0
2024-02-08 12:28:00,3.51,3.52,3.51,3.51,1601
2024-02-08 12:29:00,3.52,3.52,3.51,3.51,500
2024-02-08 12:30:00,3.52,3.52,3.51,3.51,963
2024-02-08 12:31:00,3.52,3.52,3.51,3.52,169
2024-02-08 12:32:00,3.52,3.52,3.51,3.52,1000
2024-02-08 12:33:00,3.51,3.52,3.5,3.51,3662
2024-02-08 12:34:00,3.51,3.51,3.5,3.51,1984
2024-02-08 12:35:00,3.5,3.51,3.5,3.5,4099
2024-02-08 12:36:00,3.51,3.51,3.5,3.51,1226
2024-02-08 12:37:00,3.51,3.51,3.5,3.51,4040
2024-02-08 12:38:00,3.51,3.52,3.5,3.52,5617
2024-02-08 12:39:00,3.52,3.52,3.51,3.52,400
2024-02-08 12:40:00,3.52,3.52,3.51,3.52,200
2024-02-08 12:41:00,3.51,3.51,3.51,3.51,100
2024-02-08 12:42:00,3.52,3.52,3.51,3.52,300
2024-02-08 12:43:00,3.52,3.52,3.51,3.52,100
2024-02-08 12:44:00,3.52,3.52,3.51,3.52,516
2024-02-08 12:45:00,3.51,3.51,3.51,3.51,100
2024-02-08 12:46:00,3.51,3.51,3.51,3.51,0
2024-02-08 12:47:00,3.52,3.52,3.51,3.52,500
2024-02-08 12:48:00,3.51,3.51,3.5,3.5,2638
2024-02-08 12:49:00,3.5,3.5,3.5,3.5,0
2024-02-08 12:50:00,3.51,3.51,3.5,3.51,200
2024-02-08 12:51:00,3.51,3.51,3.5,3.51,1901
2024-02-08 12:52:00,3.51,3.52,3.5,3.52,4494
2024-02-08 12:53:00,3.52,3.52,3.51,3.51,1570
2024-02-08 12:54:00,3.52,3.52,3.51,3.52,500
2024-02-08 12:55:00,3.52,3.52,3.52,3.52,0
2024-02-08 12:56:00,3.52,3.52,3.51,3.52,200
2024-02-08 12:57:00,3.52,3.52,3.51,3.51,602
2024-02-08 12:58:00,3.52,3.52,3.51,3.51,617
2024-02-08 12:59:00,3.52,3.52,3.51,3.52,358
2024-02-08 13:00:00,3.52,3.52,3.51,3.52,400
2024-02-08 13:01:00,3.52,3.54,3.51,3.54,14262
2024-02-08 13:02:00,3.55,3.55,3.54,3.55,482
2024-02-08 13:03:00,3.55,3.55,3.54,3.55,786
2024-02-08 13:04:00,3.55,3.55,3.54,3.55,1500
2024-02-08 13:05:00,3.54,3.54,3.53,3.54,3156
2024-02-08 13:06:00,3.54,3.54,3.54,3.54,0
2024-02-08 13:07:00,3.54,3.54,3.53,3.54,500
2024-02-08 13:08:00,3.53,3.54,3.53,3.54,980
2024-02-08 13:09:00,3.54,3.54,3.53,3.54,700
2024-02-08 13:10:00,3.54,3.54,3.53,3.54,1135
2024-02-08 13:11:00,3.54,3.54,3.53,3.54,100
2024-02-08 13:12:00,3.54,3.54,3.53,3.54,1901
2024-02-08 13:13:00,3.54,3.55,3.53,3.54,4749
2024-02-08 13:14:00,3.54,3.54,3.53,3.54,300
2024-02-08 13:15:00,3.54,3.54,3.54,3.54,0
2024-02-08 13:16:00,3.54,3.54,3.53,3.54,1203
2024-02-08 13:17:00,3.53,3.54,3.53,3.54,419
2024-02-08 13:18:00,3.54,3.54,3.53,3.54,100
2024-02-08 13:19:00,3.54,3.54,3.54,3.54,357
2024-02-08 13:20:00,3.54,3.56,3.54,3.56,6687
2024-02-08 13:21:00,3.56,3.56,3.55,3.56,1900
2024-02-08 13:22:00,3.56,3.56,3.55,3.56,400
2024-02-08 13:23:00,3.56,3.56,3.55,3.56,400
2024-02-08 13:24:00,3.56,3.56,3.55,3.56,5800
2024-02-08 13:25:00,3.56,3.56,3.55,3.56,100
2024-02-08 13:26:00,3.55,3.56,3.55,3.56,200
2024-02-08 13:27:00,3.56,3.56,3.55,3.56,200
2024-02-08 13:28:00,3.55,3.56,3.55,3.56,7538
2024-02-08 13:29:00,3.56,3.57,3.55,3.57,3297
2024-02-08 13:30:00,3.57,3.57,3.56,3.57,300
2024-02-08 13:31:00,3.56,3.57,3.56,3.57,609
2024-02-08 13:32:00,3.57,3.57,3.56,3.57,300
2024-02-08 13:33:00,3.57,3.57,3.56,3.57,1011
2024-02-08 13:34:00,3.57,3.58,3.56,3.58,3985
2024-02-08 13:35:00,3.58,3.58,3.57,3.58,3459
2024-02-08 13:36:00,3.58,3.59,3.58,3.58,500
2024-02-08 13:37:00,3.59,3.59,3.58,3.58,1671
