,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,101964000,131540000,195555000,154323000.0,184231000,329152000.0,49969000.0,89641000.0,65470000.0,32451000.0
BAL,Short Term Investments,486897000,498508000,473774000,558528000.0,574075000,406099000.0,363339000.0,263432000.0,224938000.0,
BAL,Cash and Short Term Investments,588861000,630048000,669329000,712851000.0,758306000,735251000.0,413308000.0,353073000.0,290408000.0,32451000.0
BAL,"Accounts Receivable - Trade, Net",10465000,7825000,4699000,2587000.0,6491000,7391000.0,,,0.0,200238000.0
BAL,"Total Receivables, Net",10465000,7825000,4699000,2587000.0,6491000,7391000.0,,,0.0,200238000.0
BAL,Prepaid Expenses,13821000,10119000,11974000,10997000.0,10166000,7071000.0,8203000.0,4364000.0,2768000.0,285000.0
BAL,Total Current Assets,613147000,647992000,686002000,726435000.0,774963000,749713000.0,421511000.0,357437000.0,293176000.0,232974000.0
BAL,"Property/Plant/Equipment, Total - Net",49154000,50591000,52064000,53332000.0,54819000,57899000.0,62651000.0,62328000.0,10937000.0,2834000.0
BAL,"Other Long Term Assets, Total",10094000,10154000,10276000,7881000.0,7256000,7046000.0,4089000.0,2148000.0,4246000.0,252000.0
BAL,Total Assets,672395000,708737000,748342000,787648000.0,837038000,814658000.0,488251000.0,421913000.0,308359000.0,236060000.0
BAL,Accounts Payable,4679000,4667000,3126000,4189000.0,4546000,4749000.0,3004000.0,278000.0,126000.0,1140000.0
BAL,Accrued Expenses,46243000,37653000,34401000,41389000.0,36659000,44003000.0,41198000.0,31527000.0,12902000.0,7275000.0
BAL,Notes Payable/Short Term Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",104480000,89950000,61773000,48231000.0,119684000,90803000.0,23886000.0,30165000.0,34920000.0,18988000.0
BAL,Total Current Liabilities,155402000,132270000,99300000,93809000.0,160889000,139555000.0,68088000.0,61970000.0,47948000.0,27403000.0
BAL,Total Long Term Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,Total Debt,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",354438000,380161000,466027000,479397000.0,423045000,374379000.0,152633000.0,165200000.0,147289000.0,183205000.0
BAL,Total Liabilities,509840000,512431000,565327000,573206000.0,583934000,513934000.0,220721000.0,227170000.0,195237000.0,210608000.0
BAL,"Common Stock, Total",8000,8000,8000,8000.0,8000,8000.0,8000.0,7000.0,1000.0,1000.0
BAL,Additional Paid-In Capital,831912000,821853000,810750000,798696000.0,787097000,748036000.0,676956000.0,414414000.0,17078000.0,10153000.0
BAL,Retained Earnings (Accumulated Deficit),-668644000,-624169000,-625544000,-579687000.0,-527259000,-446377000.0,-410048000.0,-219820000.0,-114435000.0,-62187000.0
BAL,"Other Equity, Total",-721000,-1386000,-2199000,-4575000.0,-6742000,-943000.0,614000.0,142000.0,-42000.0,
BAL,Total Equity,162555000,196306000,183015000,214442000.0,253104000,300724000.0,267530000.0,194743000.0,113122000.0,25452000.0
BAL,Total Liabilities & Shareholders' Equity,672395000,708737000,748342000,787648000.0,837038000,814658000.0,488251000.0,421913000.0,308359000.0,236060000.0
BAL,Total Common Shares Outstanding,84136380,83830300,83351780,82895720.0,82700940,81986190.0,79316260.0,69052870.0,68871170.0,68365040.0
BAL,"Tangible Book Value per Share, Common Eq",1932040,2341710,2195690,2586890.0,3060470,3667980.0,3372950.0,2820200.0,-1414210.0,-761110.0
INC,Revenue,9109000,56214000,16549000,133617000.0,14852000,207085000.0,21098000.0,21219000.0,27677000.0,3735000.0
INC,Total Revenue,9109000,56214000,16549000,133617000.0,14852000,207085000.0,21098000.0,21219000.0,27677000.0,3735000.0
INC,"Selling/General/Admin. Expenses, Total",13364000,13626000,14777000,61033000.0,14252000,55038000.0,59403000.0,35095000.0,11934000.0,6503000.0
INC,Research & Development,46328000,46177000,51887000,210418000.0,48348000,189407000.0,156869000.0,100528000.0,73031000.0,29911000.0
INC,Total Operating Expense,59692000,59803000,66664000,271451000.0,62600000,244445000.0,216272000.0,135623000.0,84965000.0,36414000.0
INC,Operating Income,-50583000,-3589000,-50115000,-137834000.0,-47748000,-37360000.0,-195174000.0,-114404000.0,-57288000.0,-32679000.0
INC,"Other, Net",7360000,6357000,5159000,7778000.0,2333000,1031000.0,4946000.0,9019000.0,5040000.0,199000.0
INC,Net Income Before Taxes,-43223000,2768000,-44956000,-130056000.0,-45415000,-36329000.0,-190228000.0,-105385000.0,-52248000.0,-32480000.0
INC,Provision for Income Taxes,0,0,0,0.0,0,,,,0.0,
INC,Net Income After Taxes,-43223000,2768000,-44956000,-130056000.0,-45415000,-36329000.0,-190228000.0,-105385000.0,-52248000.0,-32480000.0
INC,Net Income Before Extra. Items,-43223000,2768000,-44956000,-130056000.0,-45415000,-36329000.0,-190228000.0,-105385000.0,-52248000.0,-32480000.0
INC,Total Extraordinary Items,-1252000,-1393000,-901000,-3254000.0,-733000,,,,0.0,
INC,Net Income,-44475000,1375000,-45857000,-133310000.0,-46148000,-36329000.0,-190228000.0,-105385000.0,-52248000.0,-32480000.0
INC,Income Available to Com Excl ExtraOrd,-43223000,2768000,-44956000,-130056000.0,-45415000,-36329000.0,-190228000.0,-105385000.0,-52248000.0,-32480000.0
