,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2018-09-30
BAL,Cash,256415000.0,307500000.0,343027000.0,382436000.0,163053000,310338000.0,153299000.0,210643000.0,217450000.0,247089000.0
BAL,Cash and Short Term Investments,256415000.0,307500000.0,343027000.0,382436000.0,163053000,310338000.0,153299000.0,210643000.0,217450000.0,247089000.0
BAL,"Accounts Receivable - Trade, Net",165000.0,100000.0,121000.0,121000.0,2088000,,,,,
BAL,"Total Receivables, Net",41960000.0,38221000.0,34837000.0,28976000.0,41282000,26250000.0,29685000.0,30524000.0,13342000.0,9264000.0
BAL,Prepaid Expenses,7535000.0,7183000.0,13696000.0,12337000.0,7175000,8713000.0,10206000.0,7023000.0,2069000.0,2208000.0
BAL,"Other Current Assets, Total",2472000.0,2461000.0,2325000.0,2022000.0,801000,1651000.0,3794000.0,1066000.0,105000.0,717000.0
BAL,Total Current Assets,308382000.0,355365000.0,393885000.0,425771000.0,212311000,346952000.0,196984000.0,249256000.0,232966000.0,259278000.0
BAL,"Property/Plant/Equipment, Total - Gross",123057000.0,120084000.0,88350000.0,85961000.0,69555000,75032000.0,104346000.0,60138000.0,23676000.0,16666000.0
BAL,"Accumulated Depreciation, Total",-29017000.0,-28976000.0,-26822000.0,-27542000.0,-23846000,-22716000.0,-14663000.0,-8565000.0,-3708000.0,-3138000.0
BAL,"Property/Plant/Equipment, Total - Net",94040000.0,91108000.0,61528000.0,58419000.0,45709000,52316000.0,89683000.0,51573000.0,19968000.0,13528000.0
BAL,"Other Long Term Assets, Total",3676000.0,4519000.0,4558000.0,6084000.0,5802000,6227000.0,7412000.0,2450000.0,1276000.0,
BAL,Total Assets,406098000.0,450992000.0,459971000.0,490274000.0,263830000,405560000.0,294237000.0,303533000.0,254210000.0,273205000.0
BAL,Accounts Payable,661000.0,3878000.0,353000.0,531000.0,334000,431000.0,2263000.0,1075000.0,2022000.0,3036000.0
BAL,Accrued Expenses,36396000.0,36926000.0,38957000.0,45442000.0,37603000,27970000.0,30875000.0,22802000.0,17987000.0,13480000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",483000.0,259000.0,327000.0,393000.0,881000,150000.0,496000.0,1107000.0,1067000.0,623000.0
BAL,Total Current Liabilities,37540000.0,41063000.0,39637000.0,46366000.0,38818000,28551000.0,33634000.0,24984000.0,21076000.0,17139000.0
BAL,Total Long Term Debt,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,Total Debt,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",188040000.0,180593000.0,153414000.0,145234000.0,63858000,63689000.0,50571000.0,23710000.0,492000.0,601000.0
BAL,Total Liabilities,225580000.0,221656000.0,193051000.0,191600000.0,102676000,92240000.0,84205000.0,48694000.0,21568000.0,17740000.0
BAL,"Common Stock, Total",126000.0,126000.0,126000.0,126000.0,122000,122000.0,121000.0,120000.0,120000.0,120000.0
BAL,Additional Paid-In Capital,1015577000.0,1012709000.0,1010041000.0,1007625000.0,851824000,843108000.0,595016000.0,500560000.0,361311000.0,357918000.0
BAL,Retained Earnings (Accumulated Deficit),-801391000.0,-755542000.0,-709990000.0,-670179000.0,-643228000,-521340000.0,-379244000.0,-237150000.0,-113301000.0,-92653000.0
BAL,"Other Equity, Total",-33794000.0,-27957000.0,-33257000.0,-38898000.0,-47564000,-8570000.0,-5861000.0,-8691000.0,-15488000.0,-9920000.0
BAL,Total Equity,180518000.0,229336000.0,266920000.0,298674000.0,161154000,313320000.0,210032000.0,254839000.0,232642000.0,255465000.0
BAL,Total Liabilities & Shareholders' Equity,406098000.0,450992000.0,459971000.0,490274000.0,263830000,405560000.0,294237000.0,303533000.0,254210000.0,273205000.0
BAL,"Tangible Book Value per Share, Common Eq",180518000.0,229336000.0,266920000.0,298674000.0,161146000,313255000.0,209874000.0,254585000.0,232642000.0,255066000.0
BAL,"Intangibles, Net",,,,0.0,8000,65000.0,158000.0,254000.0,0.0,399000.0
INC,Revenue,406000.0,0.0,1292000.0,6360000.0,2369000,2330000.0,1715000.0,2908000.0,296000.0,1407000.0
