,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,150905000,146215000.0,155136000.0,304767000.0,246899000.0,504389000.0,272127000.0,114172000.0,26731000.0,50282000.0
BAL,Short Term Investments,246685000,264455000.0,243022000.0,119543000.0,179959000.0,3212000.0,28239000.0,22054000.0,77736000.0,64115000.0
BAL,Cash and Short Term Investments,397590000,410670000.0,398158000.0,424310000.0,426858000.0,507601000.0,300366000.0,136226000.0,104467000.0,114397000.0
BAL,"Accounts Receivable - Trade, Net",53646000,57667000.0,48639000.0,50599000.0,42610000.0,29413000.0,8646000.0,22146000.0,4293000.0,6117000.0
BAL,"Total Receivables, Net",53646000,57667000.0,48639000.0,50599000.0,42610000.0,29413000.0,8646000.0,22146000.0,4293000.0,6117000.0
BAL,Total Inventory,29630000,27033000.0,27466000.0,27533000.0,27019000.0,15791000.0,7039000.0,0.0,1649000.0,
BAL,Prepaid Expenses,20016000,14112000.0,15157000.0,12586000.0,11070000.0,9986000.0,5528000.0,4422000.0,2390000.0,1381000.0
BAL,"Other Current Assets, Total",1584000,1574000.0,1463000.0,1472000.0,1444000.0,3345000.0,2221000.0,1551000.0,1553000.0,3496000.0
BAL,Total Current Assets,502466000,511056000.0,490883000.0,516500000.0,509001000.0,566136000.0,323800000.0,164345000.0,114352000.0,125391000.0
BAL,"Property/Plant/Equipment, Total - Gross",17730000,12397000.0,11924000.0,29322000.0,10671000.0,25925000.0,20892000.0,18911000.0,15230000.0,14873000.0
BAL,"Accumulated Depreciation, Total",-6350000,-5451000.0,-4878000.0,-13899000.0,-3874000.0,-10739000.0,-9977000.0,-7974000.0,-6095000.0,-5327000.0
BAL,"Property/Plant/Equipment, Total - Net",20379000,15384000.0,15422000.0,15423000.0,15261000.0,15186000.0,10915000.0,10937000.0,9135000.0,9546000.0
BAL,Long Term Investments,0,3445000.0,3432000.0,18077000.0,34332000.0,6829000.0,,0.0,22376000.0,41295000.0
BAL,"Other Long Term Assets, Total",79000,,,,,,,,978000.0,2027000.0
BAL,Total Assets,522924000,529885000.0,509737000.0,550000000.0,558594000.0,588151000.0,334715000.0,175282000.0,146841000.0,178259000.0
BAL,Accounts Payable,10567000,13889000.0,6254000.0,14356000.0,8622000.0,27808000.0,18713000.0,13988000.0,7769000.0,6337000.0
BAL,Accrued Expenses,79674000,77830000.0,77703000.0,89934000.0,71461000.0,74489000.0,56791000.0,37646000.0,27739000.0,24794000.0
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,0.0,30000000.0,29561000.0,29121000.0,28682000.0
BAL,"Other Current liabilities, Total",522000,1779000.0,1200000.0,1224000.0,1554000.0,1421000.0,150000.0,2120000.0,221000.0,8484000.0
BAL,Total Current Liabilities,90763000,93498000.0,85157000.0,105514000.0,81637000.0,103718000.0,105654000.0,92335000.0,69477000.0,74836000.0
BAL,Long Term Debt,833181000,819297000.0,746933000.0,733279000.0,713648000.0,585457000.0,244452000.0,41289000.0,25372000.0,16750000.0
BAL,Total Long Term Debt,833181000,819297000.0,746933000.0,733279000.0,713648000.0,585457000.0,244452000.0,41289000.0,28075000.0,19501000.0
BAL,Total Debt,833181000,819297000.0,746933000.0,733279000.0,713648000.0,585457000.0,274452000.0,79870000.0,61823000.0,54722000.0
BAL,"Other Liabilities, Total",9966000,5803000.0,5934000.0,5804000.0,5968000.0,5962000.0,3871000.0,3406000.0,54000.0,155000.0
BAL,Total Liabilities,933910000,918598000.0,838024000.0,844597000.0,801253000.0,695137000.0,353977000.0,137030000.0,97606000.0,94492000.0
BAL,"Preferred Stock - Non Redeemable, Net",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Common Stock, Total",1898000,1895000.0,1889000.0,1879000.0,1864000.0,1843000.0,1769000.0,1541000.0,1101000.0,984000.0
BAL,Additional Paid-In Capital,1205744000,1191981000.0,1177192000.0,1158118000.0,1138654000.0,1098498000.0,1002408000.0,877300000.0,780400000.0,714869000.0
BAL,Retained Earnings (Accumulated Deficit),-1619428000,-1583279000.0,-1507953000.0,-1454620000.0,-1383079000.0,-1207504000.0,-1023442000.0,-840628000.0,-731969000.0,-631843000.0
BAL,"Other Equity, Total",800000,690000.0,585000.0,26000.0,-98000.0,177000.0,3000.0,39000.0,-297000.0,-243000.0
BAL,Total Equity,-410986000,-388713000.0,-328287000.0,-294597000.0,-242659000.0,-106986000.0,-19262000.0,38252000.0,49235000.0,83767000.0
BAL,Total Liabilities & Shareholders' Equity,522924000,529885000.0,509737000.0,550000000.0,558594000.0,588151000.0,334715000.0,175282000.0,146841000.0,178259000.0
BAL,Total Common Shares Outstanding,189803000,189491000.0,188883000.0,187906000.0,186411000.0,184350000.0,176883000.0,154082000.0,110063000.0,98411000.0
BAL,"Tangible Book Value per Share, Common Eq",-2165330,-2051350.0,-1738040.0,-1567790.0,-1301740.0,-580340.0,-108900.0,248260.0,447330.0,851200.0
INC,Revenue,86742000,82491000.0,68778000.0,270827000.0,75827000.0,157170000.0,17812000.0,48835000.0,20653000.0,25186000.0
INC,Total Revenue,86742000,82491000.0,68778000.0,270827000.0,75827000.0,157170000.0,17812000.0,48835000.0,20653000.0,25186000.0
INC,"Cost of Revenue, Total",1136000,950000.0,938000.0,6594000.0,3613000.0,7264000.0,1676000.0,4101000.0,471000.0,1702000.0
INC,Gross Profit,85606000,81541000.0,67840000.0,264233000.0,72214000.0,149906000.0,16136000.0,44734000.0,20182000.0,23484000.0
INC,"Selling/General/Admin. Expenses, Total",50648000,50997000.0,47867000.0,159371000.0,36919000.0,118818000.0,67929000.0,37121000.0,13614000.0,13933000.0
INC,Research & Development,46879000,51247000.0,48388000.0,253297000.0,52740000.0,208808000.0,122964000.0,107068000.0,84888000.0,66962000.0
INC,Unusual Expense (Income),0,29019000.0,,0.0,,-55838000.0,2011000.0,,15900000.0,
INC,Total Operating Expense,98663000,132213000.0,97193000.0,419262000.0,93272000.0,279052000.0,194580000.0,148290000.0,114873000.0,82597000.0
INC,Operating Income,-11921000,-49722000.0,-28415000.0,-148435000.0,-17445000.0,-121882000.0,-176768000.0,-99455000.0,-94220000.0,-57411000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",-23898000,-24864000.0,-24247000.0,-95948000.0,-23553000.0,-59927000.0,-6046000.0,-9442000.0,-7032000.0,-8371000.0
INC,Net Income Before Taxes,-35819000,-74586000.0,-52662000.0,-244383000.0,-40998000.0,-181809000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Provision for Income Taxes,330000,740000.0,671000.0,2733000.0,1522000.0,2253000.0,,,,0.0
INC,Net Income After Taxes,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Net Income Before Extra. Items,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Net Income,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Income Available to Com Excl ExtraOrd,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Income Available to Com Incl ExtraOrd,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Diluted Net Income,-36149000,-75326000.0,-53333000.0,-247116000.0,-42520000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
INC,Diluted Weighted Average Shares,189644000,189118000.0,188509000.0,185908000.0,186180000.0,179117000.0,167267000.0,115600000.0,103185000.0,84451000.0
INC,Diluted EPS Excluding ExtraOrd Items,-190620,-398300.0,-282920.0,-1329240.0,-228380.0,-1027610.0,-1092950.0,-942020.0,-981270.0,-778940.0
INC,DPS - Common Stock Primary Issue,0,0.0,0.0,,0.0,,,,,
INC,Diluted Normalized EPS,-190620,-298560.0,-282920.0,-1329240.0,-228380.0,-1230240.0,-1080920.0,-942020.0,-827170.0,-778940.0
CAS,Net Income/Starting Line,-164808000,-128659000.0,-53333000.0,-247116000.0,-175575000.0,-184062000.0,-182814000.0,-108897000.0,-101252000.0,-65782000.0
CAS,Depreciation/Depletion,1232000,812000.0,405000.0,1437000.0,1041000.0,777000.0,748000.0,724000.0,770000.0,704000.0
CAS,Non-Cash Items,127854000,95823000.0,33074000.0,142774000.0,83720000.0,33004000.0,20083000.0,19461000.0,11447000.0,14608000.0
CAS,Changes in Working Capital,-50501000,-34302000.0,-27658000.0,-58945000.0,-47187000.0,8124000.0,26875000.0,-872000.0,-3530000.0,9327000.0
CAS,Cash from Operating Activities,-86223000,-66326000.0,-47512000.0,-161850000.0,-138001000.0,-142157000.0,-135108000.0,-89584000.0,-92565000.0,-41143000.0
CAS,Capital Expenditures,-1614000,-627000.0,-160000.0,-1351000.0,-825000.0,-2385000.0,-514000.0,-343000.0,-366000.0,-328000.0
CAS,"Other Investing Cash Flow Items, Total",-101411000,-125517000.0,-106949000.0,-126887000.0,-204628000.0,18189000.0,-6342000.0,78277000.0,5134000.0,-64314000.0
CAS,Cash from Investing Activities,-103025000,-126144000.0,-107109000.0,-128238000.0,-205453000.0,15804000.0,-6856000.0,77934000.0,4768000.0,-64642000.0
CAS,Financing Cash Flow Items,-32408000,267854000.0,,,,,,,,
CAS,"Issuance (Retirement) of Stock, Net",8518000,7031000.0,5077000.0,14955000.0,10756000.0,65794000.0,110542000.0,79621000.0,56252000.0,135581000.0
CAS,"Issuance (Retirement) of Debt, Net",59548000,-240452000.0,,73072000.0,73072000.0,293874000.0,190047000.0,19477000.0,6252000.0,122000.0
CAS,Cash from Financing Activities,35658000,34433000.0,5077000.0,88027000.0,83828000.0,359668000.0,300589000.0,99098000.0,62504000.0,135703000.0
CAS,Foreign Exchange Effects,-160000,-413000.0,-96000.0,566000.0,235000.0,71000.0,,,,
CAS,Net Change in Cash,-153750000,-158450000.0,-149640000.0,-201495000.0,-259391000.0,233386000.0,158625000.0,87448000.0,-25293000.0,29918000.0
