,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2021-01-31
BAL,Cash & Equivalents,3342000.0,1741000,3922000.0,11927000.0,28111000.0,209841260.0,
BAL,Short Term Investments,13667000.0,10536000,9576000.0,6283000.0,2263000.0,,
BAL,Cash and Short Term Investments,17009000.0,12277000,13498000.0,18210000.0,30374000.0,209841260.0,
BAL,"Accounts Receivable - Trade, Net",360000.0,380000,281000.0,98000.0,,,
BAL,"Total Receivables, Net",360000.0,1994000,1572000.0,1200000.0,731000.0,,
BAL,Prepaid Expenses,3962000.0,2260000,4279000.0,7254000.0,8276000.0,13818830.0,
BAL,"Other Current Assets, Total",33087000.0,25786000,17129000.0,21071000.0,30393000.0,,
BAL,Total Current Assets,54418000.0,42317000,36478000.0,47735000.0,69774000.0,223660080.0,
BAL,"Property/Plant/Equipment, Total - Gross",305513000.0,301823000,283314000.0,201066000.0,46070000.0,5129140.0,1640.0
BAL,"Accumulated Depreciation, Total",-42819000.0,-29398000,-15422000.0,-4195000.0,-16000.0,-4870.0,-10.0
BAL,"Property/Plant/Equipment, Total - Net",262694000.0,272425000,267892000.0,196871000.0,46054000.0,5124270.0,1640.0
BAL,Long Term Investments,33609000.0,33098000,34529000.0,37478000.0,,,
BAL,"Other Long Term Assets, Total",65769000.0,68883000,73786000.0,136379000.0,291665000.0,125382870.0,171450.0
BAL,Total Assets,416490000.0,416723000,412685000.0,418463000.0,407493000.0,354167220.0,173090.0
BAL,Accounts Payable,6158000.0,3607000,12221000.0,17369000.0,7881000.0,241760.0,1920.0
BAL,Accrued Expenses,25930000.0,23833000,18399000.0,20383000.0,11728000.0,257490.0,174650.0
BAL,Notes Payable/Short Term Debt,0.0,0,0.0,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,6749000.0,11189000,2638000.0,2567000.0,,,
BAL,"Other Current liabilities, Total",56000.0,66000,44000.0,7000.0,,,
BAL,Total Current Liabilities,38893000.0,38695000,33302000.0,40326000.0,19609000.0,499250.0,176570.0
BAL,Capital Lease Obligations,12014000.0,10836000,11542000.0,12229000.0,,,
