,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,99617000,155537000.0,180996000.0,229783000.0,218499000.0,,4704000.0,17341000.0
BAL,Short Term Investments,39487000,,,,,,,
BAL,Cash and Short Term Investments,139104000,155537000.0,180996000.0,229783000.0,218499000.0,,4704000.0,17341000.0
BAL,"Accounts Receivable - Trade, Net",33453000,37125000.0,26421000.0,34772000.0,26490000.0,,1401000.0,984000.0
BAL,"Total Receivables, Net",33453000,37125000.0,26421000.0,34772000.0,26490000.0,,1401000.0,984000.0
BAL,Total Inventory,7826000,5032000.0,8816000.0,10257000.0,6732000.0,,2742000.0,1357000.0
BAL,Prepaid Expenses,16500000,13808000.0,14413000.0,14388000.0,20223000.0,,900000.0,525000.0
BAL,"Other Current Assets, Total",4908000,4648000.0,4293000.0,3384000.0,2813000.0,,562000.0,100000.0
BAL,Total Current Assets,201791000,216150000.0,234939000.0,292584000.0,274757000.0,,10309000.0,20307000.0
BAL,"Property/Plant/Equipment, Total - Gross",109635000,94019000.0,70773000.0,54166000.0,48922000.0,,11843000.0,5147000.0
BAL,"Accumulated Depreciation, Total",-14103000,-11693000.0,-9525000.0,-7786000.0,-6508000.0,,-2527000.0,-1461000.0
BAL,"Property/Plant/Equipment, Total - Net",95532000,82326000.0,61248000.0,46380000.0,42414000.0,,9316000.0,3686000.0
BAL,Note Receivable - Long Term,496000,690000.0,715000.0,1386000.0,1524000.0,,,
BAL,"Other Long Term Assets, Total",8646000,8802000.0,8630000.0,7765000.0,6927000.0,,1730000.0,407000.0
BAL,Total Assets,306465000,307968000.0,305532000.0,348115000.0,325622000.0,,21355000.0,24400000.0
BAL,Accounts Payable,13887000,16912000.0,19192000.0,18194000.0,11139000.0,,4437000.0,2522000.0
BAL,Accrued Expenses,13819000,11951000.0,7599000.0,12659000.0,8632000.0,,3728000.0,1582000.0
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,0,0.0,0.0,10000000.0,4000000.0,,227000.0,3646000.0
BAL,"Other Current liabilities, Total",53041000,39366000.0,23977000.0,18273000.0,17210000.0,,3728000.0,1581000.0
BAL,Total Current Liabilities,80747000,68229000.0,50768000.0,59126000.0,40981000.0,,12120000.0,9331000.0
BAL,Long Term Debt,0,0.0,0.0,19683000.0,4959000.0,,16432000.0,0.0
BAL,Total Long Term Debt,0,0.0,0.0,19683000.0,4959000.0,,16564000.0,376000.0
BAL,Total Debt,0,0.0,0.0,29683000.0,8959000.0,,16791000.0,4022000.0
BAL,"Other Liabilities, Total",69603000,95581000.0,50922000.0,42321000.0,31301000.0,,1480000.0,320000.0
