,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,109283000.0,248218000.0,195408000.0,,460439000.0,,,
BAL,Short Term Investments,257329000.0,151935000.0,251957000.0,101234000.0,100646000.0,,,
BAL,Cash and Short Term Investments,366612000.0,400153000.0,447365000.0,504951000.0,561085000.0,560425000.0,60349000.0,31454000.0
BAL,"Accounts Receivable - Trade, Net",20026000.0,1330000.0,684000.0,699000.0,360000.0,1494000.0,589000.0,2008000.0
BAL,"Total Receivables, Net",76314000.0,55568000.0,49019000.0,42229000.0,33806000.0,16103000.0,4729000.0,5644000.0
BAL,Total Current Assets,442926000.0,455721000.0,496384000.0,554025000.0,595085000.0,581788000.0,68935000.0,37601000.0
BAL,"Property/Plant/Equipment, Total - Net",67837000.0,68018000.0,64624000.0,52442000.0,34380000.0,13894000.0,8354000.0,3176000.0
BAL,"Goodwill, Net",6188000.0,6144000.0,6270000.0,6321000.0,6302000.0,5985000.0,173000.0,173000.0
BAL,"Intangibles, Net",29629000.0,30519000.0,32182000.0,33602000.0,34674000.0,36330000.0,139000.0,159000.0
BAL,Long Term Investments,2877000.0,2145000.0,2300000.0,3153000.0,2154000.0,2569000.0,123000.0,360000.0
BAL,Note Receivable - Long Term,674000.0,631000.0,642000.0,100000.0,100000.0,100000.0,,
BAL,Total Assets,550131000.0,563935000.0,603290000.0,649643000.0,672695000.0,640666000.0,77724000.0,41469000.0
BAL,Accounts Payable,10314000.0,10425000.0,15074000.0,30740000.0,17593000.0,6290000.0,3333000.0,2214000.0
BAL,Accrued Expenses,22422000.0,22258000.0,20815000.0,18641000.0,21847000.0,7478000.0,1491000.0,689000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,2304000.0,2387000.0,3394000.0,2641000.0,1639000.0,1075000.0,677000.0,227000.0
BAL,"Other Current liabilities, Total",31316000.0,31197000.0,31312000.0,39626000.0,37729000.0,30893000.0,9139000.0,12893000.0
BAL,Total Current Liabilities,66356000.0,66267000.0,70595000.0,91648000.0,78808000.0,45736000.0,14640000.0,16023000.0
BAL,Long Term Debt,306000.0,304000.0,311000.0,313000.0,312000.0,296000.0,,
BAL,Capital Lease Obligations,15692000.0,16076000.0,15817000.0,10942000.0,4784000.0,3804000.0,2761000.0,885000.0
BAL,Total Long Term Debt,15998000.0,16380000.0,16128000.0,11255000.0,5096000.0,4100000.0,2761000.0,885000.0
BAL,Total Debt,18302000.0,18767000.0,19522000.0,13896000.0,6735000.0,5175000.0,3438000.0,1112000.0
BAL,Deferred Income Tax,6175000.0,6404000.0,6735000.0,7072000.0,6495000.0,7121000.0,,
BAL,"Other Liabilities, Total",68630000.0,57612000.0,62108000.0,60790000.0,71274000.0,16896000.0,1800000.0,2507000.0
BAL,Total Liabilities,157159000.0,146663000.0,155566000.0,170765000.0,161673000.0,73853000.0,19201000.0,19415000.0
BAL,"Common Stock, Total",62000.0,62000.0,62000.0,61000.0,61000.0,63000.0,0.0,0.0
BAL,Additional Paid-In Capital,364629000.0,364618000.0,364609000.0,364603000.0,364603000.0,364579000.0,89099000.0,32318000.0
BAL,Retained Earnings (Accumulated Deficit),28480000.0,52791000.0,83252000.0,114413000.0,146557000.0,202370000.0,-30576000.0,-10264000.0
BAL,Unrealized Gain (Loss),-199000.0,-199000.0,-199000.0,-199000.0,-199000.0,-199000.0,,
BAL,Total Equity,392972000.0,417272000.0,447724000.0,478878000.0,511022000.0,566813000.0,58523000.0,22054000.0
BAL,Total Liabilities & Shareholders' Equity,550131000.0,563935000.0,603290000.0,649643000.0,672695000.0,640666000.0,77724000.0,41469000.0
BAL,Total Common Shares Outstanding,124939690.0,124245540.0,123536280.0,122963550.0,122878480.0,120886530.0,118310130.0,118310130.0
BAL,"Tangible Book Value per Share, Common Eq",2858620.0,3063360.0,3312970.0,3569800.0,3825290.0,4338760.0,492020.0,183600.0
BAL,"Other Long Term Assets, Total",,757000.0,888000.0,,,,,
BAL,Total Inventory,,,,50000.0,194000.0,359000.0,,
INC,Revenue,8882000.0,3006000.0,5761000.0,27223000.0,6298000.0,27359000.0,9672000.0,9107000.0
INC,Total Revenue,8882000.0,3006000.0,5761000.0,27223000.0,6298000.0,27359000.0,9672000.0,9107000.0
INC,"Cost of Revenue, Total",6742000.0,6269000.0,8456000.0,33297000.0,9188000.0,17112000.0,14226000.0,5634000.0
INC,Gross Profit,2140000.0,-3263000.0,-2695000.0,-6074000.0,-2890000.0,10247000.0,-4554000.0,3473000.0
INC,"Selling/General/Admin. Expenses, Total",11141000.0,11635000.0,10914000.0,36454000.0,10310000.0,20341000.0,8184000.0,5121000.0
INC,Research & Development,32608000.0,32993000.0,33412000.0,121343000.0,36776000.0,41369000.0,10591000.0,6488000.0
INC,"Interest Exp.(Inc.),Net-Operating, Total",-3272000.0,452000.0,1193000.0,-22322000.0,-7421000.0,-938000.0,,
INC,"Other Operating Expenses, Total",-1116000.0,-1834000.0,-2604000.0,-5742000.0,-1240000.0,-3749000.0,-1205000.0,-534000.0
INC,Total Operating Expense,46103000.0,49515000.0,51371000.0,172514000.0,47613000.0,82255000.0,32861000.0,17283000.0
