,,2023-06-30,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-06-30,2020-06-30
BAL,Cash,68894000.0,40661000.0,,109970000.0,,38990000.0,1956000.0
BAL,Cash and Short Term Investments,68894000.0,40661000.0,,109970000.0,135280822.0,38990000.0,1956000.0
BAL,"Total Receivables, Net",6543000.0,2574000.0,,23654000.0,16066624.0,793000.0,331000.0
BAL,Prepaid Expenses,11373000.0,31410000.0,,7658000.0,21534747.0,492000.0,283000.0
BAL,"Other Current Assets, Total",2420000.0,,,18972000.0,,155000.0,
BAL,Total Current Assets,89230000.0,74645000.0,,160254000.0,172882194.0,40430000.0,2570000.0
BAL,"Property/Plant/Equipment, Total - Gross",290148000.0,374473000.0,,257894000.0,149760176.0,19332000.0,397000.0
BAL,"Accumulated Depreciation, Total",-47672000.0,-99873000.0,,-9079000.0,-4921054.0,-1993000.0,
BAL,"Property/Plant/Equipment, Total - Net",242476000.0,274600000.0,,248815000.0,144839122.0,17339000.0,8435000.0
BAL,"Goodwill, Net",0.0,,,634000.0,561837.0,659000.0,568000.0
BAL,"Other Long Term Assets, Total",368000.0,62710000.0,,160757000.0,158930005.0,76040000.0,0.0
BAL,Total Assets,332074000.0,411955000.0,,570460000.0,477213158.0,134468000.0,11573000.0
BAL,Accounts Payable,11544000.0,,,13230000.0,,545000.0,
BAL,Accrued Expenses,6061000.0,13131000.0,,7522000.0,303713.0,583000.0,43000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,192000.0,101980000.0,,60484000.0,37948748.0,71983000.0,1961000.0
BAL,"Other Current liabilities, Total",6204000.0,7474000.0,,3870000.0,2732135.0,97353000.0,0.0
BAL,Total Current Liabilities,24001000.0,140234000.0,,85106000.0,46248531.0,170464000.0,2755000.0
BAL,Long Term Debt,0.0,0.0,,46618000.0,34039001.0,10836000.0,0.0
BAL,Capital Lease Obligations,1256000.0,1261000.0,,1185000.0,848856.0,1004000.0,
BAL,Total Long Term Debt,1256000.0,1261000.0,,47803000.0,34887857.0,11840000.0,0.0
BAL,Total Debt,1448000.0,103241000.0,,108287000.0,72836605.0,83823000.0,1961000.0
BAL,Deferred Income Tax,1365000.0,337000.0,,189000.0,2852850.0,1618000.0,0.0
BAL,"Other Liabilities, Total",91000.0,,,,,,
BAL,Total Liabilities,26713000.0,141832000.0,,133098000.0,83989238.0,183922000.0,2755000.0
BAL,"Common Stock, Total",965857000.0,926581000.0,,926581000.0,813484098.0,10338000.0,10338000.0
BAL,Retained Earnings (Accumulated Deficit),-625841000.0,-656458000.0,,-468205000.0,-420260179.0,-61643000.0,-1520000.0
BAL,"Other Equity, Total",-34655000.0,,,-21014000.0,,1851000.0,
BAL,Total Equity,305361000.0,270123000.0,,437362000.0,393223920.0,-49454000.0,8818000.0
BAL,Total Liabilities & Shareholders' Equity,332074000.0,411955000.0,,570460000.0,477213158.0,134468000.0,11573000.0
BAL,Total Common Shares Outstanding,66701530.0,53028870.0,,54982920.0,53028870.0,55036110.0,55036110.0
BAL,"Tangible Book Value per Share, Common Eq",4578020.0,5093890.0,,7942980.0,7404683.0,-910550.0,149900.0
BAL,Payable/Accrued,,17649000.0,,,5263935.0,,751000.0
INC,Revenue,75509000.0,13755000.0,16212000.0,59037000.0,12996102.0,7898000.0,2174000.0
INC,Total Revenue,75509000.0,13755000.0,16212000.0,59037000.0,12996102.0,7898000.0,2174000.0
INC,"Selling/General/Admin. Expenses, Total",75766000.0,16478000.0,16196000.0,39611000.0,9709193.0,6781000.0,2951000.0
INC,Depreciation/Amortization,30856000.0,11544000.0,7452000.0,7741000.0,1957763.0,1252000.0,757000.0
INC,Unusual Expense (Income),112331000.0,95100000.0,0.0,1811000.0,0.0,214000.0,14000.0
INC,"Other Operating Expenses, Total",13544000.0,18680000.0,3504000.0,9579000.0,150251.0,175000.0,128000.0
INC,Total Operating Expense,232497000.0,141802000.0,27152000.0,58742000.0,11817207.0,8422000.0,3850000.0
INC,Operating Income,-156988000.0,-128047000.0,-10940000.0,295000.0,1178895.0,-524000.0,-1676000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",-15630000.0,-16318000.0,-4559000.0,-417353000.0,-6213601.0,-58627000.0,-466000.0
INC,Gain (Loss) on Sale of Assets,3117000.0,,,12000.0,,0.0,0.0
INC,"Other, Net",20000.0,,,,10916.0,,
INC,Net Income Before Taxes,-169481000.0,-144365000.0,-15499000.0,-417046000.0,-5023790.0,-59151000.0,-2142000.0
INC,Provision for Income Taxes,2390000.0,-411000.0,2441000.0,2724000.0,-2730209.0,1239000.0,0.0
INC,Net Income After Taxes,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Net Income Before Extra. Items,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Net Income,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Income Available to Com Excl ExtraOrd,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Income Available to Com Incl ExtraOrd,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Diluted Net Income,-171871000.0,-143954000.0,-17940000.0,-419770000.0,-2293581.0,-60390000.0,-2142000.0
INC,Diluted Weighted Average Shares,54775570.0,53029540.0,53028870.0,40941070.0,52997030.0,55036110.0,55036110.0
INC,Diluted EPS Excluding ExtraOrd Items,-3137730.0,-2714600.0,-338310.0,-10253030.0,-43278.0,-1097280.0,-38920.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INC,Diluted Normalized EPS,-1841730.0,-1548930.0,-338310.0,-10224470.0,-43278.0,-1094750.0,-38670.0
CAS,Cash Interest Paid,4102000.0,4144000.0,,5253000.0,,333000.0,0.0
CAS,Changes in Working Capital,6045000.0,-6263000.0,,21557000.0,12242919.0,1761000.0,-987000.0
CAS,Cash from Operating Activities,6045000.0,-6263000.0,,21557000.0,12242919.0,1761000.0,-987000.0
CAS,Capital Expenditures,-116064000.0,-54653000.0,,-83654000.0,-41284457.0,-7300000.0,-4074000.0
CAS,"Other Investing Cash Flow Items, Total",44597000.0,3938000.0,,-234461000.0,-183903839.0,-74063000.0,-149000.0
CAS,Cash from Investing Activities,-71467000.0,-50715000.0,,-318115000.0,-225188296.0,-81363000.0,-4223000.0
CAS,Financing Cash Flow Items,-1262000.0,-414000.0,,103633000.0,89567160.0,103093000.0,4041000.0
CAS,"Issuance (Retirement) of Stock, Net",39252000.0,0.0,,215331000.0,191008675.0,0.0,2684000.0
CAS,"Issuance (Retirement) of Debt, Net",-9750000.0,-9540000.0,,53074000.0,35592883.0,14932000.0,0.0
CAS,Cash from Financing Activities,28240000.0,-9954000.0,,372038000.0,316168718.0,118025000.0,6725000.0
CAS,Foreign Exchange Effects,-3894000.0,-2377000.0,,-4500000.0,-1341347.0,-1389000.0,358000.0
CAS,Net Change in Cash,-41076000.0,-69309000.0,,70980000.0,101881995.0,37034000.0,1873000.0
