,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,21116000,102271000.0,26001000.0,46345000.0,18834000.0,64065000.0,126263000.0,36112000.0,80386000.0,61661000.0
BAL,Short Term Investments,197311000,154468000.0,79936000.0,92012000.0,117369000.0,22678000.0,26012000.0,235547000.0,79666000.0,249127000.0
BAL,Cash and Short Term Investments,218427000,256739000.0,105937000.0,138357000.0,136203000.0,86743000.0,152275000.0,271659000.0,160052000.0,310788000.0
BAL,"Accounts Receivable - Trade, Net",318000,685000.0,261000.0,28000.0,39000.0,14000.0,395000.0,56532000.0,5924000.0,4825000.0
BAL,"Total Receivables, Net",318000,685000.0,261000.0,28000.0,39000.0,14000.0,395000.0,56532000.0,5924000.0,4825000.0
BAL,Total Inventory,336000,172000.0,,,,,0.0,4243000.0,4680000.0,1948000.0
BAL,Prepaid Expenses,4291000,6124000.0,3348000.0,2481000.0,2821000.0,2164000.0,5049000.0,5320000.0,2668000.0,4434000.0
BAL,Total Current Assets,223372000,263720000.0,109546000.0,140866000.0,139063000.0,88921000.0,157719000.0,337754000.0,173324000.0,321995000.0
BAL,"Property/Plant/Equipment, Total - Gross",6525000,6442000.0,6303000.0,8355000.0,6109000.0,8329000.0,7310000.0,77488000.0,75871000.0,76310000.0
BAL,"Accumulated Depreciation, Total",-4391000,-4240000.0,-4096000.0,-3984000.0,-5177000.0,-4853000.0,-5815000.0,-61741000.0,-60006000.0,-58623000.0
BAL,"Property/Plant/Equipment, Total - Net",7821000,8461000.0,8627000.0,4371000.0,8032000.0,3476000.0,1495000.0,15747000.0,15865000.0,17687000.0
BAL,"Goodwill, Net",44543000,44543000.0,44543000.0,44543000.0,44543000.0,44543000.0,44543000.0,44543000.0,44543000.0,44543000.0
BAL,"Other Long Term Assets, Total",743000,,,4519000.0,47000.0,-31000.0,31000.0,-45000.0,285000.0,429000.0
BAL,Total Assets,276479000,316724000.0,162716000.0,194299000.0,191685000.0,136909000.0,203788000.0,417715000.0,284136000.0,436539000.0
BAL,Accounts Payable,12036000,10501000.0,10311000.0,10395000.0,9427000.0,9152000.0,5469000.0,12178000.0,17759000.0,38762000.0
BAL,Accrued Expenses,19654000,14928000.0,9576000.0,12373000.0,8299000.0,10469000.0,29691000.0,42151000.0,14482000.0,12282000.0
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",571000,680000.0,484000.0,404000.0,719000.0,2503000.0,,0.0,3395000.0,40351000.0
BAL,Total Current Liabilities,32261000,26109000.0,20371000.0,23172000.0,18445000.0,22124000.0,46806000.0,65341000.0,36751000.0,105489000.0
BAL,Long Term Debt,99265000,98772000.0,48845000.0,48579000.0,23784000.0,,0.0,234171000.0,243887000.0,231576000.0
BAL,Total Long Term Debt,99265000,98772000.0,48845000.0,48579000.0,23784000.0,0.0,0.0,234171000.0,243887000.0,231576000.0
BAL,Total Debt,99265000,98772000.0,48845000.0,48579000.0,23784000.0,0.0,11646000.0,245183000.0,245002000.0,245670000.0
BAL,"Other Liabilities, Total",5443000,5482000.0,5454000.0,5424000.0,5438000.0,1190000.0,611000.0,1102000.0,23889000.0,25195000.0
BAL,Total Liabilities,136969000,130363000.0,74670000.0,77175000.0,47667000.0,23314000.0,47417000.0,300614000.0,310541000.0,368274000.0
BAL,"Redeemable Preferred Stock, Total",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Common Stock, Total",245000,245000.0,190000.0,189000.0,189000.0,150000.0,142000.0,106000.0,106000.0,106000.0
BAL,Additional Paid-In Capital,1859346000,1855659000.0,1712558000.0,1709144000.0,1705607000.0,1608749000.0,1561096000.0,1462172000.0,1447954000.0,1435526000.0
BAL,Retained Earnings (Accumulated Deficit),-1717083000,-1666558000.0,-1621654000.0,-1589720000.0,-1559226000.0,-1487776000.0,-1400018000.0,-1341444000.0,-1471577000.0,-1365241000.0
BAL,Treasury Stock - Common,-2885000,-2885000.0,-2885000.0,-2061000.0,-2061000.0,-7518000.0,-4843000.0,-3817000.0,-2876000.0,-1904000.0
BAL,"Other Equity, Total",-113000,-100000.0,-163000.0,-428000.0,-491000.0,-10000.0,-6000.0,84000.0,-12000.0,-222000.0
BAL,Total Equity,139510000,186361000.0,88046000.0,117124000.0,144018000.0,113595000.0,156371000.0,117101000.0,-26405000.0,68265000.0
