,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,49366000.0,62308000.0,23187000.0,20536000.0,21977000.0,82647000.0,16862000.0,5837000.0,13766000.0,
BAL,Short Term Investments,28677000.0,31565000.0,44544000.0,62173000.0,61281000.0,32720000.0,,,,
BAL,Cash and Short Term Investments,78043000.0,93873000.0,67731000.0,82709000.0,83258000.0,115367000.0,16862000.0,5837000.0,13766000.0,
BAL,"Accounts Receivable - Trade, Net",740000.0,821000.0,698000.0,4132000.0,,,0.0,1079000.0,1463000.0,
BAL,"Total Receivables, Net",740000.0,821000.0,698000.0,4132000.0,,,0.0,1079000.0,1463000.0,
BAL,Total Inventory,3616000.0,2933000.0,3116000.0,1861000.0,1762000.0,1780000.0,0.0,192000.0,1109000.0,
BAL,"Other Current Assets, Total",9028000.0,5648000.0,5445000.0,2306000.0,2832000.0,2283000.0,698000.0,729000.0,1311000.0,
BAL,Total Current Assets,91427000.0,103275000.0,76990000.0,91008000.0,87852000.0,119430000.0,17560000.0,7837000.0,17649000.0,
BAL,"Property/Plant/Equipment, Total - Gross",41512000.0,41517000.0,41697000.0,36827000.0,14598000.0,23316000.0,16640000.0,16700000.0,15457000.0,
BAL,"Accumulated Depreciation, Total",-17828000.0,-17146000.0,-16667000.0,-15418000.0,-75000.0,-14713000.0,-13811000.0,-13543000.0,-12464000.0,
BAL,"Property/Plant/Equipment, Total - Net",23684000.0,24371000.0,25030000.0,21409000.0,19031000.0,8603000.0,2829000.0,3157000.0,2993000.0,
BAL,"Intangibles, Net",17766000.0,18321000.0,19000000.0,75000.0,85000.0,115000.0,164000.0,221000.0,486000.0,
BAL,"Other Long Term Assets, Total",3071000.0,2688000.0,2242000.0,2504000.0,2423000.0,2077000.0,453000.0,621000.0,1905000.0,
BAL,Total Assets,135948000.0,148655000.0,123262000.0,114996000.0,109391000.0,130225000.0,21006000.0,11836000.0,23033000.0,
BAL,Accounts Payable,2294000.0,1890000.0,3629000.0,2061000.0,1519000.0,3584000.0,630000.0,1871000.0,2411000.0,
BAL,Accrued Expenses,15754000.0,15071000.0,12624000.0,3904000.0,2357000.0,2019000.0,1171000.0,2269000.0,5602000.0,
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,Current Port. of  LT Debt/Capital Leases,2000.0,8000.0,15000.0,21000.0,25000.0,413000.0,462000.0,25000.0,21000.0,
BAL,"Other Current liabilities, Total",6016000.0,5729000.0,5887000.0,5440000.0,6060000.0,6446000.0,7765000.0,10291000.0,10154000.0,
BAL,Total Current Liabilities,24066000.0,22698000.0,22155000.0,11426000.0,9961000.0,12462000.0,10028000.0,14456000.0,18188000.0,
BAL,Total Long Term Debt,0.0,0.0,0.0,0.0,2000.0,26000.0,1195000.0,9000.0,33000.0,
BAL,Total Debt,2000.0,8000.0,15000.0,21000.0,27000.0,439000.0,1657000.0,34000.0,54000.0,
BAL,"Other Liabilities, Total",13624000.0,13452000.0,13746000.0,13829000.0,13803000.0,4983000.0,774000.0,1348000.0,695000.0,
BAL,Total Liabilities,37690000.0,36150000.0,36724000.0,25255000.0,23766000.0,17471000.0,11997000.0,15813000.0,18916000.0,
BAL,"Preferred Stock - Non Redeemable, Net",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Common Stock, Total",190000.0,188000.0,176000.0,171000.0,166000.0,164000.0,153000.0,126000.0,100000.0,
BAL,Additional Paid-In Capital,843652000.0,834485000.0,787856000.0,772221000.0,754702000.0,742042000.0,601224000.0,568496000.0,550133000.0,
BAL,Retained Earnings (Accumulated Deficit),-745629000.0,-722160000.0,-701551000.0,-682524000.0,-669049000.0,-629433000.0,-586233000.0,-572599000.0,-546116000.0,
BAL,"Other Equity, Total",45000.0,-8000.0,57000.0,-127000.0,-194000.0,-19000.0,-6135000.0,,,
BAL,Total Equity,98258000.0,112505000.0,86538000.0,89741000.0,85625000.0,112754000.0,9009000.0,-3977000.0,4117000.0,
BAL,Total Liabilities & Shareholders' Equity,135948000.0,148655000.0,123262000.0,114996000.0,109391000.0,130225000.0,21006000.0,11836000.0,23033000.0,
BAL,Total Common Shares Outstanding,189829000.0,187620000.0,176026000.0,170503000.0,165885000.0,164363000.0,152926000.0,125803000.0,100105000.0,
BAL,"Tangible Book Value per Share, Common Eq",424020.0,501990.0,383680.0,525890.0,515660.0,685310.0,57840.0,-33370.0,36270.0,
BAL,Deferred Income Tax,,,823000.0,,,,,,,
BAL,Capital Lease Obligations,,,,0.0,2000.0,26000.0,44000.0,9000.0,33000.0,
INC,Revenue,1047000.0,329000.0,782000.0,664000.0,0.0,2500000.0,3090000.0,8886000.0,17607000.0,9634000.0
INC,Total Revenue,1047000.0,329000.0,782000.0,664000.0,0.0,2500000.0,3090000.0,8886000.0,17607000.0,9634000.0
INC,"Cost of Revenue, Total",625000.0,701000.0,544000.0,13000.0,19000.0,2000.0,1398000.0,8564000.0,10638000.0,9862000.0
INC,Gross Profit,422000.0,-372000.0,238000.0,651000.0,-19000.0,2498000.0,1692000.0,322000.0,6969000.0,-228000.0
INC,"Selling/General/Admin. Expenses, Total",8743000.0,9692000.0,8737000.0,24041000.0,5522000.0,22256000.0,5917000.0,8133000.0,9523000.0,10156000.0
INC,Research & Development,15584000.0,13851000.0,12692000.0,30413000.0,7535000.0,24111000.0,9840000.0,18661000.0,24666000.0,15096000.0
INC,Unusual Expense (Income),-10000.0,-15000.0,,87000.0,26000.0,-692000.0,-450000.0,,,
INC,Total Operating Expense,24942000.0,24229000.0,21973000.0,54554000.0,13102000.0,45677000.0,16705000.0,35358000.0,44827000.0,35114000.0
INC,Operating Income,-23895000.0,-23900000.0,-21191000.0,-53890000.0,-13102000.0,-43177000.0,-13615000.0,-26472000.0,-27220000.0,-25480000.0
INC,"Other, Net",637000.0,3570000.0,2345000.0,799000.0,251000.0,-23000.0,-19000.0,-11000.0,-30000.0,-6000.0
