,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash,283184000.0,340730000.0,78830000.0,82644000.0,105603000.0,295572000.0,105364000.0,10571000.0
BAL,Cash and Short Term Investments,283184000.0,340730000.0,78830000.0,82644000.0,120346000.0,545509000.0,106191000.0,10571000.0
BAL,"Accounts Receivable - Trade, Net",99708000.0,102835000.0,106676000.0,100955000.0,118333000.0,105519000.0,71297000.0,44049000.0
BAL,"Total Receivables, Net",133253000.0,137067000.0,139127000.0,119016000.0,142432000.0,138183000.0,83347000.0,48727000.0
BAL,Total Inventory,83537000.0,102825000.0,108207000.0,114475000.0,89326000.0,95661000.0,39115000.0,28811000.0
BAL,Prepaid Expenses,17673000.0,22244000.0,26909000.0,23413000.0,17010000.0,27711000.0,11509000.0,6801000.0
BAL,"Other Current Assets, Total",0.0,0.0,0.0,142703000.0,,,,
BAL,Total Current Assets,517647000.0,602866000.0,353073000.0,482251000.0,369114000.0,807064000.0,240162000.0,94910000.0
BAL,"Property/Plant/Equipment, Total - Gross",710071000.0,709064000.0,705143000.0,677036000.0,827597000.0,728893000.0,311112000.0,141072000.0
BAL,"Accumulated Depreciation, Total",-103573000.0,-94942000.0,-85956000.0,-75486000.0,-80865000.0,-60797000.0,-35384000.0,-21049000.0
BAL,"Property/Plant/Equipment, Total - Net",606498000.0,614122000.0,619187000.0,601550000.0,746732000.0,668096000.0,275728000.0,120023000.0
BAL,"Goodwill, Net",107949000.0,108656000.0,113730000.0,112904000.0,105942000.0,130364000.0,143826000.0,126624000.0
BAL,"Intangibles, Net",13186000.0,13515000.0,14571000.0,14784000.0,13751000.0,15561000.0,12637000.0,3855000.0
BAL,Note Receivable - Long Term,47752000.0,47240000.0,44382000.0,3937000.0,7502000.0,1182000.0,6550000.0,3800000.0
BAL,"Other Long Term Assets, Total",14803000.0,14717000.0,3637000.0,9771000.0,4954000.0,6645000.0,26000.0,8000.0
BAL,Total Assets,1307835000.0,1401116000.0,1148580000.0,1225197000.0,1247995000.0,1628912000.0,678929000.0,349220000.0
BAL,Accounts Payable,59443000.0,81201000.0,66912000.0,82516000.0,66097000.0,93043000.0,45295000.0,29956000.0
BAL,Accrued Expenses,117155000.0,116475000.0,117746000.0,132484000.0,133911000.0,126434000.0,64141000.0,27662000.0
BAL,Notes Payable/Short Term Debt,0.0,400244000.0,0.0,0.0,0.0,0.0,107315000.0,1613000.0
BAL,Current Port. of  LT Debt/Capital Leases,306469000.0,25052000.0,117740000.0,66745000.0,23889000.0,22690000.0,10596000.0,36645000.0
BAL,"Other Current liabilities, Total",28396000.0,22481000.0,16199000.0,60162000.0,12976000.0,1220000.0,1297000.0,525000.0
BAL,Total Current Liabilities,511463000.0,645453000.0,318597000.0,341907000.0,236873000.0,243387000.0,228644000.0,96401000.0
BAL,Long Term Debt,115340000.0,115211000.0,2725000.0,2668000.0,,0.0,91655000.0,40418000.0
BAL,Capital Lease Obligations,83934000.0,87418000.0,88191000.0,82285000.0,119995000.0,126516000.0,23883000.0,23917000.0
BAL,Total Long Term Debt,199274000.0,202629000.0,90916000.0,84953000.0,119995000.0,126516000.0,115538000.0,64335000.0
BAL,Total Debt,505743000.0,627925000.0,208656000.0,151698000.0,143884000.0,149206000.0,233449000.0,102593000.0
BAL,Deferred Income Tax,637000.0,637000.0,679000.0,0.0,2645000.0,2677000.0,1307000.0,462000.0
BAL,Minority Interest,1874000.0,,,,,,,
BAL,"Other Liabilities, Total",5301000.0,6600000.0,7422000.0,7194000.0,9303000.0,11033000.0,7354000.0,221000.0
