,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,107369000,115544000.0,121461000.0,159521000.0,155191000.0,334427000.0,326184000.0,94797000.0,10731000.0,
BAL,Short Term Investments,142703000,165148000.0,192663000.0,184420000.0,215162000.0,7439000.0,7526000.0,,,
BAL,Cash and Short Term Investments,250072000,280692000.0,314124000.0,343941000.0,370353000.0,341866000.0,333710000.0,94797000.0,10731000.0,
BAL,"Total Receivables, Net",19470000,7032000.0,7013000.0,4323000.0,14609000.0,3234000.0,6164000.0,3056000.0,1064000.0,
BAL,Prepaid Expenses,5551000,4201000.0,4389000.0,5715000.0,5635000.0,6314000.0,6678000.0,719000.0,253000.0,
BAL,Total Current Assets,275093000,291925000.0,325526000.0,353979000.0,390597000.0,351414000.0,346552000.0,98572000.0,12048000.0,
BAL,"Property/Plant/Equipment, Total - Net",8605000,9255000.0,10372000.0,9599000.0,10587000.0,13095000.0,8622000.0,3424000.0,1652000.0,
BAL,Note Receivable - Long Term,2312000,,,,,,,,,
BAL,"Other Long Term Assets, Total",397000,408000.0,408000.0,497000.0,7974000.0,4206000.0,1912000.0,699000.0,225000.0,
BAL,Total Assets,286407000,301588000.0,336306000.0,364075000.0,409158000.0,368715000.0,357086000.0,102695000.0,13925000.0,
BAL,Accounts Payable,5438000,4893000.0,3620000.0,461000.0,9345000.0,2302000.0,2251000.0,2127000.0,1245000.0,
BAL,Accrued Expenses,22959000,23698000.0,19540000.0,23545000.0,17487000.0,19966000.0,6488000.0,1668000.0,411000.0,
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Other Current liabilities, Total",20575000,24662000.0,57775000.0,54613000.0,35039000.0,12821000.0,2275000.0,451000.0,249000.0,
BAL,Total Current Liabilities,48972000,53253000.0,80935000.0,78619000.0,61871000.0,35089000.0,11014000.0,4246000.0,1905000.0,
BAL,Total Long Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,Total Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Other Liabilities, Total",4067000,2921000.0,4127000.0,5939000.0,41511000.0,45205000.0,59242000.0,8581000.0,2531000.0,
BAL,Total Liabilities,53039000,56174000.0,85062000.0,84558000.0,103382000.0,80294000.0,70256000.0,12827000.0,4436000.0,
BAL,"Common Stock, Total",483184000,482739000.0,482677000.0,482032000.0,481782000.0,480699000.0,384313000.0,1000.0,1000.0,
BAL,Additional Paid-In Capital,55515000,49299000.0,43056000.0,37226000.0,32173000.0,17988000.0,5875000.0,3811000.0,340000.0,
BAL,Retained Earnings (Accumulated Deficit),-305079000,-286200000.0,-274254000.0,-239313000.0,-207655000.0,-210266000.0,-103358000.0,-49941000.0,-22725000.0,
BAL,"Other Equity, Total",-252000,-424000.0,-235000.0,-428000.0,-524000.0,,,,,
BAL,Total Equity,233368000,245414000.0,251244000.0,279517000.0,305776000.0,288421000.0,286830000.0,89868000.0,9489000.0,
BAL,Total Liabilities & Shareholders' Equity,286407000,301588000.0,336306000.0,364075000.0,409158000.0,368715000.0,357086000.0,102695000.0,13925000.0,
BAL,Total Common Shares Outstanding,42129250,42093950.0,42079900.0,42036190.0,41961510.0,41850160.0,36902920.0,35018090.0,35018090.0,
BAL,"Tangible Book Value per Share, Common Eq",5539330,5830150.0,5970640.0,6649440.0,7287060.0,6891750.0,7772560.0,-1317290.0,-639210.0,
INC,Revenue,2159000,30249000.0,5678000.0,131830000.0,112545000.0,7600000.0,135000.0,,,
INC,Total Revenue,2159000,30249000.0,5678000.0,131830000.0,112545000.0,7600000.0,135000.0,0.0,0.0,0.0
INC,"Selling/General/Admin. Expenses, Total",7868000,8719000.0,8529000.0,32419000.0,7904000.0,26067000.0,13446000.0,5315000.0,2887000.0,1767000.0
INC,Research & Development,32709000,33788000.0,31830000.0,117229000.0,31242000.0,88722000.0,39291000.0,20456000.0,9526000.0,4306000.0
INC,Total Operating Expense,40577000,42507000.0,40359000.0,151626000.0,39146000.0,116260000.0,54437000.0,26377000.0,12820000.0,6175000.0
INC,Operating Income,-38418000,-12258000.0,-34681000.0,-19796000.0,73399000.0,-108660000.0,-54302000.0,-26377000.0,-12820000.0,-6175000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",3272000,3448000.0,3371000.0,5939000.0,2153000.0,115000.0,-424000.0,-638000.0,-1422000.0,-1582000.0
INC,"Other, Net",-32000,-26000.0,-15000.0,-43000.0,-37000.0,-41000.0,-16000.0,-6000.0,-6000.0,-39000.0
INC,Net Income Before Taxes,-35178000,-8836000.0,-31325000.0,-13900000.0,75515000.0,-108586000.0,-54742000.0,-27021000.0,-14248000.0,-7796000.0
INC,Provision for Income Taxes,-16299000,3110000.0,3616000.0,15147000.0,54000.0,-1678000.0,-1325000.0,195000.0,35000.0,0.0
INC,Net Income After Taxes,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Net Income Before Extra. Items,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Net Income,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Income Available to Com Excl ExtraOrd,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Income Available to Com Incl ExtraOrd,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Diluted Net Income,-18879000,-11946000.0,-34941000.0,-29047000.0,75461000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
INC,Diluted Weighted Average Shares,42102690,42089530.0,42040670.0,41922040.0,44177380.0,37818120.0,36902920.0,35018090.0,35018090.0,35018090.0
INC,Diluted EPS Excluding ExtraOrd Items,-448400,-283820.0,-831120.0,-692880.0,1708140.0,-2826900.0,-1447500.0,-777200.0,-407870.0,-222630.0
INC,DPS - Common Stock Primary Issue,0,0.0,0.0,,0.0,,,0.0,0.0,0.0
INC,Diluted Normalized EPS,-448400,-283820.0,-831120.0,-692880.0,1708140.0,-2826900.0,-1433410.0,-777200.0,-407870.0,-222630.0
CAS,Net Income/Starting Line,-65766000,-46887000.0,-34941000.0,-29047000.0,2611000.0,-106908000.0,-53417000.0,-27216000.0,-14283000.0,-7796000.0
CAS,Depreciation/Depletion,1445000,947000.0,441000.0,1978000.0,1523000.0,1471000.0,897000.0,605000.0,407000.0,102000.0
CAS,Deferred Taxes,0,0.0,0.0,3620000.0,-3857000.0,-2208000.0,-1280000.0,,,
CAS,Non-Cash Items,14603000,9545000.0,4830000.0,19366000.0,15233000.0,14851000.0,4015000.0,1594000.0,1742000.0,1448000.0
CAS,Changes in Working Capital,-49284000,-29737000.0,-2116000.0,4405000.0,14449000.0,6998000.0,43701000.0,6588000.0,-484000.0,239000.0
CAS,Cash from Operating Activities,-99002000,-66132000.0,-31786000.0,322000.0,29959000.0,-85796000.0,-6084000.0,-18429000.0,-12618000.0,-6007000.0
CAS,Capital Expenditures,-1540000,-1540000.0,-475000.0,-602000.0,-2322000.0,-1690000.0,-2237000.0,-1304000.0,-583000.0,-1156000.0
CAS,"Other Investing Cash Flow Items, Total",47702000,23204000.0,-6211000.0,-175176000.0,-207514000.0,14000.0,-7526000.0,,,
CAS,Cash from Investing Activities,46162000,21664000.0,-6686000.0,-175778000.0,-209836000.0,-1676000.0,-9763000.0,-1304000.0,-583000.0,-1156000.0
CAS,"Issuance (Retirement) of Stock, Net",737000,453000.0,413000.0,880000.0,715000.0,95557000.0,247842000.0,103243000.0,0.0,28958000.0
CAS,Cash from Financing Activities,737000,453000.0,413000.0,880000.0,715000.0,95557000.0,247842000.0,103243000.0,0.0,30458000.0
CAS,Foreign Exchange Effects,-49000,38000.0,-1000.0,-330000.0,-74000.0,-54000.0,-604000.0,566000.0,-259000.0,7000.0
CAS,Net Change in Cash,-52152000,-43977000.0,-38060000.0,-174906000.0,-179236000.0,8031000.0,231391000.0,84076000.0,-13460000.0,23302000.0
