,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
BAL,Cash & Equivalents,277800000,159900000,174300000,228400000.0,249100000.0,272800000.0,104700000.0,83800000.0,254300000.0,
BAL,Cash and Short Term Investments,277800000,159900000,174300000,228400000.0,249100000.0,272800000.0,104700000.0,83800000.0,254300000.0,
BAL,"Accounts Receivable - Trade, Net",359500000,555300000,585000000,638200000.0,608100000.0,569500000.0,495200000.0,358100000.0,267900000.0,
BAL,"Total Receivables, Net",359500000,555300000,585000000,638200000.0,608100000.0,569500000.0,495200000.0,358100000.0,267900000.0,
BAL,Prepaid Expenses,93300000,90000000,111500000,97300000.0,95100000.0,110000000.0,123800000.0,76200000.0,55000000.0,
BAL,"Other Current Assets, Total",114500000,108300000,98800000,109300000.0,81600000.0,37200000.0,34800000.0,25600000.0,37100000.0,
BAL,Total Current Assets,845100000,913500000,969600000,1073200000.0,1033900000.0,989500000.0,758500000.0,543700000.0,614300000.0,
BAL,"Property/Plant/Equipment, Total - Gross",2179000000,2219200000,2191700000,2166600000.0,2237900000.0,2401900000.0,2422500000.0,2291300000.0,2018200000.0,
BAL,"Accumulated Depreciation, Total",-1437400000,-1440000000,-1414300000,-1400300000.0,-1392100000.0,-1413400000.0,-1366800000.0,-1255200000.0,-1091200000.0,
BAL,"Property/Plant/Equipment, Total - Net",741600000,779200000,777400000,766300000.0,845800000.0,988500000.0,1055700000.0,1036100000.0,927000000.0,
BAL,"Goodwill, Net",1448100000,1617500000,1614800000,2155100000.0,2270600000.0,2706800000.0,2761100000.0,2745800000.0,2474700000.0,
BAL,"Intangibles, Net",1057800000,1155000000,1195500000,1236000000.0,1291100000.0,1466500000.0,1646300000.0,1817400000.0,1930900000.0,
BAL,Note Receivable - Long Term,10400000,11000000,10500000,10400000.0,12600000.0,13100000.0,13900000.0,7200000.0,5700000.0,
BAL,"Other Long Term Assets, Total",177300000,188300000,186800000,215700000.0,233700000.0,164300000.0,142300000.0,122200000.0,158800000.0,
BAL,Total Assets,4280300000,4664500000,4754600000,5456700000.0,5687700000.0,6328700000.0,6377800000.0,6272400000.0,6111400000.0,
BAL,Payable/Accrued,416800000,397000000,384200000,447300000.0,409100000.0,369500000.0,285400000.0,260400000.0,233500000.0,
BAL,Accrued Expenses,167900000,161900000,159200000,191600000.0,181800000.0,192500000.0,199300000.0,222800000.0,169300000.0,
BAL,Notes Payable/Short Term Debt,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,Current Port. of  LT Debt/Capital Leases,123000000,107900000,108400000,101400000.0,110300000.0,135600000.0,132900000.0,81100000.0,77000000.0,
BAL,"Other Current liabilities, Total",117100000,109500000,138900000,116200000.0,125100000.0,139800000.0,124600000.0,107600000.0,85700000.0,
BAL,Total Current Liabilities,824800000,776300000,790700000,856500000.0,826300000.0,837400000.0,742200000.0,671900000.0,565500000.0,
BAL,Long Term Debt,3057100000,3222300000,3314600000,3343000000.0,3350200000.0,3373800000.0,3393400000.0,3930700000.0,4217600000.0,
BAL,Capital Lease Obligations,317400000,332700000,336300000,310500000.0,303400000.0,345100000.0,358100000.0,88400000.0,4300000.0,
BAL,Total Long Term Debt,3374500000,3555000000,3650900000,3653500000.0,3653600000.0,3718900000.0,3751500000.0,4019100000.0,4221900000.0,
BAL,Total Debt,3497500000,3662900000,3759300000,3754900000.0,3763900000.0,3854500000.0,3884400000.0,4100200000.0,4298900000.0,
BAL,Deferred Income Tax,91800000,113000000,105800000,126700000.0,187200000.0,205800000.0,236700000.0,326900000.0,362400000.0,
BAL,"Other Liabilities, Total",172000000,188300000,182800000,190500000.0,205000000.0,239200000.0,263700000.0,355700000.0,53800000.0,
BAL,Total Liabilities,4463100000,4632600000,4730200000,4827200000.0,4872100000.0,5001300000.0,4994100000.0,5373600000.0,5203600000.0,
BAL,"Preferred Stock - Non Redeemable, Net",0,0,0,0.0,0.0,0.0,0.0,,,
BAL,"Common Stock, Total",2200000,2200000,0,2200000.0,2100000.0,2100000.0,2000000.0,1600000.0,1600000.0,
BAL,Additional Paid-In Capital,2623400000,2607400000,2588000000,2573300000.0,2562300000.0,2500000000.0,2363600000.0,1602700000.0,1577300000.0,
BAL,Retained Earnings (Accumulated Deficit),-2852200000,-2625600000,-2598400000,-1986400000.0,-1772400000.0,-1181600000.0,-963300000.0,-717500000.0,-671100000.0,
BAL,Treasury Stock - Common,-31000000,-31000000,-31000000,-31000000.0,-31000000.0,,,,,
BAL,"Other Equity, Total",74800000,78900000,65800000,71400000.0,54600000.0,6900000.0,-18600000.0,12000000.0,0.0,
BAL,Total Equity,-182800000,31900000,24400000,629500000.0,815600000.0,1327400000.0,1383700000.0,898800000.0,907800000.0,
BAL,Total Liabilities & Shareholders' Equity,4280300000,4664500000,4754600000,5456700000.0,5687700000.0,6328700000.0,6377800000.0,6272400000.0,6111400000.0,
BAL,Total Common Shares Outstanding,212600000,212600000,215000000,212600000.0,211100000.0,211200000.0,201800000.0,199057380.0,199057380.0,
BAL,"Tangible Book Value per Share, Common Eq",-12646750,-12890870,-12957670,-12989650.0,-13008530.0,-13474910.0,-14983650.0,-18408760.0,-17571820.0,
INC,Revenue,732400000,746300000,758700000,3122300000.0,787600000.0,3009500000.0,2707100000.0,2438100000.0,2452800000.0,2144700000.0
INC,Total Revenue,732400000,746300000,758700000,3122300000.0,787600000.0,3009500000.0,2707100000.0,2438100000.0,2452800000.0,2144700000.0
INC,"Cost of Revenue, Total",580400000,593200000,589100000,2265400000.0,580500000.0,2072700000.0,1722700000.0,1426900000.0,1445700000.0,1354100000.0
INC,Gross Profit,152000000,153100000,169600000,856900000.0,207100000.0,936800000.0,984400000.0,1011200000.0,1007100000.0,790600000.0
INC,"Selling/General/Admin. Expenses, Total",177300000,216900000,207500000,830800000.0,219900000.0,878500000.0,959700000.0,911700000.0,949300000.0,942200000.0
INC,Unusual Expense (Income),158700000,-94900000,530300000,680600000.0,463900000.0,70000000.0,71500000.0,-11900000.0,294500000.0,11700000.0
INC,Total Operating Expense,916400000,715200000,1326900000,3801300000.0,1264300000.0,3049500000.0,2753900000.0,2326700000.0,2689500000.0,2279200000.0
INC,Operating Income,-184000000,31100000,-568200000,-679000000.0,-476700000.0,-40000000.0,-46800000.0,111400000.0,-236700000.0,-134500000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",-55500000,-57200000,-54800000,-218700000.0,-58400000.0,-208100000.0,-267700000.0,-230400000.0,-276500000.0,-218800000.0
INC,"Other, Net",-3600000,200000,100000,,,-1000000.0,2500000.0,-3300000.0,12700000.0,-7400000.0
INC,Net Income Before Taxes,-243100000,-25900000,-622900000,-897700000.0,-535100000.0,-249100000.0,-312000000.0,-122300000.0,-500500000.0,-360700000.0
INC,Provision for Income Taxes,-16500000,1300000,-10900000,-92900000.0,-23400000.0,-30800000.0,-66200000.0,-20000000.0,-29900000.0,-104000000.0
INC,Net Income After Taxes,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Net Income Before Extra. Items,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Net Income,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Income Available to Com Excl ExtraOrd,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Income Available to Com Incl ExtraOrd,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Diluted Net Income,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Diluted Weighted Average Shares,216000000,215100000,213200000,211200000.0,210800000.0,208000000.0,179600000.0,199057380.0,199057380.0,199057380.0
INC,Diluted EPS Excluding ExtraOrd Items,-1049070,-126450,-2870540,-3810610.0,-2427420.0,-1049520.0,-1368600.0,-513920.0,-2364140.0,-1289580.0
INC,DPS - Common Stock Primary Issue,0,0,0,,0.0,,,0.0,0.0,0.0
