,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash,132767000.0,148552000.0,160762000.0,161305000.0,157827000,192962000.0,74625000.0,18069000.0
BAL,Cash and Short Term Investments,132767000.0,148552000.0,161856000.0,178612000.0,189248000,265319000.0,97345000.0,18435000.0
BAL,"Accounts Receivable - Trade, Net",9781000.0,9847000.0,10285000.0,6649000.0,6382000,6278000.0,6363000.0,7929000.0
BAL,"Total Receivables, Net",9781000.0,9847000.0,10285000.0,7893000.0,6382000,7089000.0,6663000.0,9070000.0
BAL,Total Inventory,5194000.0,5458000.0,4052000.0,5156000.0,5827000,5729000.0,3384000.0,3610000.0
BAL,Prepaid Expenses,5314000.0,4708000.0,6133000.0,4594000.0,6507000,4568000.0,1084000.0,1670000.0
BAL,Total Current Assets,153056000.0,168565000.0,182326000.0,196255000.0,207964000,282855000.0,109694000.0,33759000.0
BAL,"Property/Plant/Equipment, Total - Net",22139000.0,24032000.0,22265000.0,21397000.0,19148000,15955000.0,5539000.0,6448000.0
BAL,"Intangibles, Net",23521000.0,22818000.0,20798000.0,11775000.0,17982000,7375000.0,4684000.0,2402000.0
BAL,"Other Long Term Assets, Total",7136000.0,7788000.0,6669000.0,6223000.0,5492000,5690000.0,3600000.0,1212000.0
BAL,Total Assets,205852000.0,223203000.0,232058000.0,243838000.0,250586000,320173000.0,132115000.0,51655000.0
BAL,Accounts Payable,6037000.0,6553000.0,7678000.0,5825000.0,5612000,5846000.0,4513000.0,4384000.0
BAL,Accrued Expenses,12857000.0,13795000.0,10452000.0,13054000.0,15190000,14513000.0,8793000.0,6117000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,2908000.0,3466000.0,2977000.0,2690000.0,2333000,1813000.0,3909000.0,3192000.0
BAL,"Other Current liabilities, Total",7066000.0,7734000.0,8242000.0,5241000.0,4907000,6431000.0,4372000.0,5564000.0
BAL,Total Current Liabilities,28868000.0,31548000.0,29349000.0,26810000.0,28042000,28603000.0,21587000.0,19257000.0
BAL,Capital Lease Obligations,14960000.0,16358000.0,14765000.0,14053000.0,13917000,11246000.0,2883000.0,3659000.0
BAL,Total Long Term Debt,14960000.0,16358000.0,14765000.0,14053000.0,13917000,11246000.0,3340000.0,5272000.0
BAL,Total Debt,17868000.0,19824000.0,17742000.0,16743000.0,16250000,13059000.0,7249000.0,8464000.0
BAL,"Other Liabilities, Total",3585000.0,3595000.0,3032000.0,2845000.0,2736000,4924000.0,6678000.0,4873000.0
BAL,Total Liabilities,47413000.0,51501000.0,47146000.0,43708000.0,44695000,44773000.0,31605000.0,29402000.0
BAL,"Common Stock, Total",4048000.0,4048000.0,3464000.0,3464000.0,3464000,3328000.0,2460000.0,1947000.0
BAL,Additional Paid-In Capital,471827000.0,471827000.0,471771000.0,471623000.0,471623000,470887000.0,227429000.0,119227000.0
BAL,Retained Earnings (Accumulated Deficit),-316784000.0,-303516000.0,-290211000.0,-274840000.0,-269078000,-198815000.0,-129379000.0,-98921000.0
BAL,Treasury Stock - Common,-652000.0,-657000.0,-112000.0,-117000.0,-118000,,,
BAL,Total Equity,158439000.0,171702000.0,184912000.0,200130000.0,205891000,275400000.0,100510000.0,22253000.0
BAL,Total Liabilities & Shareholders' Equity,205852000.0,223203000.0,232058000.0,243838000.0,250586000,320173000.0,132115000.0,51655000.0
BAL,Total Common Shares Outstanding,65132010.0,65032800.0,64325460.0,64231220.0,64210910,63857600.0,63338110.0,63338110.0
BAL,"Tangible Book Value per Share, Common Eq",2071450.0,2289370.0,2551310.0,2804980.0,2926430,4067280.0,1377180.0,189730.0
BAL,Short Term Investments,,0.0,1094000.0,17307000.0,31421000,72357000.0,22720000.0,366000.0
INC,Revenue,16303000.0,15054000.0,13966000.0,47560000.0,11648000,40450000.0,28400000.0,25362000.0
