,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,96146000.0,115764000.0,46331000.0,9245000.0,33412000.0,21626000.0,43692000.0,24634000.0
BAL,Cash and Short Term Investments,96146000.0,115764000.0,46331000.0,9245000.0,33412000.0,21626000.0,43692000.0,38219000.0
BAL,"Accounts Receivable - Trade, Net",9515000.0,7233000.0,4206000.0,5085000.0,4196000.0,2060000.0,3575000.0,5667000.0
BAL,"Total Receivables, Net",9515000.0,7233000.0,4206000.0,5085000.0,4196000.0,2060000.0,3575000.0,5667000.0
BAL,Prepaid Expenses,2359000.0,2573000.0,1651000.0,2514000.0,3774000.0,2193000.0,1452000.0,1390000.0
BAL,"Other Current Assets, Total",1353000.0,1371000.0,1069000.0,859000.0,983000.0,1592000.0,230000.0,
BAL,Total Current Assets,109373000.0,126941000.0,53257000.0,17703000.0,42365000.0,27471000.0,48949000.0,45276000.0
BAL,"Property/Plant/Equipment, Total - Net",7689000.0,8831000.0,10147000.0,11566000.0,12979000.0,16446000.0,10435000.0,14053000.0
BAL,Note Receivable - Long Term,12560000.0,7091000.0,7040000.0,7041000.0,4823000.0,,,
BAL,"Other Long Term Assets, Total",14388000.0,14715000.0,2359000.0,1941000.0,3674000.0,5286000.0,4253000.0,4827000.0
BAL,Total Assets,144010000.0,157578000.0,72803000.0,38251000.0,63841000.0,49203000.0,63637000.0,64156000.0
BAL,Accounts Payable,2163000.0,1895000.0,2542000.0,2798000.0,2894000.0,3760000.0,3336000.0,2162000.0
BAL,Accrued Expenses,13752000.0,19262000.0,15463000.0,10744000.0,10523000.0,10579000.0,3411000.0,5053000.0
BAL,Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,138000.0,154000.0,16975000.0,16828000.0,16712000.0,61133000.0,2331000.0,2981000.0
BAL,"Other Current liabilities, Total",5355000.0,5692000.0,6532000.0,7126000.0,8170000.0,12267000.0,15445000.0,10798000.0
BAL,Total Current Liabilities,21408000.0,27003000.0,41512000.0,37496000.0,38299000.0,87739000.0,24523000.0,20994000.0
BAL,Long Term Debt,83308000.0,66428000.0,14035000.0,18299000.0,22508000.0,0.0,13058000.0,
BAL,Capital Lease Obligations,34000.0,60000.0,102000.0,128000.0,168000.0,292000.0,1252000.0,3345000.0
BAL,Total Long Term Debt,83342000.0,66488000.0,14137000.0,18427000.0,22676000.0,292000.0,14310000.0,3345000.0
BAL,Total Debt,83480000.0,66642000.0,31112000.0,35255000.0,39388000.0,61425000.0,16641000.0,6326000.0
BAL,"Other Liabilities, Total",13328000.0,25298000.0,14772000.0,17553000.0,17243000.0,24906000.0,27470000.0,23027000.0
BAL,Total Liabilities,118078000.0,118789000.0,70421000.0,73476000.0,78218000.0,112937000.0,66303000.0,47366000.0
BAL,"Redeemable Preferred Stock, Total",15898000.0,25050000.0,25050000.0,0.0,0.0,279503000.0,273687000.0,223641000.0
BAL,"Preferred Stock - Non Redeemable, Net",-1511000.0,-108000.0,-108000.0,,,,,
