,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31
BAL,Cash & Equivalents,40632000,71893000.0,66043000.0,47379000.0,39758000.0,92268000.0,157898000.0,7013000,31644000
BAL,Short Term Investments,60442000,45279000.0,69452000.0,113901000.0,145356000.0,176536000.0,177551000.0,32074000,28732000
BAL,Cash and Short Term Investments,101074000,117172000.0,135495000.0,161280000.0,185114000.0,268804000.0,335449000.0,39087000,60376000
BAL,Prepaid Expenses,11914000,19278000.0,22342000.0,23304000.0,16402000.0,19462000.0,10190000.0,3355000,5258000
BAL,Total Current Assets,112988000,136450000.0,157837000.0,184584000.0,201516000.0,288266000.0,345639000.0,42442000,65634000
BAL,"Property/Plant/Equipment, Total - Net",14796000,16015000.0,16887000.0,20306000.0,20959000.0,9938000.0,3000000.0,2437000,2504000
BAL,"Other Long Term Assets, Total",2673000,2805000.0,2953000.0,434000.0,468000.0,381000.0,349000.0,90000,23000
BAL,Total Assets,130457000,155270000.0,177677000.0,205324000.0,222943000.0,298585000.0,348988000.0,44969000,68161000
BAL,Accounts Payable,2016000,2011000.0,5128000.0,7170000.0,3036000.0,10012000.0,1754000.0,3051000,2048000
BAL,Accrued Expenses,11262000,10056000.0,10881000.0,17795000.0,16103000.0,14574000.0,7352000.0,4039000,1760000
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BAL,"Other Current liabilities, Total",781000,927000.0,,,,0.0,7728000.0,12894000,17044000
BAL,Total Current Liabilities,14059000,12994000.0,16009000.0,24965000.0,19139000.0,24586000.0,16834000.0,19984000,20852000
BAL,Total Long Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BAL,Total Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BAL,"Other Liabilities, Total",3615000,3818000.0,4014000.0,4202000.0,4386000.0,2213000.0,22293000.0,10469000,9326000
