,,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-05-31,2021-05-31,2020-12-31,2019-12-31,2018-12-31
BAL,Cash & Equivalents,143373000.0,177519000.0,206632000.0,164997000.0,190218000.0,415909000.0,488466000.0,189702000.0,96791000.0,487255000.0
BAL,Short Term Investments,116418000.0,287333000.0,241897000.0,243286000.0,243286000.0,,,,0.0,30335000.0
BAL,Cash and Short Term Investments,259791000.0,464852000.0,448529000.0,408283000.0,433504000.0,415909000.0,488466000.0,189702000.0,96791000.0,517590000.0
BAL,"Accounts Receivable - Trade, Net",90596000.0,82076000.0,86227000.0,78342000.0,89705000.0,95279000.0,87309000.0,29033000.0,36873000.0,16525000.0
BAL,"Total Receivables, Net",90596000.0,82076000.0,86227000.0,78342000.0,89705000.0,95279000.0,99125000.0,41155000.0,43038000.0,17494000.0
BAL,Total Inventory,252702000.0,232075000.0,200551000.0,202800000.0,240946000.0,245529000.0,256429000.0,93645000.0,87861000.0,16211000.0
BAL,Prepaid Expenses,36626000.0,44943000.0,37722000.0,69087000.0,50550000.0,46786000.0,31012000.0,6542000.0,5847000.0,3007000.0
BAL,"Other Current Assets, Total",2312000.0,5309000.0,,,,,8577000.0,15976000.0,25490000.0,
BAL,Total Current Assets,642027000.0,829255000.0,773029000.0,758512000.0,814705000.0,803503000.0,883609000.0,347020000.0,259027000.0,554302000.0
BAL,"Property/Plant/Equipment, Total - Gross",802275000.0,661198000.0,582426000.0,605304000.0,706424000.0,767736000.0,745841000.0,245419000.0,218848000.0,87714000.0
BAL,"Accumulated Depreciation, Total",-173637000.0,-160974000.0,-146818000.0,-173549000.0,-155949000.0,-167241000.0,-76876000.0,-27875000.0,-17117000.0,-7500000.0
BAL,"Property/Plant/Equipment, Total - Net",628638000.0,500224000.0,435608000.0,431755000.0,550475000.0,600495000.0,668965000.0,217544000.0,201731000.0,80214000.0
