,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,82153000,75565000,72542000.0,95272000.0,34494000.0,38129000.0,128535000.0,23872000.0
BAL,Short Term Investments,39600000,56940000,75271000.0,91255000.0,114956000.0,213171000.0,0.0,2753000.0
BAL,Cash and Short Term Investments,121753000,132505000,147813000.0,186527000.0,149450000.0,251300000.0,128535000.0,26625000.0
BAL,Prepaid Expenses,5075000,6401000,6815000.0,7227000.0,7617000.0,4058000.0,1429000.0,1117000.0
BAL,Total Current Assets,126828000,138906000,154628000.0,193754000.0,157067000.0,255358000.0,129964000.0,27742000.0
BAL,"Property/Plant/Equipment, Total - Gross",76650000,77173000,78067000.0,78371000.0,78168000.0,64130000.0,23888000.0,13808000.0
BAL,"Accumulated Depreciation, Total",-22182000,-20001000,-17806000.0,-15676000.0,-13575000.0,-9425000.0,-6703000.0,-4233000.0
BAL,"Property/Plant/Equipment, Total - Net",54468000,57172000,60261000.0,62695000.0,64593000.0,54705000.0,17185000.0,9575000.0
BAL,Long Term Investments,6367000,19136000,25822000.0,17703000.0,,,,
BAL,"Other Long Term Assets, Total",5734000,5540000,4630000.0,4793000.0,4650000.0,4126000.0,1012000.0,684000.0
BAL,Total Assets,193397000,220754000,245341000.0,278945000.0,226310000.0,314189000.0,148161000.0,38001000.0
BAL,Accounts Payable,5902000,8484000,7430000.0,9578000.0,5312000.0,10721000.0,1017000.0,600000.0
BAL,Accrued Expenses,13017000,11655000,11875000.0,14670000.0,11919000.0,10891000.0,3903000.0,2419000.0
BAL,Notes Payable/Short Term Debt,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current liabilities, Total",458000,778000,,,485000.0,162000.0,121000.0,1101000.0
BAL,Total Current Liabilities,19377000,20917000,19305000.0,24248000.0,17716000.0,21774000.0,5041000.0,4120000.0
BAL,Total Long Term Debt,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Total Debt,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",9136000,9897000,10624000.0,11321000.0,12266000.0,13889000.0,3681000.0,4578000.0
BAL,Total Liabilities,28513000,30814000,29929000.0,35569000.0,29982000.0,35663000.0,8722000.0,8698000.0
BAL,"Common Stock, Total",7000,7000,7000.0,7000.0,4000.0,4000.0,0.0,0.0
BAL,Additional Paid-In Capital,538485000,534470000,526460000.0,522945000.0,442773000.0,434196000.0,1584000.0,764000.0
BAL,Retained Earnings (Accumulated Deficit),-373347000,-344204000,-310935000.0,-279198000.0,-245682000.0,-155533000.0,-82812000.0,-44417000.0
BAL,"Other Equity, Total",-261000,-333000,-120000.0,-378000.0,-767000.0,-141000.0,-87000.0,-86000.0
BAL,Total Equity,164884000,189940000,215412000.0,243376000.0,196328000.0,278526000.0,139439000.0,29303000.0
BAL,Total Liabilities & Shareholders' Equity,193397000,220754000,245341000.0,278945000.0,226310000.0,314189000.0,148161000.0,38001000.0
BAL,Total Common Shares Outstanding,68111020,67865160,66865420.0,66857110.0,41374690.0,41291370.0,39324730.0,39324730.0
BAL,"Tangible Book Value per Share, Common Eq",2420810,2798790,3221580.0,3640240.0,4745120.0,6745380.0,-2067780.0,-1112250.0
INC,Total Revenue,0,0,0.0,0.0,0.0,0.0,0.0,0.0
INC,"Selling/General/Admin. Expenses, Total",7829000,8627000,8118000.0,31084000.0,7540000.0,18413000.0,7813000.0,4564000.0
INC,Research & Development,23091000,26477000,25605000.0,94537000.0,23758000.0,54393000.0,31099000.0,23148000.0
INC,Total Operating Expense,30920000,35104000,33723000.0,125621000.0,31298000.0,72806000.0,38912000.0,27712000.0
INC,Operating Income,-30920000,-35104000,-33723000.0,-125621000.0,-31298000.0,-72806000.0,-38912000.0,-27712000.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",1776000,1837000,1973000.0,1954000.0,596000.0,108000.0,87000.0,453000.0
INC,"Other, Net",1000,-2000,13000.0,2000.0,6000.0,-23000.0,430000.0,1028000.0
INC,Net Income Before Taxes,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Provision for Income Taxes,0,0,0.0,0.0,0.0,0.0,0.0,0.0
INC,Net Income After Taxes,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Net Income Before Extra. Items,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Net Income,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Income Available to Com Excl ExtraOrd,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Income Available to Com Incl ExtraOrd,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Diluted Net Income,-29143000,-33269000,-31737000.0,-123665000.0,-30696000.0,-72721000.0,-38395000.0,-26231000.0
INC,Diluted Weighted Average Shares,73924940,73399850,73097890.0,44823600.0,41358300.0,17734170.0,39324730.0,39324730.0
INC,Diluted EPS Excluding ExtraOrd Items,-394220,-453260,-434170.0,-2758930.0,-742200.0,-4100620.0,-976360.0,-667040.0
INC,DPS - Common Stock Primary Issue,0,0,0.0,,0.0,0.0,0.0,0.0
INC,Diluted Normalized EPS,-394220,-453260,-434170.0,-2758930.0,-742200.0,-4100620.0,-976360.0,-667040.0
CAS,Net Income/Starting Line,-94149000,-65006000,-31737000.0,-123665000.0,-90149000.0,-72721000.0,-38395000.0,-26231000.0
CAS,Depreciation/Depletion,6506000,4325000,2130000.0,6467000.0,4350000.0,2961000.0,2483000.0,1989000.0
CAS,Non-Cash Items,12472000,7924000,3753000.0,13623000.0,9893000.0,4206000.0,699000.0,396000.0
CAS,Changes in Working Capital,-4977000,-3753000,-4436000.0,-849000.0,-5836000.0,4742000.0,-234000.0,-250000.0
CAS,Cash from Operating Activities,-80148000,-56510000,-30290000.0,-104424000.0,-81742000.0,-60812000.0,-35447000.0,-24096000.0
CAS,Capital Expenditures,-845000,-837000,-629000.0,-20630000.0,-19835000.0,-25121000.0,-9763000.0,-2926000.0
