,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
BAL,Cash & Equivalents,164278000,45083000.0,63425000.0,87880000.0,34306000.0,149103000.0,251253000.0,
BAL,Cash and Short Term Investments,164278000,45083000.0,63425000.0,87880000.0,34306000.0,149103000.0,251253000.0,
BAL,Prepaid Expenses,4401000,7798000.0,7677000.0,7365000.0,7594000.0,9091000.0,6626000.0,
BAL,"Other Current Assets, Total",3128000,1234000.0,1256000.0,1172000.0,1102000.0,1408000.0,0.0,15000.0
BAL,Total Current Assets,171807000,54115000.0,72358000.0,96417000.0,43002000.0,159602000.0,257879000.0,15000.0
BAL,"Property/Plant/Equipment, Total - Gross",23664000,26798000.0,27262000.0,27548000.0,65242000.0,51109000.0,,
BAL,"Accumulated Depreciation, Total",-2643000,-2311000.0,-1973000.0,-1642000.0,-1288000.0,-499000.0,,
BAL,"Property/Plant/Equipment, Total - Net",21021000,24487000.0,25289000.0,25906000.0,63954000.0,50610000.0,287000.0,
BAL,"Other Long Term Assets, Total",2941000,2941000.0,3953000.0,3953000.0,4512000.0,3744000.0,715000.0,
BAL,Total Assets,195769000,81543000.0,101600000.0,126276000.0,111468000.0,213956000.0,258881000.0,15000.0
BAL,Accounts Payable,7520000,10766000.0,9002000.0,10946000.0,15251000.0,21763000.0,1994000.0,
BAL,Accrued Expenses,12612000,18611000.0,15584000.0,17967000.0,17888000.0,29983000.0,5135000.0,150000.0
BAL,Notes Payable/Short Term Debt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,Current Port. of  LT Debt/Capital Leases,345000,337000.0,328000.0,320000.0,,,,
BAL,"Other Current liabilities, Total",159974000,20927000.0,29541000.0,33557000.0,,,,
BAL,Total Current Liabilities,180451000,50641000.0,54455000.0,62790000.0,33139000.0,51746000.0,7129000.0,150000.0
BAL,Long Term Debt,38548000,38354000.0,38161000.0,37967000.0,37773000.0,37192000.0,,
BAL,Total Long Term Debt,38548000,38354000.0,38161000.0,37967000.0,37773000.0,37192000.0,0.0,0.0
BAL,Total Debt,38893000,38691000.0,38489000.0,38287000.0,37773000.0,37192000.0,0.0,0.0
BAL,"Other Liabilities, Total",25884000,29662000.0,23932000.0,24570000.0,29430000.0,29635000.0,450000.0,
BAL,Total Liabilities,244883000,118657000.0,116548000.0,125327000.0,100342000.0,118573000.0,7579000.0,150000.0
BAL,"Redeemable Preferred Stock, Total",0,0.0,0.0,0.0,0.0,0.0,0.0,
BAL,"Common Stock, Total",2000,1000.0,1000.0,1000.0,1000.0,390.0,350.0,
BAL,Additional Paid-In Capital,511632000,406546000.0,404114000.0,402389000.0,357065000.0,331032000.0,312428000.0,980000.0
BAL,Retained Earnings (Accumulated Deficit),-560748000,-443661000.0,-419063000.0,-401441000.0,-345940000.0,-235649000.0,-61126000.0,-1115000.0
BAL,Total Equity,-49114000,-37114000.0,-14948000.0,949000.0,11126000.0,95383000.0,251302000.0,-135000.0
BAL,Total Liabilities & Shareholders' Equity,195769000,81543000.0,101600000.0,126276000.0,111468000.0,213956000.0,258881000.0,15000.0
BAL,Total Common Shares Outstanding,186960190,64432640.0,63473350.0,63207510.0,41175940.0,38473950.0,34521360.0,34521360.0
BAL,"Tangible Book Value per Share, Common Eq",-262700,-576010.0,-235500.0,15010.0,270210.0,2479160.0,7279610.0,-3910.0
INC,Revenue,4746000,2395000.0,4706000.0,2502000.0,0.0,,,
INC,Total Revenue,4746000,2395000.0,4706000.0,2502000.0,0.0,0.0,0.0,0.0
INC,"Selling/General/Admin. Expenses, Total",8589000,5988000.0,8751000.0,37360000.0,8683000.0,41324000.0,11109000.0,128000.0
