,,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2020-12-31
BAL,Cash,99730.0,1088980.0,1503770.0,335060.0,851860.0,
BAL,Cash and Short Term Investments,99730.0,1088980.0,1503770.0,335060.0,851860.0,
BAL,Prepaid Expenses,282970.0,164230.0,204820.0,219330.0,301130.0,
BAL,Total Current Assets,382700.0,1253210.0,1708590.0,554380.0,1152990.0,166790.0
BAL,Long Term Investments,345312790.0,345055670.0,345052050.0,345030990.0,345014380.0,
BAL,"Other Long Term Assets, Total",0.0,0.0,33050.0,117220.0,137490.0,
BAL,Total Assets,345695490.0,346308880.0,346793690.0,345702590.0,346304850.0,166790.0
BAL,Payable/Accrued,1039310.0,1645330.0,272950.0,66740.0,70750.0,
BAL,"Other Current liabilities, Total",155040.0,125040.0,95000.0,65000.0,35000.0,
BAL,Total Current Liabilities,1194360.0,1770370.0,367950.0,131740.0,105750.0,177740.0
BAL,Long Term Debt,2100000.0,1500000.0,1500000.0,,,
BAL,Total Long Term Debt,2100000.0,1500000.0,1500000.0,0.0,0.0,0.0
BAL,Total Debt,2100000.0,1500000.0,1500000.0,0.0,0.0,0.0
BAL,"Other Liabilities, Total",46420200.0,49824630.0,54734770.0,35930250.0,44315920.0,
BAL,Total Liabilities,49714550.0,53095000.0,56602720.0,36061990.0,44421670.0,177740.0
BAL,"Common Stock, Total",345313660.0,345000860.0,345000860.0,345000860.0,296884530.0,
BAL,Additional Paid-In Capital,0.0,0.0,0.0,0.0,7745080.0,
BAL,Retained Earnings (Accumulated Deficit),-49332720.0,-51786980.0,-54809900.0,-35360270.0,-2746420.0,-10950.0
BAL,Total Equity,295980940.0,293213880.0,290190970.0,309640590.0,301883190.0,-10950.0
BAL,Total Liabilities & Shareholders' Equity,345695490.0,346308880.0,346793690.0,345702590.0,346304850.0,166790.0
BAL,Total Common Shares Outstanding,43125000.0,43125000.0,43125000.0,43125000.0,43125000.0,37500000.0
BAL,"Tangible Book Value per Share, Common Eq",6863330.0,6799160.0,6729070.0,7180070.0,7000190.0,-290.0
BAL,Notes Payable/Short Term Debt,,0.0,0.0,0.0,0.0,0.0
BAL,"Other Current Assets, Total",,,0.0,0.0,,166790.0
INC,"Other Operating Expenses, Total",4397530.0,4003480.0,9133010.0,645120.0,201570.0,10950.0
INC,Total Operating Expense,4397530.0,4003480.0,9133010.0,645120.0,201570.0,10950.0
INC,Operating Income,-4397530.0,-4003480.0,-9133010.0,-645120.0,-201570.0,-10950.0
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",2921250.0,2668060.0,-1611810.0,3346870.0,-652610.0,
INC,"Other, Net",4243330.0,4358330.0,-3682870.0,5055670.0,-697330.0,
INC,Net Income Before Taxes,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Net Income After Taxes,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Net Income Before Extra. Items,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Net Income,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Income Available to Com Excl ExtraOrd,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Income Available to Com Incl ExtraOrd,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Diluted Net Income,2767060.0,3022920.0,-14427690.0,7757410.0,-1551510.0,-10950.0
INC,Diluted Weighted Average Shares,43125000.0,43125000.0,35727190.0,43125000.0,29843470.0,37500000.0
INC,Diluted EPS Excluding ExtraOrd Items,64160.0,70100.0,-403830.0,179880.0,-51990.0,-290.0
INC,Diluted Normalized EPS,64160.0,70100.0,-403830.0,179880.0,-51990.0,-290.0
INC,Total Revenue,,0.0,0.0,0.0,0.0,0.0
INC,DPS - Common Stock Primary Issue,,0.0,,0.0,0.0,0.0
CAS,Net Income/Starting Line,5789970.0,3022920.0,-14427690.0,5021940.0,-2735470.0,-10950.0
CAS,Non-Cash Items,-8575320.0,-4913760.0,13481920.0,-5985450.0,2416830.0,
CAS,Changes in Working Capital,781300.0,1476060.0,130080.0,-204800.0,-332870.0,10950.0
CAS,Cash from Operating Activities,-2004040.0,-414790.0,-815680.0,-1168310.0,-651510.0,0.0
CAS,"Other Investing Cash Flow Items, Total",0.0,0.0,-345000000.0,-345000000.0,-345000000.0,
CAS,Cash from Investing Activities,0.0,0.0,-345000000.0,-345000000.0,-345000000.0,
CAS,Financing Cash Flow Items,0.0,0.0,336894450.0,337578370.0,337578370.0,
CAS,"Issuance (Retirement) of Stock, Net",0.0,0.0,8925000.0,8925000.0,8925000.0,
CAS,"Issuance (Retirement) of Debt, Net",600000.0,,1500000.0,,,
CAS,Cash from Financing Activities,600000.0,0.0,347319450.0,346503370.0,346503370.0,
CAS,Net Change in Cash,-1404040.0,-414790.0,1503770.0,335060.0,851860.0,0.0
