Date,Open,High,Low,Close,Volume
2024-01-26 09:30:00,194.26,194.28,193.85,193.99,791677
2024-01-26 09:31:00,193.98,194.43,193.82,194.34,189391
2024-01-26 09:32:00,194.3,194.55,194.1,194.44,170194
2024-01-26 09:33:00,194.46,194.48,194.27,194.29,105562
2024-01-26 09:34:00,194.34,194.42,194.19,194.22,91470
2024-01-26 09:35:00,194.23,194.27,194.02,194.06,104425
2024-01-26 09:36:00,194.06,194.08,193.92,193.96,83581
2024-01-26 09:37:00,193.94,194.03,193.79,193.91,118605
2024-01-26 09:38:00,193.91,194.05,193.87,193.94,91432
2024-01-26 09:39:00,193.94,194.17,193.91,194.01,100819
2024-01-26 09:40:00,194.01,194.12,193.91,193.96,82421
2024-01-26 09:41:00,193.95,194.11,193.89,194.08,92515
2024-01-26 09:42:00,194.07,194.11,193.98,194.04,77453
2024-01-26 09:43:00,194.04,194.05,193.88,193.88,115619
2024-01-26 09:44:00,193.89,194.04,193.88,194.04,89260
2024-01-26 09:45:00,194.04,194.05,193.79,193.82,78612
2024-01-26 09:46:00,193.81,193.91,193.75,193.87,91151
2024-01-26 09:47:00,193.87,193.92,193.77,193.92,78512
2024-01-26 09:48:00,193.91,194.0,193.91,193.94,85157
2024-01-26 09:49:00,193.93,194.1,193.9,194.06,96315
2024-01-26 09:50:00,194.07,194.2,194.06,194.17,139690
2024-01-26 09:51:00,194.17,194.44,194.09,194.18,129227
2024-01-26 09:52:00,194.19,194.27,194.12,194.16,95098
2024-01-26 09:53:00,194.17,194.19,194.05,194.11,86993
2024-01-26 09:54:00,194.1,194.25,194.05,194.23,105738
2024-01-26 09:55:00,194.23,194.24,194.11,194.21,90644
2024-01-26 09:56:00,194.21,194.4,194.18,194.31,137188
2024-01-26 09:57:00,194.31,194.42,194.27,194.37,108067
2024-01-26 09:58:00,194.37,194.59,194.34,194.57,169885
2024-01-26 09:59:00,194.57,194.65,194.54,194.62,153298
2024-01-26 10:00:00,194.64,194.64,194.38,194.52,202238
2024-01-26 10:01:00,194.53,194.68,194.47,194.5,109041
2024-01-26 10:02:00,194.5,194.58,194.38,194.57,79849
2024-01-26 10:03:00,194.56,194.76,194.55,194.69,134700
2024-01-26 10:04:00,194.69,194.74,194.6,194.65,77450
2024-01-26 10:05:00,194.63,194.64,194.43,194.43,88686
2024-01-26 10:06:00,194.41,194.52,194.28,194.49,86941
2024-01-26 10:07:00,194.48,194.63,194.38,194.58,96157
2024-01-26 10:08:00,194.59,194.64,194.41,194.44,62006
2024-01-26 10:09:00,194.44,194.57,194.33,194.5,74628
2024-01-26 10:10:00,194.5,194.55,194.38,194.46,44953
2024-01-26 10:11:00,194.44,194.48,194.37,194.45,32626
2024-01-26 10:12:00,194.46,194.53,194.41,194.52,60580
2024-01-26 10:13:00,194.53,194.55,194.4,194.5,60450
2024-01-26 10:14:00,194.5,194.57,194.46,194.51,71148
2024-01-26 10:15:00,194.5,194.52,194.36,194.4,46893
2024-01-26 10:16:00,194.41,194.41,194.23,194.31,74690
2024-01-26 10:17:00,194.3,194.34,194.19,194.26,71313
2024-01-26 10:18:00,194.27,194.34,194.23,194.28,61928
2024-01-26 10:19:00,194.28,194.4,194.27,194.37,50397
2024-01-26 10:20:00,194.37,194.47,194.33,194.43,50727
2024-01-26 10:21:00,194.43,194.58,194.42,194.57,89101
2024-01-26 10:22:00,194.57,194.61,194.51,194.52,76092
2024-01-26 10:23:00,194.52,194.52,194.4,194.5,61701
2024-01-26 10:24:00,194.5,194.64,194.49,194.58,84358
2024-01-26 10:25:00,194.59,194.65,194.56,194.59,64843
2024-01-26 10:26:00,194.58,194.6,194.47,194.5,52704
2024-01-26 10:27:00,194.51,194.56,194.45,194.54,73858
2024-01-26 10:28:00,194.55,194.68,194.54,194.66,71658
2024-01-26 10:29:00,194.65,194.7,194.63,194.69,77054
2024-01-26 10:30:00,194.69,194.75,194.6,194.62,94937
2024-01-26 10:31:00,194.63,194.63,194.55,194.58,55927
2024-01-26 10:32:00,194.58,194.72,194.57,194.69,50256
2024-01-26 10:33:00,194.68,194.74,194.63,194.66,70747
2024-01-26 10:34:00,194.66,194.68,194.52,194.55,75708
2024-01-26 10:35:00,194.55,194.61,194.47,194.56,60535
2024-01-26 10:36:00,194.57,194.6,194.45,194.53,90194
2024-01-26 10:37:00,194.53,194.57,194.48,194.49,68736
2024-01-26 10:38:00,194.49,194.58,194.47,194.53,76807
2024-01-26 10:39:00,194.53,194.54,194.46,194.47,41423
2024-01-26 10:40:00,194.47,194.49,194.42,194.43,44804
2024-01-26 10:41:00,194.43,194.49,194.41,194.43,55399
2024-01-26 10:42:00,194.43,194.49,194.41,194.45,39313
2024-01-26 10:43:00,194.45,194.55,194.42,194.46,76695
2024-01-26 10:44:00,194.47,194.5,194.42,194.47,49164
2024-01-26 10:45:00,194.47,194.53,194.42,194.52,67061
2024-01-26 10:46:00,194.52,194.55,194.46,194.53,71859
