Date,Open,High,Low,Close,Volume
2024-01-26 09:30:00,158.43,159.19,158.4,158.9,1001829
2024-01-26 09:31:00,158.96,158.96,158.53,158.62,189339
2024-01-26 09:32:00,158.62,159.01,158.6,158.78,222051
2024-01-26 09:33:00,158.79,159.56,158.76,159.56,311814
2024-01-26 09:34:00,159.54,159.61,159.13,159.24,305941
2024-01-26 09:35:00,159.28,159.3,158.82,158.96,222055
2024-01-26 09:36:00,158.96,159.23,158.96,159.03,135883
2024-01-26 09:37:00,159.04,159.1,158.88,159.03,99515
2024-01-26 09:38:00,159.02,159.33,158.95,159.27,142883
2024-01-26 09:39:00,159.31,159.32,158.95,158.99,110014
2024-01-26 09:40:00,158.99,159.01,158.64,158.65,167462
2024-01-26 09:41:00,158.64,158.91,158.63,158.9,135356
2024-01-26 09:42:00,158.89,159.05,158.85,158.86,92051
2024-01-26 09:43:00,158.86,159.07,158.75,159.0,183726
2024-01-26 09:44:00,158.99,159.15,158.78,159.09,137459
2024-01-26 09:45:00,159.11,159.26,158.56,158.57,245778
2024-01-26 09:46:00,158.57,159.17,158.52,159.17,148582
2024-01-26 09:47:00,159.17,159.17,158.79,158.8,86819
2024-01-26 09:48:00,158.8,158.95,158.79,158.8,47676
2024-01-26 09:49:00,158.82,158.86,158.64,158.74,104237
2024-01-26 09:50:00,158.76,158.92,158.72,158.77,81401
2024-01-26 09:51:00,158.77,158.86,158.67,158.71,75793
2024-01-26 09:52:00,158.7,158.74,158.5,158.54,145047
2024-01-26 09:53:00,158.55,158.6,158.37,158.37,119843
2024-01-26 09:54:00,158.36,158.55,158.36,158.54,71445
2024-01-26 09:55:00,158.54,158.54,158.35,158.39,73977
2024-01-26 09:56:00,158.4,158.53,158.36,158.46,64885
2024-01-26 09:57:00,158.46,158.59,158.37,158.55,85568
2024-01-26 09:58:00,158.54,158.65,158.51,158.51,71241
2024-01-26 09:59:00,158.52,158.72,158.51,158.6,99461
2024-01-26 10:00:00,158.58,158.61,158.44,158.53,76891
2024-01-26 10:01:00,158.52,158.63,158.47,158.59,54793
2024-01-26 10:02:00,158.6,158.62,158.44,158.51,47622
2024-01-26 10:03:00,158.52,158.63,158.48,158.48,51502
2024-01-26 10:04:00,158.49,158.61,158.46,158.52,57838
2024-01-26 10:05:00,158.5,158.52,158.32,158.32,121856
2024-01-26 10:06:00,158.32,158.34,158.05,158.14,136593
2024-01-26 10:07:00,158.15,158.28,158.08,158.24,80758
2024-01-26 10:08:00,158.26,158.39,158.25,158.3,71215
2024-01-26 10:09:00,158.3,158.31,158.17,158.17,59522
2024-01-26 10:10:00,158.18,158.27,158.11,158.17,70942
2024-01-26 10:11:00,158.17,158.18,158.05,158.1,67063
2024-01-26 10:12:00,158.11,158.2,158.07,158.19,87415
2024-01-26 10:13:00,158.2,158.2,158.03,158.11,79658
2024-01-26 10:14:00,158.12,158.25,158.09,158.25,89377
2024-01-26 10:15:00,158.25,158.26,158.13,158.17,48918
2024-01-26 10:16:00,158.17,158.17,158.04,158.11,49421
2024-01-26 10:17:00,158.12,158.12,157.91,158.0,163864
2024-01-26 10:18:00,158.01,158.23,158.0,158.13,92778
2024-01-26 10:19:00,158.12,158.3,158.06,158.08,108368
2024-01-26 10:20:00,158.08,158.15,157.95,157.99,97400
2024-01-26 10:21:00,157.99,158.37,157.99,158.34,106234
2024-01-26 10:22:00,158.35,158.39,158.27,158.28,104129
2024-01-26 10:23:00,158.26,158.28,158.13,158.24,72237
2024-01-26 10:24:00,158.23,158.37,158.2,158.34,77325
2024-01-26 10:25:00,158.33,158.57,158.33,158.54,144829
2024-01-26 10:26:00,158.55,158.6,158.41,158.55,116482
2024-01-26 10:27:00,158.56,158.57,158.41,158.5,80672
2024-01-26 10:28:00,158.51,158.57,158.47,158.48,41505
2024-01-26 10:29:00,158.48,158.53,158.41,158.47,58212
2024-01-26 10:30:00,158.46,158.55,158.44,158.52,66367
2024-01-26 10:31:00,158.52,158.57,158.48,158.57,74687
2024-01-26 10:32:00,158.56,158.65,158.55,158.65,102906
2024-01-26 10:33:00,158.64,158.68,158.59,158.61,58200
2024-01-26 10:34:00,158.61,158.63,158.51,158.53,82473
2024-01-26 10:35:00,158.54,158.58,158.5,158.57,50794
2024-01-26 10:36:00,158.58,158.66,158.55,158.62,48181
2024-01-26 10:37:00,158.62,158.79,158.58,158.78,89418
2024-01-26 10:38:00,158.78,158.89,158.78,158.85,113245
2024-01-26 10:39:00,158.84,158.84,158.59,158.59,69653
2024-01-26 10:40:00,158.59,158.75,158.59,158.7,63485
2024-01-26 10:41:00,158.7,158.82,158.7,158.82,51954
2024-01-26 10:42:00,158.83,158.84,158.74,158.83,42085
2024-01-26 10:43:00,158.84,158.95,158.81,158.9,98360
2024-01-26 10:44:00,158.91,158.94,158.87,158.9,61066
2024-01-26 10:45:00,158.89,158.93,158.83,158.83,82678
