Date,Open,High,Low,Close,Volume
2023-06-13 09:30:00,8.2,8.2,8.05,8.15,60267
2023-06-13 09:31:00,8.12,8.13,8.08,8.08,3450
2023-06-13 09:32:00,8.07,8.15,8.07,8.13,4180
2023-06-13 09:33:00,8.13,8.15,8.1,8.13,1313
2023-06-13 09:34:00,8.14,8.18,8.14,8.18,7283
2023-06-13 09:35:00,8.18,8.2,8.13,8.13,8696
2023-06-13 09:36:00,8.13,8.14,8.07,8.1,4470
2023-06-13 09:37:00,8.09,8.16,8.08,8.13,2306
2023-06-13 09:38:00,8.15,8.19,8.15,8.19,1698
2023-06-13 09:39:00,8.21,8.24,8.18,8.18,5598
2023-06-13 09:40:00,8.19,8.21,8.17,8.21,3702
2023-06-13 09:41:00,8.22,8.24,8.21,8.21,4279
2023-06-13 09:42:00,8.22,8.25,8.22,8.24,4581
2023-06-13 09:43:00,8.24,8.24,8.2,8.21,4390
2023-06-13 09:44:00,8.23,8.25,8.22,8.24,2810
2023-06-13 09:45:00,8.21,8.22,8.21,8.21,1984
2023-06-13 09:46:00,8.24,8.27,8.24,8.25,4012
2023-06-13 09:47:00,8.22,8.22,8.2,8.2,3799
2023-06-13 09:48:00,8.19,8.19,8.13,8.15,19944
2023-06-13 09:49:00,8.14,8.21,8.12,8.21,3535
2023-06-13 09:50:00,8.19,8.19,8.17,8.17,2600
2023-06-13 09:51:00,8.2,8.22,8.19,8.21,9662
2023-06-13 09:52:00,8.25,8.25,8.2,8.22,9609
2023-06-13 09:53:00,8.2,8.21,8.2,8.21,539
2023-06-13 09:54:00,8.2,8.24,8.2,8.24,1096
2023-06-13 09:55:00,8.24,8.24,8.23,8.23,1145
2023-06-13 09:56:00,8.23,8.25,8.22,8.22,4275
2023-06-13 09:57:00,8.22,8.24,8.22,8.24,925
2023-06-13 09:58:00,8.23,8.25,8.23,8.24,600
2023-06-13 09:59:00,8.25,8.28,8.25,8.28,2471
2023-06-13 10:00:00,8.28,8.28,8.26,8.28,2872
2023-06-13 10:01:00,8.29,8.34,8.29,8.32,5192
2023-06-13 10:02:00,8.32,8.35,8.32,8.32,5242
2023-06-13 10:03:00,8.33,8.34,8.33,8.33,1300
2023-06-13 10:04:00,8.35,8.37,8.34,8.37,4445
2023-06-13 10:05:00,8.38,8.44,8.38,8.44,8208
2023-06-13 10:06:00,8.42,8.43,8.42,8.43,1599
2023-06-13 10:07:00,8.44,8.45,8.43,8.43,4423
2023-06-13 10:08:00,8.43,8.45,8.43,8.44,1600
2023-06-13 10:09:00,8.45,8.45,8.43,8.43,2564
2023-06-13 10:10:00,8.42,8.43,8.39,8.43,4195
2023-06-13 10:11:00,8.44,8.45,8.43,8.45,1224
2023-06-13 10:12:00,8.46,8.46,8.43,8.43,1105
2023-06-13 10:13:00,8.41,8.41,8.39,8.4,7243
2023-06-13 10:14:00,8.4,8.43,8.39,8.43,6242
2023-06-13 10:15:00,8.43,8.43,8.4,8.4,3857
2023-06-13 10:16:00,8.38,8.39,8.35,8.39,8472
2023-06-13 10:17:00,8.36,8.37,8.34,8.37,2320
2023-06-13 10:18:00,8.38,8.38,8.36,8.37,1308
2023-06-13 10:19:00,8.36,8.37,8.35,8.37,653
2023-06-13 10:20:00,8.38,8.38,8.36,8.37,12633
2023-06-13 10:21:00,8.38,8.42,8.37,8.42,4262
2023-06-13 10:22:00,8.42,8.43,8.4,8.42,4430
2023-06-13 10:23:00,8.42,8.43,8.42,8.43,538
2023-06-13 10:24:00,8.43,8.44,8.42,8.44,200
2023-06-13 10:25:00,8.44,8.44,8.44,8.44,0
2023-06-13 10:26:00,8.43,8.47,8.43,8.47,3209
2023-06-13 10:27:00,8.49,8.49,8.46,8.47,3607
2023-06-13 10:28:00,8.47,8.51,8.47,8.5,17941
2023-06-13 10:29:00,8.51,8.52,8.49,8.51,5889
2023-06-13 10:30:00,8.52,8.52,8.49,8.51,4666
2023-06-13 10:31:00,8.5,8.52,8.5,8.52,6899
2023-06-13 10:32:00,8.51,8.53,8.51,8.53,2451
2023-06-13 10:33:00,8.54,8.55,8.53,8.55,1350
2023-06-13 10:34:00,8.54,8.57,8.53,8.53,11343
2023-06-13 10:35:00,8.52,8.53,8.51,8.52,2033
2023-06-13 10:36:00,8.52,8.54,8.51,8.54,7801
2023-06-13 10:37:00,8.53,8.53,8.5,8.51,2503
