Date,Open,High,Low,Close,Volume
2023-04-13 09:30:00,6.34,6.34,6.33,6.33,2670
2023-04-13 09:31:00,6.36,6.36,6.3,6.34,661
2023-04-13 09:32:00,6.38,6.39,6.37,6.38,788
2023-04-13 09:33:00,6.38,6.42,6.37,6.4,6148
2023-04-13 09:34:00,6.42,6.42,6.4,6.41,1100
2023-04-13 09:35:00,6.41,6.41,6.41,6.41,0
2023-04-13 09:36:00,6.41,6.44,6.41,6.42,700
2023-04-13 09:37:00,6.42,6.42,6.41,6.42,200
2023-04-13 09:38:00,6.42,6.44,6.41,6.42,1497
2023-04-13 09:39:00,6.42,6.42,6.42,6.42,0
2023-04-13 09:40:00,6.46,6.46,6.45,6.46,100
2023-04-13 09:41:00,6.46,6.46,6.46,6.46,0
2023-04-13 09:42:00,6.46,6.46,6.45,6.45,1874
2023-04-13 09:43:00,6.46,6.46,6.46,6.46,100
2023-04-13 09:44:00,6.46,6.46,6.46,6.46,0
2023-04-13 09:45:00,6.46,6.47,6.46,6.47,1100
2023-04-13 09:46:00,6.47,6.47,6.47,6.47,200
2023-04-13 09:47:00,6.47,6.47,6.47,6.47,0
2023-04-13 09:48:00,6.46,6.46,6.45,6.45,1000
2023-04-13 09:49:00,6.43,6.44,6.43,6.44,200
2023-04-13 09:50:00,6.46,6.47,6.46,6.47,2502
2023-04-13 09:51:00,6.46,6.46,6.46,6.46,245
2023-04-13 09:52:00,6.45,6.46,6.45,6.45,333
2023-04-13 09:53:00,6.45,6.46,6.45,6.46,200
2023-04-13 09:54:00,6.46,6.5,6.46,6.5,1612
2023-04-13 09:55:00,6.5,6.5,6.5,6.5,400
2023-04-13 09:56:00,6.5,6.5,6.5,6.5,0
2023-04-13 09:57:00,6.5,6.5,6.5,6.5,0
2023-04-13 09:58:00,6.5,6.5,6.5,6.5,0
2023-04-13 09:59:00,6.53,6.53,6.53,6.53,100
2023-04-13 10:00:00,6.55,6.57,6.55,6.56,1101
2023-04-13 10:01:00,6.55,6.55,6.55,6.55,5700
2023-04-13 10:02:00,6.55,6.55,6.53,6.53,1963
2023-04-13 10:03:00,6.54,6.54,6.52,6.52,200
2023-04-13 10:04:00,6.52,6.52,6.52,6.52,0
2023-04-13 10:05:00,6.53,6.55,6.53,6.55,3609
2023-04-13 10:06:00,6.55,6.55,6.55,6.55,0
2023-04-13 10:07:00,6.55,6.55,6.55,6.55,0
2023-04-13 10:08:00,6.56,6.56,6.55,6.56,1300
2023-04-13 10:09:00,6.56,6.56,6.55,6.56,1349
2023-04-13 10:10:00,6.56,6.56,6.54,6.54,2200
2023-04-13 10:11:00,6.57,6.57,6.55,6.55,2040
2023-04-13 10:12:00,6.56,6.56,6.56,6.56,1000
2023-04-13 10:13:00,6.56,6.56,6.56,6.56,0
2023-04-13 10:14:00,6.56,6.56,6.56,6.56,1000
2023-04-13 10:15:00,6.56,6.56,6.56,6.56,1800
2023-04-13 10:16:00,6.56,6.56,6.56,6.56,0
2023-04-13 10:17:00,6.56,6.56,6.56,6.56,939
2023-04-13 10:18:00,6.56,6.56,6.56,6.56,1820
2023-04-13 10:19:00,6.56,6.57,6.55,6.57,7129
2023-04-13 10:20:00,6.57,6.57,6.56,6.57,900
2023-04-13 10:21:00,6.57,6.57,6.55,6.56,1203
2023-04-13 10:22:00,6.55,6.56,6.55,6.56,1316
2023-04-13 10:23:00,6.55,6.55,6.55,6.55,1422
2023-04-13 10:24:00,6.56,6.56,6.56,6.56,100
2023-04-13 10:25:00,6.56,6.56,6.55,6.55,1800
2023-04-13 10:26:00,6.56,6.56,6.55,6.56,2298
2023-04-13 10:27:00,6.56,6.56,6.55,6.56,2613
2023-04-13 10:28:00,6.56,6.56,6.56,6.56,0
2023-04-13 10:29:00,6.56,6.56,6.55,6.56,100
2023-04-13 10:30:00,6.56,6.56,6.55,6.56,2290
2023-04-13 10:31:00,6.56,6.58,6.55,6.57,11263
2023-04-13 10:32:00,6.57,6.57,6.55,6.56,873
2023-04-13 10:33:00,6.56,6.57,6.55,6.57,2000
2023-04-13 10:34:00,6.57,6.57,6.56,6.57,807
2023-04-13 10:35:00,6.57,6.57,6.56,6.57,2786
2023-04-13 10:36:00,6.57,6.57,6.56,6.57,1096
2023-04-13 10:37:00,6.57,6.57,6.56,6.57,700
2023-04-13 10:38:00,6.57,6.57,6.56,6.57,500
2023-04-13 10:39:00,6.57,6.59,6.56,6.58,12482
