Date,Open,High,Low,Close,Volume
2023-11-13 09:30:00,4.54,4.54,4.45,4.45,7016
2023-11-13 09:31:00,4.41,4.41,4.39,4.39,200
2023-11-13 09:32:00,4.39,4.39,4.39,4.39,110
2023-11-13 09:33:00,4.39,4.39,4.39,4.39,0
2023-11-13 09:34:00,4.37,4.38,4.37,4.38,653
2023-11-13 09:35:00,4.36,4.36,4.36,4.36,200
2023-11-13 09:36:00,4.36,4.39,4.33,4.33,1224
2023-11-13 09:37:00,4.33,4.33,4.33,4.33,300
2023-11-13 09:38:00,4.38,4.39,4.37,4.39,2772
2023-11-13 09:39:00,4.4,4.4,4.38,4.38,500
2023-11-13 09:40:00,4.37,4.38,4.33,4.33,1678
2023-11-13 09:41:00,4.33,4.33,4.33,4.33,0
2023-11-13 09:42:00,4.33,4.37,4.33,4.33,975
2023-11-13 09:43:00,4.33,4.33,4.29,4.29,1916
2023-11-13 09:44:00,4.29,4.29,4.29,4.29,300
2023-11-13 09:45:00,4.29,4.3,4.27,4.29,700
2023-11-13 09:46:00,4.26,4.31,4.26,4.31,250
2023-11-13 09:47:00,4.27,4.27,4.25,4.26,600
2023-11-13 09:48:00,4.26,4.26,4.26,4.26,0
2023-11-13 09:49:00,4.26,4.26,4.26,4.26,0
2023-11-13 09:50:00,4.31,4.32,4.3,4.32,700
2023-11-13 09:51:00,4.32,4.33,4.32,4.33,1100
2023-11-13 09:52:00,4.31,4.31,4.31,4.31,100
2023-11-13 09:53:00,4.31,4.31,4.29,4.3,1200
2023-11-13 09:54:00,4.3,4.3,4.3,4.3,0
2023-11-13 09:55:00,4.27,4.28,4.27,4.27,2472
2023-11-13 09:56:00,4.27,4.27,4.21,4.21,6783
2023-11-13 09:57:00,4.21,4.21,4.13,4.16,33848
2023-11-13 09:58:00,4.18,4.18,4.16,4.16,2172
2023-11-13 09:59:00,4.16,4.2,4.13,4.13,1100
2023-11-13 10:00:00,4.12,4.15,4.12,4.12,3212
2023-11-13 10:01:00,4.16,4.16,4.16,4.16,250
2023-11-13 10:02:00,4.13,4.13,4.12,4.12,500
2023-11-13 10:03:00,4.16,4.16,4.07,4.07,1823
2023-11-13 10:04:00,4.07,4.09,4.05,4.06,2160
2023-11-13 10:05:00,4.06,4.06,4.05,4.06,1400
2023-11-13 10:06:00,4.06,4.06,4.05,4.06,1800
2023-11-13 10:07:00,4.04,4.04,4.02,4.03,4358
2023-11-13 10:08:00,4.02,4.02,4.01,4.01,668
2023-11-13 10:09:00,4.0,4.03,4.0,4.01,5409
2023-11-13 10:10:00,4.0,4.02,4.0,4.02,2600
2023-11-13 10:11:00,4.02,4.03,4.01,4.02,1800
2023-11-13 10:12:00,4.0,4.01,4.0,4.0,100
2023-11-13 10:13:00,4.0,4.0,4.0,4.0,1960
2023-11-13 10:14:00,3.98,3.99,3.96,3.99,5388
2023-11-13 10:15:00,3.99,3.99,3.98,3.98,800
2023-11-13 10:16:00,3.97,4.0,3.96,4.0,4659
2023-11-13 10:17:00,4.01,4.01,4.0,4.01,1048
2023-11-13 10:18:00,4.01,4.02,3.99,4.02,1550
2023-11-13 10:19:00,4.03,4.03,4.02,4.03,100
2023-11-13 10:20:00,4.02,4.02,4.02,4.02,300
2023-11-13 10:21:00,4.01,4.02,4.0,4.01,850
2023-11-13 10:22:00,4.01,4.01,4.01,4.01,0
2023-11-13 10:23:00,4.01,4.01,4.0,4.0,2309
2023-11-13 10:24:00,4.0,4.01,4.0,4.0,1432
2023-11-13 10:25:00,4.0,4.01,4.0,4.01,2010
2023-11-13 10:26:00,4.0,4.0,3.99,3.99,6172
2023-11-13 10:27:00,3.98,3.98,3.98,3.98,452
2023-11-13 10:28:00,3.98,3.98,3.98,3.98,200
2023-11-13 10:29:00,3.97,3.97,3.94,3.94,1073
2023-11-13 10:30:00,3.95,3.95,3.93,3.93,2316
2023-11-13 10:31:00,3.94,3.94,3.93,3.94,360
2023-11-13 10:32:00,3.94,3.94,3.93,3.93,2725
2023-11-13 10:33:00,3.94,3.94,3.92,3.94,4935
2023-11-13 10:34:00,3.94,3.99,3.94,3.99,12059
2023-11-13 10:35:00,4.0,4.01,3.99,4.0,4019
2023-11-13 10:36:00,4.01,4.01,4.01,4.01,100
2023-11-13 10:37:00,4.02,4.02,4.01,4.02,500
2023-11-13 10:38:00,4.01,4.01,4.01,4.01,1566
2023-11-13 10:39:00,4.0,4.0,3.98,3.99,6600
2023-11-13 10:40:00,3.98,3.99,3.96,3.96,682
2023-11-13 10:41:00,3.96,3.96,3.95,3.95,500
2023-11-13 10:42:00,3.95,3.96,3.95,3.96,1500
2023-11-13 10:43:00,3.96,3.96,3.96,3.96,100
2023-11-13 10:44:00,3.96,3.96,3.93,3.94,1578
2023-11-13 10:45:00,3.93,3.93,3.91,3.91,811
2023-11-13 10:46:00,3.91,3.91,3.9,3.9,1230
2023-11-13 10:47:00,3.9,3.9,3.9,3.9,0
2023-11-13 10:48:00,3.9,3.9,3.89,3.89,830
2023-11-13 10:49:00,3.89,3.89,3.89,3.89,129
2023-11-13 10:50:00,3.88,3.88,3.85,3.87,6520
2023-11-13 10:51:00,3.88,3.88,3.88,3.88,100
2023-11-13 10:52:00,3.88,3.9,3.88,3.89,2000
2023-11-13 10:53:00,3.9,3.9,3.9,3.9,400
2023-11-13 10:54:00,3.91,3.92,3.91,3.92,600
2023-11-13 10:55:00,3.92,3.92,3.92,3.92,0
2023-11-13 10:56:00,3.9,3.9,3.9,3.9,100
2023-11-13 10:57:00,3.9,3.9,3.9,3.9,500
2023-11-13 10:58:00,3.9,3.9,3.88,3.89,700
2023-11-13 10:59:00,3.89,3.89,3.88,3.89,220
2023-11-13 11:00:00,3.89,3.9,3.88,3.89,3716
2023-11-13 11:01:00,3.9,3.9,3.89,3.9,900
2023-11-13 11:02:00,3.9,3.91,3.9,3.91,732
2023-11-13 11:03:00,3.92,3.92,3.91,3.92,1900
2023-11-13 11:04:00,3.91,3.91,3.9,3.9,789
2023-11-13 11:05:00,3.89,3.89,3.88,3.89,200
2023-11-13 11:06:00,3.89,3.89,3.88,3.89,763
2023-11-13 11:07:00,3.89,3.89,3.88,3.89,100
2023-11-13 11:08:00,3.89,3.89,3.89,3.89,0
2023-11-13 11:09:00,3.88,3.88,3.87,3.88,857
2023-11-13 11:10:00,3.87,3.87,3.84,3.84,2300
2023-11-13 11:11:00,3.85,3.85,3.83,3.83,2914
2023-11-13 11:12:00,3.83,3.83,3.8,3.8,600
2023-11-13 11:13:00,3.81,3.85,3.8,3.85,20984
2023-11-13 11:14:00,3.83,3.84,3.83,3.83,1830
2023-11-13 11:15:00,3.83,3.84,3.83,3.83,2396
2023-11-13 11:16:00,3.84,3.84,3.8,3.81,34189
2023-11-13 11:17:00,3.81,3.81,3.78,3.79,17544
2023-11-13 11:18:00,3.78,3.78,3.78,3.78,1463
2023-11-13 11:19:00,3.77,3.78,3.76,3.77,2502
2023-11-13 11:20:00,3.77,3.77,3.76,3.76,4840
2023-11-13 11:21:00,3.76,3.76,3.73,3.74,829
2023-11-13 11:22:00,3.73,3.77,3.73,3.77,24599
2023-11-13 11:23:00,3.77,3.77,3.72,3.72,7397
2023-11-13 11:24:00,3.72,3.72,3.72,3.72,0
2023-11-13 11:25:00,3.74,3.74,3.74,3.74,534
2023-11-13 11:26:00,3.75,3.75,3.74,3.75,300
2023-11-13 11:27:00,3.75,3.77,3.74,3.76,891
2023-11-13 11:28:00,3.77,3.78,3.76,3.78,2106
2023-11-13 11:29:00,3.77,3.79,3.77,3.79,1167
2023-11-13 11:30:00,3.78,3.83,3.78,3.83,3560
2023-11-13 11:31:00,3.85,3.85,3.83,3.85,3785
2023-11-13 11:32:00,3.85,3.89,3.84,3.89,1700
2023-11-13 11:33:00,3.9,3.9,3.9,3.9,1000
2023-11-13 11:34:00,3.92,3.93,3.91,3.93,3600
2023-11-13 11:35:00,3.94,3.94,3.91,3.91,1300
2023-11-13 11:36:00,3.93,3.93,3.91,3.91,2066
2023-11-13 11:37:00,3.9,3.9,3.9,3.9,200
2023-11-13 11:38:00,3.89,3.89,3.88,3.89,1778
2023-11-13 11:39:00,3.89,3.9,3.88,3.9,1527
2023-11-13 11:40:00,3.9,3.91,3.9,3.9,1166
2023-11-13 11:41:00,3.9,3.91,3.89,3.89,2500
2023-11-13 11:42:00,3.89,3.89,3.89,3.89,0
2023-11-13 11:43:00,3.9,3.9,3.89,3.9,400
2023-11-13 11:44:00,3.88,3.88,3.85,3.86,1200
2023-11-13 11:45:00,3.86,3.88,3.85,3.86,4770
2023-11-13 11:46:00,3.86,3.86,3.85,3.86,700
2023-11-13 11:47:00,3.85,3.86,3.85,3.86,3072
2023-11-13 11:48:00,3.86,3.86,3.86,3.86,0
2023-11-13 11:49:00,3.87,3.87,3.86,3.87,200
2023-11-13 11:50:00,3.86,3.87,3.86,3.87,200
2023-11-13 11:51:00,3.87,3.87,3.86,3.86,400
2023-11-13 11:52:00,3.85,3.85,3.83,3.84,4749
2023-11-13 11:53:00,3.84,3.85,3.83,3.84,3387
2023-11-13 11:54:00,3.84,3.84,3.84,3.84,500
2023-11-13 11:55:00,3.84,3.84,3.84,3.84,0
2023-11-13 11:56:00,3.83,3.84,3.83,3.84,500
2023-11-13 11:57:00,3.82,3.82,3.81,3.82,3765
2023-11-13 11:58:00,3.83,3.83,3.82,3.83,2900
2023-11-13 11:59:00,3.83,3.83,3.83,3.83,720
2023-11-13 12:00:00,3.83,3.83,3.82,3.83,3000
2023-11-13 12:01:00,3.82,3.82,3.81,3.81,1207
2023-11-13 12:02:00,3.81,3.82,3.8,3.8,6321
2023-11-13 12:03:00,3.81,3.81,3.8,3.8,1200
