Date,Open,High,Low,Close,Volume
2023-07-18 09:30:00,1.35,1.35,1.33,1.335,76461
2023-07-18 09:31:00,1.335,1.335,1.33,1.335,6200
2023-07-18 09:32:00,1.34,1.35,1.335,1.35,30454
2023-07-18 09:33:00,1.349,1.3499,1.34,1.3499,12672
2023-07-18 09:34:00,1.3499,1.37,1.3499,1.37,47744
2023-07-18 09:35:00,1.365,1.37,1.365,1.3689,4010
2023-07-18 09:36:00,1.3699,1.37,1.36,1.3699,9002
2023-07-18 09:37:00,1.3601,1.365,1.3601,1.3613,1200
2023-07-18 09:38:00,1.3676,1.3676,1.3676,1.3676,1500
2023-07-18 09:39:00,1.37,1.37,1.3612,1.3612,8200
2023-07-18 09:40:00,1.365,1.375,1.36,1.3701,110076
2023-07-18 09:41:00,1.375,1.3787,1.37,1.375,10060
2023-07-18 09:42:00,1.38,1.38,1.375,1.3799,3122
2023-07-18 09:43:00,1.3789,1.3996,1.3789,1.3987,84763
2023-07-18 09:44:00,1.395,1.4,1.39,1.395,42625
2023-07-18 09:45:00,1.4,1.4,1.395,1.4,4335
2023-07-18 09:46:00,1.3999,1.4,1.3901,1.3959,67729
2023-07-18 09:47:00,1.39,1.4,1.385,1.385,87662
2023-07-18 09:48:00,1.385,1.385,1.36,1.3685,88842
2023-07-18 09:49:00,1.365,1.3683,1.36,1.365,9710
2023-07-18 09:50:00,1.365,1.4,1.365,1.4,89754
2023-07-18 09:51:00,1.395,1.4,1.3914,1.3965,4974
2023-07-18 09:52:00,1.395,1.4,1.39,1.3995,12163
2023-07-18 09:53:00,1.3991,1.42,1.3991,1.415,65244
2023-07-18 09:54:00,1.4199,1.42,1.405,1.41,40418
2023-07-18 09:55:00,1.41,1.42,1.41,1.415,32398
2023-07-18 09:56:00,1.41,1.42,1.4017,1.4017,37104
2023-07-18 09:57:00,1.405,1.405,1.405,1.405,2850
2023-07-18 09:58:00,1.405,1.415,1.405,1.41,41835
2023-07-18 09:59:00,1.41,1.415,1.405,1.405,15077
2023-07-18 10:00:00,1.4094,1.4099,1.405,1.405,5200
2023-07-18 10:01:00,1.41,1.42,1.4,1.42,33923
2023-07-18 10:02:00,1.42,1.43,1.42,1.425,27854
2023-07-18 10:03:00,1.425,1.43,1.421,1.425,4800
2023-07-18 10:04:00,1.4213,1.4287,1.42,1.42,4305
2023-07-18 10:05:00,1.42,1.428,1.42,1.425,2750
2023-07-18 10:06:00,1.43,1.43,1.42,1.43,6400
2023-07-18 10:07:00,1.4299,1.43,1.425,1.43,7060
2023-07-18 10:08:00,1.4292,1.45,1.4292,1.45,89341
2023-07-18 10:09:00,1.445,1.455,1.44,1.44,109099
2023-07-18 10:10:00,1.4485,1.4485,1.44,1.4485,6700
2023-07-18 10:11:00,1.4485,1.46,1.44,1.4593,56407
2023-07-18 10:12:00,1.46,1.47,1.455,1.47,62605
2023-07-18 10:13:00,1.4683,1.47,1.455,1.455,114242
2023-07-18 10:14:00,1.455,1.47,1.4515,1.455,94853
2023-07-18 10:15:00,1.46,1.47,1.4595,1.4688,14265
2023-07-18 10:16:00,1.4601,1.47,1.4601,1.4695,9775
2023-07-18 10:17:00,1.4688,1.48,1.465,1.479,75347
2023-07-18 10:18:00,1.48,1.48,1.4722,1.4785,6799
2023-07-18 10:19:00,1.4701,1.48,1.4701,1.48,33500
2023-07-18 10:20:00,1.48,1.485,1.47,1.47,34530
2023-07-18 10:21:00,1.47,1.475,1.46,1.46,87017
2023-07-18 10:22:00,1.455,1.455,1.44,1.445,20658
2023-07-18 10:23:00,1.445,1.445,1.44,1.4408,27058
2023-07-18 10:24:00,1.4402,1.4408,1.43,1.44,60090
2023-07-18 10:25:00,1.44,1.44,1.435,1.4387,6850
2023-07-18 10:26:00,1.44,1.445,1.4301,1.445,56732
2023-07-18 10:27:00,1.445,1.445,1.435,1.44,29856
2023-07-18 10:28:00,1.44,1.44,1.405,1.405,321967
2023-07-18 10:29:00,1.405,1.41,1.382,1.382,109569
2023-07-18 10:30:00,1.385,1.42,1.385,1.4186,155457
2023-07-18 10:31:00,1.42,1.42,1.4113,1.42,3795
2023-07-18 10:32:00,1.415,1.42,1.4101,1.4101,34349
2023-07-18 10:33:00,1.415,1.4199,1.405,1.405,51180
2023-07-18 10:34:00,1.405,1.405,1.405,1.405,500
2023-07-18 10:35:00,1.405,1.41,1.405,1.405,12767
2023-07-18 10:36:00,1.405,1.41,1.405,1.41,7046
2023-07-18 10:37:00,1.405,1.4065,1.4001,1.405,4753
2023-07-18 10:38:00,1.405,1.4091,1.405,1.4091,697
2023-07-18 10:39:00,1.405,1.41,1.4,1.4,3718
2023-07-18 10:40:00,1.405,1.41,1.4,1.405,53344
2023-07-18 10:41:00,1.405,1.405,1.395,1.395,16655
2023-07-18 10:42:00,1.395,1.3988,1.395,1.3987,730
2023-07-18 10:43:00,1.395,1.4092,1.395,1.4092,33524
2023-07-18 10:44:00,1.4098,1.4099,1.405,1.405,382
2023-07-18 10:45:00,1.4056,1.4056,1.4056,1.4056,500
2023-07-18 10:46:00,1.4,1.405,1.4,1.405,1300
2023-07-18 10:47:00,1.4,1.41,1.4,1.405,7300
2023-07-18 10:48:00,1.4088,1.4088,1.4,1.4,2877
2023-07-18 10:49:00,1.4008,1.4008,1.395,1.395,22193
2023-07-18 10:50:00,1.3999,1.3999,1.395,1.395,900
2023-07-18 10:51:00,1.395,1.395,1.395,1.395,0
2023-07-18 10:52:00,1.395,1.3996,1.395,1.3996,700
2023-07-18 10:53:00,1.395,1.3987,1.39,1.3987,8200
2023-07-18 10:54:00,1.39,1.39,1.39,1.39,8500
2023-07-18 10:55:00,1.395,1.395,1.3801,1.3888,24231
2023-07-18 10:56:00,1.385,1.39,1.3818,1.389,33161
2023-07-18 10:57:00,1.385,1.39,1.375,1.39,89560
2023-07-18 10:58:00,1.3899,1.4,1.385,1.3985,37459
2023-07-18 10:59:00,1.395,1.41,1.3911,1.405,23826
2023-07-18 11:00:00,1.405,1.41,1.405,1.41,5578
2023-07-18 11:01:00,1.41,1.41,1.405,1.4099,5262
2023-07-18 11:02:00,1.405,1.405,1.405,1.405,1500
2023-07-18 11:03:00,1.405,1.41,1.405,1.41,3440
2023-07-18 11:04:00,1.41,1.41,1.3901,1.3905,32502
2023-07-18 11:05:00,1.395,1.395,1.3901,1.3901,700
2023-07-18 11:06:00,1.395,1.395,1.39,1.39,1294
2023-07-18 11:07:00,1.395,1.395,1.395,1.395,200
2023-07-18 11:08:00,1.39,1.39,1.39,1.39,600
2023-07-18 11:09:00,1.39,1.39,1.39,1.39,100
2023-07-18 11:10:00,1.39,1.39,1.38,1.3822,18935
2023-07-18 11:11:00,1.38,1.385,1.38,1.38,1800
2023-07-18 11:12:00,1.38,1.385,1.38,1.385,2100
2023-07-18 11:13:00,1.385,1.3863,1.38,1.38,4407
2023-07-18 11:14:00,1.38,1.385,1.38,1.385,2200
2023-07-18 11:15:00,1.38,1.385,1.38,1.385,6000
2023-07-18 11:16:00,1.38,1.385,1.38,1.385,400
2023-07-18 11:17:00,1.38,1.3899,1.38,1.38,2100
2023-07-18 11:18:00,1.38,1.385,1.38,1.385,5907
2023-07-18 11:19:00,1.38,1.395,1.38,1.395,88563
2023-07-18 11:20:00,1.3993,1.4,1.395,1.395,22300
2023-07-18 11:21:00,1.395,1.4,1.395,1.4,14303
2023-07-18 11:22:00,1.395,1.4,1.395,1.395,2745
2023-07-18 11:23:00,1.3974,1.4,1.39,1.395,4253
2023-07-18 11:24:00,1.4,1.42,1.4,1.42,59511
2023-07-18 11:25:00,1.42,1.42,1.415,1.4197,4039
2023-07-18 11:26:00,1.42,1.42,1.415,1.42,2700
2023-07-18 11:27:00,1.42,1.42,1.41,1.415,65026
2023-07-18 11:28:00,1.4128,1.42,1.41,1.415,15400
2023-07-18 11:29:00,1.4107,1.415,1.4107,1.4108,3325
2023-07-18 11:30:00,1.42,1.42,1.4122,1.4122,12800
2023-07-18 11:31:00,1.415,1.42,1.415,1.415,699
2023-07-18 11:32:00,1.4111,1.4182,1.4107,1.415,1087
2023-07-18 11:33:00,1.415,1.4186,1.415,1.415,1385
2023-07-18 11:34:00,1.41,1.415,1.41,1.41,1900
2023-07-18 11:35:00,1.42,1.42,1.41,1.41,3000
2023-07-18 11:36:00,1.41,1.42,1.41,1.41,12800
2023-07-18 11:37:00,1.415,1.42,1.41,1.415,7349
2023-07-18 11:38:00,1.41,1.42,1.41,1.415,20615
2023-07-18 11:39:00,1.41,1.42,1.41,1.415,11200
2023-07-18 11:40:00,1.41,1.44,1.41,1.435,242686
2023-07-18 11:41:00,1.44,1.44,1.435,1.435,29020
2023-07-18 11:42:00,1.435,1.44,1.43,1.435,46727
2023-07-18 11:43:00,1.43,1.435,1.41,1.41,43892
2023-07-18 11:44:00,1.41,1.4108,1.41,1.41,16750
2023-07-18 11:45:00,1.41,1.411,1.41,1.41,9579
2023-07-18 11:46:00,1.41,1.41,1.41,1.41,700
2023-07-18 11:47:00,1.41,1.4188,1.41,1.415,9500
2023-07-18 11:48:00,1.4187,1.4187,1.41,1.411,1300
2023-07-18 11:49:00,1.411,1.42,1.41,1.415,10750
2023-07-18 11:50:00,1.415,1.4294,1.415,1.4294,48829
2023-07-18 11:51:00,1.425,1.425,1.42,1.42,1548
2023-07-18 11:52:00,1.4275,1.4287,1.425,1.4287,4300
2023-07-18 11:53:00,1.425,1.425,1.42,1.4201,14300
2023-07-18 11:54:00,1.41,1.42,1.41,1.41,4996
2023-07-18 11:55:00,1.41,1.41,1.41,1.41,500
2023-07-18 11:56:00,1.41,1.4101,1.41,1.4101,900
2023-07-18 11:57:00,1.41,1.4101,1.41,1.4101,3900
2023-07-18 11:58:00,1.4175,1.4175,1.41,1.415,1500
2023-07-18 11:59:00,1.4175,1.4175,1.4175,1.4175,100
2023-07-18 12:00:00,1.4181,1.4181,1.41,1.4175,6200
2023-07-18 12:01:00,1.41,1.4175,1.41,1.4175,900
2023-07-18 12:02:00,1.41,1.4175,1.41,1.4175,1200
2023-07-18 12:03:00,1.4175,1.4199,1.41,1.41,7000
2023-07-18 12:04:00,1.4175,1.4175,1.41,1.41,4500
2023-07-18 12:05:00,1.41,1.4175,1.41,1.41,1100
2023-07-18 12:06:00,1.41,1.42,1.41,1.41,1200
2023-07-18 12:07:00,1.41,1.42,1.41,1.41,6800
2023-07-18 12:08:00,1.41,1.4175,1.41,1.41,3550
2023-07-18 12:09:00,1.41,1.42,1.41,1.41,4850
2023-07-18 12:10:00,1.41,1.4175,1.41,1.41,600
2023-07-18 12:11:00,1.41,1.4199,1.41,1.41,5300
2023-07-18 12:12:00,1.4175,1.4185,1.41,1.41,6900
2023-07-18 12:13:00,1.41,1.4175,1.41,1.415,4475
