Date,Open,High,Low,Close,Volume
2023-07-19 09:30:00,1.14,1.155,1.13,1.135,237189
2023-07-19 09:31:00,1.13,1.14,1.13,1.1391,45672
2023-07-19 09:32:00,1.135,1.14,1.12,1.1201,170201
2023-07-19 09:33:00,1.125,1.13,1.12,1.1201,111006
2023-07-19 09:34:00,1.121,1.121,1.1,1.1001,542263
2023-07-19 09:35:00,1.1078,1.1196,1.1,1.1014,267615
2023-07-19 09:36:00,1.1014,1.11,1.08,1.085,326605
2023-07-19 09:37:00,1.085,1.0995,1.08,1.08,180873
2023-07-19 09:38:00,1.085,1.09,1.08,1.085,60198
2023-07-19 09:39:00,1.085,1.0999,1.08,1.085,190495
2023-07-19 09:40:00,1.089,1.105,1.085,1.105,188984
2023-07-19 09:41:00,1.105,1.12,1.1001,1.115,136588
2023-07-19 09:42:00,1.115,1.12,1.11,1.1188,30099
2023-07-19 09:43:00,1.1199,1.12,1.115,1.1164,19264
2023-07-19 09:44:00,1.115,1.1195,1.1,1.1,253992
2023-07-19 09:45:00,1.1,1.1097,1.1,1.1097,77272
2023-07-19 09:46:00,1.105,1.11,1.1,1.105,162439
2023-07-19 09:47:00,1.105,1.115,1.1,1.1,167059
2023-07-19 09:48:00,1.1,1.11,1.1,1.1092,45820
2023-07-19 09:49:00,1.105,1.12,1.1,1.115,172546
2023-07-19 09:50:00,1.11,1.12,1.11,1.115,24325
2023-07-19 09:51:00,1.12,1.12,1.11,1.115,84839
2023-07-19 09:52:00,1.11,1.12,1.11,1.115,79813
2023-07-19 09:53:00,1.1199,1.12,1.1111,1.115,18994
2023-07-19 09:54:00,1.115,1.13,1.11,1.125,134971
2023-07-19 09:55:00,1.129,1.14,1.12,1.135,178128
2023-07-19 09:56:00,1.139,1.139,1.11,1.11,181807
2023-07-19 09:57:00,1.11,1.12,1.11,1.11,50272
2023-07-19 09:58:00,1.115,1.1199,1.11,1.11,12890
2023-07-19 09:59:00,1.115,1.12,1.11,1.11,52074
2023-07-19 10:00:00,1.115,1.1199,1.11,1.115,16528
2023-07-19 10:01:00,1.115,1.12,1.11,1.115,12331
2023-07-19 10:02:00,1.115,1.12,1.11,1.11,9700
2023-07-19 10:03:00,1.115,1.12,1.11,1.115,93141
2023-07-19 10:04:00,1.115,1.1199,1.114,1.115,14382
2023-07-19 10:05:00,1.115,1.1184,1.11,1.11,22968
2023-07-19 10:06:00,1.115,1.12,1.11,1.11,86737
2023-07-19 10:07:00,1.115,1.12,1.11,1.1101,39982
2023-07-19 10:08:00,1.1101,1.1196,1.11,1.1101,25761
2023-07-19 10:09:00,1.11,1.1199,1.11,1.1199,26820
2023-07-19 10:10:00,1.115,1.115,1.1,1.1016,156768
2023-07-19 10:11:00,1.105,1.11,1.1,1.105,178200
2023-07-19 10:12:00,1.1,1.1085,1.1,1.1,26994
2023-07-19 10:13:00,1.1082,1.11,1.1,1.11,27167
2023-07-19 10:14:00,1.11,1.11,1.1,1.105,11250
2023-07-19 10:15:00,1.105,1.1099,1.1,1.105,5759
2023-07-19 10:16:00,1.105,1.105,1.1,1.105,5173
2023-07-19 10:17:00,1.1081,1.11,1.1,1.105,14915
2023-07-19 10:18:00,1.108,1.11,1.1,1.1,11420
2023-07-19 10:19:00,1.1,1.1099,1.1,1.1083,37750
2023-07-19 10:20:00,1.1099,1.1099,1.1,1.1,44905
2023-07-19 10:21:00,1.1,1.1074,1.1,1.1,16730
2023-07-19 10:22:00,1.1,1.1093,1.1,1.1015,30927
2023-07-19 10:23:00,1.1,1.1095,1.1,1.1095,18639
2023-07-19 10:24:00,1.105,1.108,1.1,1.105,27710
2023-07-19 10:25:00,1.105,1.1099,1.1,1.1015,33486
2023-07-19 10:26:00,1.1,1.1099,1.1,1.105,20260
2023-07-19 10:27:00,1.105,1.11,1.1,1.105,28783
2023-07-19 10:28:00,1.1,1.1086,1.1,1.1083,28136
2023-07-19 10:29:00,1.105,1.1086,1.1,1.105,15793
2023-07-19 10:30:00,1.1,1.11,1.1,1.1058,14862
